timestamp,monitor_mac,target_mac,rssi,anchor_position_x,anchor_position_y,target_position_x,target_position_y
1734005310.6574392,483fda467e7a,20f094118214,-58.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.6584392,483fda467e7a,20f094118214,-57.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.6594398,a4cf12fdaea9,20f094118214,-57.0,861,580,1162.2741935483873,592.7483870967744
1734005310.6604395,08a6f7a1e5c8,20f094118214,-58.0,884,45,1162.2741935483873,592.7483870967744
1734005310.663439,f8b3b732fb6c,20f094118214,-61.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.6644392,08a6f7a1e5c8,20f094118214,-58.0,884,45,1162.2741935483873,592.7483870967744
1734005310.6654396,f8b3b734347c,20f094118214,-66.0,1047,884,1162.2741935483873,592.7483870967744
1734005310.6654396,a4cf12fdaea9,20f094118214,-58.0,861,580,1162.2741935483873,592.7483870967744
1734005310.6734395,08a6f7a1e5c8,20f094118214,-58.0,884,45,1162.2741935483873,592.7483870967744
1734005310.6764398,a0a3b3ff66b4,20f094118214,-84.0,107,884,1162.2741935483873,592.7483870967744
1734005310.679439,a4cf12fdaea9,20f094118214,-60.0,861,580,1162.2741935483873,592.7483870967744
1734005310.68144,483fda467e7a,20f094118214,-60.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.6844392,f8b3b734347c,20f094118214,-68.0,1047,884,1162.2741935483873,592.7483870967744
1734005310.6874402,483fda467e7a,20f094118214,-59.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.6884398,a4cf12fdaea9,20f094118214,-58.0,861,580,1162.2741935483873,592.7483870967744
1734005310.6894395,483fda467e7a,20f094118214,-59.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.6924393,f8b3b732fb6c,20f094118214,-62.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.695439,f8b3b732fb6c,20f094118214,-62.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.6974392,a4cf12fdaea9,20f094118214,-58.0,861,580,1162.2741935483873,592.7483870967744
1734005310.6984391,a4cf12fdaea9,20f094118214,-54.0,861,580,1162.2741935483873,592.7483870967744
1734005310.6994395,f8b3b732fb6c,20f094118214,-61.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.7004392,d8bfc0117c7d,20f094118214,-79.0,107,884,1162.2741935483873,592.7483870967744
1734005310.7034404,f8b3b732fb6c,20f094118214,-60.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.7084394,a4cf12fdaea9,20f094118214,-57.0,861,580,1162.2741935483873,592.7483870967744
1734005310.7124395,a4cf12fdaea9,20f094118214,-56.0,861,580,1162.2741935483873,592.7483870967744
1734005310.7134397,f8b3b732fb6c,20f094118214,-69.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.7194512,a4cf12fdaea9,20f094118214,-61.0,861,580,1162.2741935483873,592.7483870967744
1734005310.7204406,08a6f7a1e5c8,20f094118214,-60.0,884,45,1162.2741935483873,592.7483870967744
1734005310.7274406,f8b3b732fb6c,20f094118214,-68.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.7294395,a4cf12fdaea9,20f094118214,-58.0,861,580,1162.2741935483873,592.7483870967744
1734005310.7314394,08a6f7a1e5c8,20f094118214,-58.0,884,45,1162.2741935483873,592.7483870967744
1734005310.735451,f8b3b732fb6c,20f094118214,-62.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.736442,a4cf12fdaea9,20f094118214,-58.0,861,580,1162.2741935483873,592.7483870967744
1734005310.7394392,f8b3b734347c,20f094118214,-66.0,1047,884,1162.2741935483873,592.7483870967744
1734005310.7494397,d8bfc0117c7d,20f094118214,-81.0,107,884,1162.2741935483873,592.7483870967744
1734005310.75044,483fda467e7a,20f094118214,-60.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.75044,a4cf12fdaea9,20f094118214,-59.0,861,580,1162.2741935483873,592.7483870967744
1734005310.7564394,483fda467e7a,20f094118214,-57.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.76044,f8b3b732fb6c,20f094118214,-57.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.7634394,d8bfc0117c7d,20f094118214,-77.0,107,884,1162.2741935483873,592.7483870967744
1734005310.7644398,f8b3b732fb6c,20f094118214,-67.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.7654395,d8bfc0117c7d,20f094118214,-76.0,107,884,1162.2741935483873,592.7483870967744
1734005310.76644,483fda467e7a,20f094118214,-56.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.7714396,483fda467e7a,20f094118214,-58.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.7714396,f8b3b732fb6c,20f094118214,-66.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.7754395,a4cf12fdaea9,20f094118214,-56.0,861,580,1162.2741935483873,592.7483870967744
1734005310.7834396,a4cf12fdaea9,20f094118214,-55.0,861,580,1162.2741935483873,592.7483870967744
1734005310.7854486,483fda467e7a,20f094118214,-58.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.7874403,08a6f7a1e5c8,20f094118214,-56.0,884,45,1162.2741935483873,592.7483870967744
1734005310.7924397,f8b3b732fb6c,20f094118214,-66.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.7954395,08a6f7a1e5c8,20f094118214,-56.0,884,45,1162.2741935483873,592.7483870967744
1734005310.7994404,24a1602ccfab,20f094118214,-82.0,2048,884,1162.2741935483873,592.7483870967744
1734005310.8004394,f8b3b732fb6c,20f094118214,-65.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.80144,483fda467e7a,20f094118214,-58.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.8024514,a4cf12fdaea9,20f094118214,-56.0,861,580,1162.2741935483873,592.7483870967744
1734005310.8104398,08a6f7a1e5c8,20f094118214,-57.0,884,45,1162.2741935483873,592.7483870967744
1734005310.8134398,483fda467e7a,20f094118214,-58.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.8144395,a4cf12fdaea9,20f094118214,-58.0,861,580,1162.2741935483873,592.7483870967744
1734005310.824439,483fda467e7a,20f094118214,-59.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.825439,f8b3b732fb6c,20f094118214,-60.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.8264396,a4cf12fdaea9,20f094118214,-57.0,861,580,1162.2741935483873,592.7483870967744
1734005310.8284397,08a6f7a1e5c8,20f094118214,-59.0,884,45,1162.2741935483873,592.7483870967744
1734005310.82944,a4cf12fdaea9,20f094118214,-57.0,861,580,1162.2741935483873,592.7483870967744
1734005310.8304403,483fda467e7a,20f094118214,-60.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.8334398,d8bfc0117c7d,20f094118214,-80.0,107,884,1162.2741935483873,592.7483870967744
1734005310.835447,f8b3b732fb6c,20f094118214,-62.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.836442,08a6f7a1e5c8,20f094118214,-60.0,884,45,1162.2741935483873,592.7483870967744
1734005310.83944,a4cf12fdaea9,20f094118214,-54.0,861,580,1162.2741935483873,592.7483870967744
1734005310.8404405,a4cf12fdaea9,20f094118214,-58.0,861,580,1162.2741935483873,592.7483870967744
1734005310.84144,f8b3b732fb6c,20f094118214,-65.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.8424397,08a6f7a1e5c8,20f094118214,-60.0,884,45,1162.2741935483873,592.7483870967744
1734005310.8474398,a4cf12fdaea9,20f094118214,-61.0,861,580,1162.2741935483873,592.7483870967744
1734005310.8484397,08a6f7a1e5c8,20f094118214,-58.0,884,45,1162.2741935483873,592.7483870967744
1734005310.8524606,f8b3b734347c,20f094118214,-65.0,1047,884,1162.2741935483873,592.7483870967744
1734005310.8614397,a4cf12fdaea9,20f094118214,-57.0,861,580,1162.2741935483873,592.7483870967744
1734005310.8614397,f8b3b732fb6c,20f094118214,-62.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.8664396,a4cf12fdaea9,20f094118214,-57.0,861,580,1162.2741935483873,592.7483870967744
1734005310.8674405,483fda467e7a,20f094118214,-60.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.8734396,a4cf12fdaea9,20f094118214,-58.0,861,580,1162.2741935483873,592.7483870967744
1734005310.87444,483fda467e7a,20f094118214,-59.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.87644,f8b3b732fb6c,20f094118214,-62.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.8794394,f8b3b732fb6c,20f094118214,-61.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.8824396,a4cf12fdaea9,20f094118214,-57.0,861,580,1162.2741935483873,592.7483870967744
1734005310.8834488,483fda467e7a,20f094118214,-58.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.8844397,f8b3b732fb6c,20f094118214,-62.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.8914397,d8bfc0117c7d,20f094118214,-80.0,107,884,1162.2741935483873,592.7483870967744
1734005310.8944397,a4cf12fdaea9,20f094118214,-57.0,861,580,1162.2741935483873,592.7483870967744
1734005310.89844,483fda467e7a,20f094118214,-61.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.89844,f8b3b732fb6c,20f094118214,-65.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.9064412,08a6f7a1e5c8,20f094118214,-59.0,884,45,1162.2741935483873,592.7483870967744
1734005310.9104407,a4cf12fdaea9,20f094118214,-57.0,861,580,1162.2741935483873,592.7483870967744
1734005310.9114408,f8b3b732fb6c,20f094118214,-62.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.9124408,483fda467e7a,20f094118214,-58.0,1461,241,1162.2741935483873,592.7483870967744
1734005310.9234405,a4cf12fdaea9,20f094118214,-54.0,861,580,1162.2741935483873,592.7483870967744
1734005310.926441,f8b3b734347c,20f094118214,-66.0,1047,884,1162.2741935483873,592.7483870967744
1734005310.934442,a4cf12fdaea9,20f094118214,-57.0,861,580,1162.2741935483873,592.7483870967744
1734005310.9354422,f8b3b734347c,20f094118214,-66.0,1047,884,1162.2741935483873,592.7483870967744
