timestamp,monitor_mac,target_mac,rssi,anchor_position_x,anchor_position_y,target_position_x,target_position_y
1734005556.201239,a4cf12fdaea9,20f094118214,-52.0,861,580,1149.2580645161293,614.441935483871
1734005556.2062871,483fda467e7a,20f094118214,-57.0,1461,241,1149.2580645161293,614.441935483871
1734005556.2093222,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.212444,f8b3b732fb6c,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005556.2152848,08a6f7a1e5c8,20f094118214,-58.0,884,45,1149.2580645161293,614.441935483871
1734005556.2202828,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.23227,a4cf12fdaea9,20f094118214,-54.0,861,580,1149.2580645161293,614.441935483871
1734005556.2342632,a0a3b3ff66b4,20f094118214,-86.0,107,884,1149.2580645161293,614.441935483871
1734005556.2362635,a4cf12fdaea9,20f094118214,-54.0,861,580,1149.2580645161293,614.441935483871
1734005556.243384,f8b3b732fb6c,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005556.2454472,f8b3b732fb6c,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005556.252442,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.2624085,f8b3b732fb6c,20f094118214,-60.0,1461,241,1149.2580645161293,614.441935483871
1734005556.27013,a4cf12fdaea9,20f094118214,-55.0,861,580,1149.2580645161293,614.441935483871
1734005556.272183,483fda467e7a,20f094118214,-58.0,1461,241,1149.2580645161293,614.441935483871
1734005556.2745695,483fda467e7a,20f094118214,-57.0,1461,241,1149.2580645161293,614.441935483871
1734005556.2751296,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.276131,a4cf12fdaea9,20f094118214,-55.0,861,580,1149.2580645161293,614.441935483871
1734005556.3223252,a4cf12fdaea9,20f094118214,-55.0,861,580,1149.2580645161293,614.441935483871
1734005556.3238823,f8b3b732fb6c,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005556.324908,a4cf12fdaea9,20f094118214,-55.0,861,580,1149.2580645161293,614.441935483871
1734005556.3259037,f8b3b732fb6c,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005556.3278985,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.336933,a4cf12fdaea9,20f094118214,-56.0,861,580,1149.2580645161293,614.441935483871
1734005556.337931,483fda467e7a,20f094118214,-57.0,1461,241,1149.2580645161293,614.441935483871
1734005556.338933,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.382969,a4cf12fdaea9,20f094118214,-51.0,861,580,1149.2580645161293,614.441935483871
1734005556.384961,f8b3b732fb6c,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005556.3869612,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.3929522,f8b3b734347c,20f094118214,-68.0,1047,884,1149.2580645161293,614.441935483871
1734005556.3976223,a4cf12fdaea9,20f094118214,-54.0,861,580,1149.2580645161293,614.441935483871
1734005556.3986225,f8b3b732fb6c,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005556.399622,d8bfc0117c7d,20f094118214,-79.0,107,884,1149.2580645161293,614.441935483871
1734005556.401622,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.4326038,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.438609,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.4486358,a4cf12fdaea9,20f094118214,-55.0,861,580,1149.2580645161293,614.441935483871
1734005556.4556406,24a1602ccfab,20f094118214,-84.0,2048,884,1149.2580645161293,614.441935483871
1734005556.4586358,f8b3b732fb6c,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005556.4596364,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.4640949,a4cf12fdaea9,20f094118214,-52.0,861,580,1149.2580645161293,614.441935483871
1734005556.468114,f8b3b734347c,20f094118214,-68.0,1047,884,1149.2580645161293,614.441935483871
1734005556.502221,a4cf12fdaea9,20f094118214,-52.0,861,580,1149.2580645161293,614.441935483871
1734005556.5031736,24a1602ccfab,20f094118214,-84.0,2048,884,1149.2580645161293,614.441935483871
1734005556.5051734,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.510468,f8b3b732fb6c,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005556.5154636,24a1602ccfab,20f094118214,-83.0,2048,884,1149.2580645161293,614.441935483871
1734005556.5164638,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.517464,a4cf12fdaea9,20f094118214,-52.0,861,580,1149.2580645161293,614.441935483871
1734005556.552322,a4cf12fdaea9,20f094118214,-55.0,861,580,1149.2580645161293,614.441935483871
1734005556.557324,f8b3b732fb6c,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005556.5577383,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.5587597,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.562795,a4cf12fdaea9,20f094118214,-52.0,861,580,1149.2580645161293,614.441935483871
1734005556.588101,d8bfc0117c7d,20f094118214,-78.0,107,884,1149.2580645161293,614.441935483871
1734005556.5901017,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005556.593099,a4cf12fdaea9,20f094118214,-55.0,861,580,1149.2580645161293,614.441935483871
1734005559.2701592,483fda467e7a,20f094118214,-60.0,1461,241,1149.2580645161293,614.441935483871
1734005559.2714272,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005559.2733924,483fda467e7a,20f094118214,-56.0,1461,241,1149.2580645161293,614.441935483871
1734005559.277433,a4cf12fdaea9,20f094118214,-51.0,861,580,1149.2580645161293,614.441935483871
1734005559.2873943,a4cf12fdaea9,20f094118214,-50.0,861,580,1149.2580645161293,614.441935483871
1734005559.2881083,24a1602ccfab,20f094118214,-84.0,2048,884,1149.2580645161293,614.441935483871
1734005559.290032,d8bfc0117c7d,20f094118214,-81.0,107,884,1149.2580645161293,614.441935483871
1734005559.2910323,a4cf12fdaea9,20f094118214,-54.0,861,580,1149.2580645161293,614.441935483871
1734005559.311244,f8b3b732fb6c,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005559.3162472,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005559.3199687,d8bfc0117c7d,20f094118214,-81.0,107,884,1149.2580645161293,614.441935483871
1734005559.3583791,d8bfc0117c7d,20f094118214,-82.0,107,884,1149.2580645161293,614.441935483871
1734005559.359377,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005559.3663747,a4cf12fdaea9,20f094118214,-52.0,861,580,1149.2580645161293,614.441935483871
1734005559.38229,f8b3b732fb6c,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005559.4163134,483fda467e7a,20f094118214,-57.0,1461,241,1149.2580645161293,614.441935483871
1734005559.4173136,a4cf12fdaea9,20f094118214,-49.0,861,580,1149.2580645161293,614.441935483871
1734005559.4193158,483fda467e7a,20f094118214,-58.0,1461,241,1149.2580645161293,614.441935483871
1734005559.4285922,a4cf12fdaea9,20f094118214,-52.0,861,580,1149.2580645161293,614.441935483871
1734005559.477733,a4cf12fdaea9,20f094118214,-49.0,861,580,1149.2580645161293,614.441935483871
1734005559.4794748,08a6f7a1e5c8,20f094118214,-60.0,884,45,1149.2580645161293,614.441935483871
1734005559.4804928,a4cf12fdaea9,20f094118214,-51.0,861,580,1149.2580645161293,614.441935483871
1734005559.4825287,483fda467e7a,20f094118214,-58.0,1461,241,1149.2580645161293,614.441935483871
1734005559.485532,a4cf12fdaea9,20f094118214,-52.0,861,580,1149.2580645161293,614.441935483871
1734005559.488526,f8b3b734347c,20f094118214,-67.0,1047,884,1149.2580645161293,614.441935483871
1734005559.4905252,483fda467e7a,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005559.4905252,a4cf12fdaea9,20f094118214,-52.0,861,580,1149.2580645161293,614.441935483871
1734005559.5237515,483fda467e7a,20f094118214,-58.0,1461,241,1149.2580645161293,614.441935483871
1734005559.5317495,a4cf12fdaea9,20f094118214,-49.0,861,580,1149.2580645161293,614.441935483871
1734005559.5347495,a4cf12fdaea9,20f094118214,-50.0,861,580,1149.2580645161293,614.441935483871
1734005559.5357504,483fda467e7a,20f094118214,-51.0,1461,241,1149.2580645161293,614.441935483871
1734005559.536761,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005559.5427215,a4cf12fdaea9,20f094118214,-48.0,861,580,1149.2580645161293,614.441935483871
1734005559.5437214,d8bfc0117c7d,20f094118214,-82.0,107,884,1149.2580645161293,614.441935483871
1734005559.5447552,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005559.659093,483fda467e7a,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005559.6621237,08a6f7a1e5c8,20f094118214,-59.0,884,45,1149.2580645161293,614.441935483871
1734005559.6690872,483fda467e7a,20f094118214,-58.0,1461,241,1149.2580645161293,614.441935483871
1734005559.6711347,d8bfc0117c7d,20f094118214,-80.0,107,884,1149.2580645161293,614.441935483871
1734005559.6731606,a4cf12fdaea9,20f094118214,-47.0,861,580,1149.2580645161293,614.441935483871
1734005559.6829026,24a1602ccfab,20f094118214,-86.0,2048,884,1149.2580645161293,614.441935483871
1734005559.684902,a4cf12fdaea9,20f094118214,-47.0,861,580,1149.2580645161293,614.441935483871
1734005559.6868892,d8bfc0117c7d,20f094118214,-86.0,107,884,1149.2580645161293,614.441935483871
1734005559.6908867,483fda467e7a,20f094118214,-58.0,1461,241,1149.2580645161293,614.441935483871
1734005559.692973,a4cf12fdaea9,20f094118214,-50.0,861,580,1149.2580645161293,614.441935483871
1734005559.695035,483fda467e7a,20f094118214,-58.0,1461,241,1149.2580645161293,614.441935483871
1734005559.707997,a4cf12fdaea9,20f094118214,-47.0,861,580,1149.2580645161293,614.441935483871
1734005559.7092,f8b3b734347c,20f094118214,-67.0,1047,884,1149.2580645161293,614.441935483871
1734005559.7180994,f8b3b732fb6c,20f094118214,-66.0,1461,241,1149.2580645161293,614.441935483871
1734005559.7191029,f8b3b732fb6c,20f094118214,-61.0,1461,241,1149.2580645161293,614.441935483871
1734005559.7211,a4cf12fdaea9,20f094118214,-51.0,861,580,1149.2580645161293,614.441935483871
1734005559.7602506,483fda467e7a,20f094118214,-57.0,1461,241,1149.2580645161293,614.441935483871
1734005559.7612498,f8b3b732fb6c,20f094118214,-62.0,1461,241,1149.2580645161293,614.441935483871
1734005559.7632504,f8b3b732fb6c,20f094118214,-62.0,1461,241,1149.2580645161293,614.441935483871
1734005559.796485,a4cf12fdaea9,20f094118214,-54.0,861,580,1149.2580645161293,614.441935483871
1734005559.797484,483fda467e7a,20f094118214,-55.0,1461,241,1149.2580645161293,614.441935483871
1734005559.8034508,483fda467e7a,20f094118214,-55.0,1461,241,1149.2580645161293,614.441935483871
1734005559.804263,08a6f7a1e5c8,20f094118214,-60.0,884,45,1149.2580645161293,614.441935483871
1734005559.805287,d8bfc0117c7d,20f094118214,-75.0,107,884,1149.2580645161293,614.441935483871
1734005559.8406932,f8b3b734347c,20f094118214,-66.0,1047,884,1149.2580645161293,614.441935483871
1734005559.8456576,08a6f7a1e5c8,20f094118214,-60.0,884,45,1149.2580645161293,614.441935483871
1734005559.8496945,a4cf12fdaea9,20f094118214,-57.0,861,580,1149.2580645161293,614.441935483871
1734005559.8506925,a0a3b3ff35c0,20f094118214,-85.0,2048,884,1149.2580645161293,614.441935483871
1734005559.8837276,483fda467e7a,20f094118214,-56.0,1461,241,1149.2580645161293,614.441935483871
1734005559.8847334,08a6f7a1e5c8,20f094118214,-57.0,884,45,1149.2580645161293,614.441935483871
1734005559.8867283,a4cf12fdaea9,20f094118214,-57.0,861,580,1149.2580645161293,614.441935483871
1734005559.930773,08a6f7a1e5c8,20f094118214,-56.0,884,45,1149.2580645161293,614.441935483871
1734005559.9337366,a4cf12fdaea9,20f094118214,-51.0,861,580,1149.2580645161293,614.441935483871
1734005559.935735,483fda467e7a,20f094118214,-58.0,1461,241,1149.2580645161293,614.441935483871
1734005559.937735,a4cf12fdaea9,20f094118214,-54.0,861,580,1149.2580645161293,614.441935483871
1734005559.938795,f8b3b732fb6c,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005559.939814,483fda467e7a,20f094118214,-57.0,1461,241,1149.2580645161293,614.441935483871
1734005559.944249,a4cf12fdaea9,20f094118214,-54.0,861,580,1149.2580645161293,614.441935483871
1734005559.9688272,f8b3b734347c,20f094118214,-67.0,1047,884,1149.2580645161293,614.441935483871
1734005559.975345,f8b3b734347c,20f094118214,-67.0,1047,884,1149.2580645161293,614.441935483871
1734005559.9803517,d8bfc0117c7d,20f094118214,-72.0,107,884,1149.2580645161293,614.441935483871
1734005559.982345,f8b3b732fb6c,20f094118214,-58.0,1461,241,1149.2580645161293,614.441935483871
1734005559.9833453,483fda467e7a,20f094118214,-59.0,1461,241,1149.2580645161293,614.441935483871
1734005559.9924238,f8b3b732fb6c,20f094118214,-58.0,1461,241,1149.2580645161293,614.441935483871
1734005559.993427,f8b3b732fb6c,20f094118214,-58.0,1461,241,1149.2580645161293,614.441935483871
