timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734008196.514833,20f094118214,"(1461.0, 241.0)","(1340.0, 290.0)"
1734008196.519787,20f094118214,"(1443.2392379311214, 251.03483056891648)","(1335.0, 290.0)"
1734008196.525007,20f094118214,"(1433.0774967500236, 247.29104350869864)","(1315.0, 320.0)"
1734008196.5280128,20f094118214,"(1431.1271274258524, 248.22750281836142)","(1310.0, 355.0)"
1734008196.5901735,20f094118214,"(1431.1271274258524, 248.22750281836142)","(1310.0, 355.0)"
1734008196.5934658,20f094118214,"(1431.1271274258524, 248.22750281836142)","(1310.0, 355.0)"
1734008196.6132178,20f094118214,"(1431.1271274258524, 248.22750281836142)","(1310.0, 355.0)"
1734008196.6364665,20f094118214,"(1431.1271274258524, 248.22750281836142)","(1310.0, 355.0)"
1734008196.6579025,20f094118214,"(1431.1271274258524, 248.22750281836142)","(1310.0, 355.0)"
1734008196.6607468,20f094118214,"(1432.7258002964127, 247.84071669161932)","(1320.0, 340.0)"
1734008196.6627443,20f094118214,"(1432.239935903737, 248.07386229666128)","(1320.0, 350.0)"
1734008196.6907394,20f094118214,"(1431.141304378919, 249.88740351402666)","(1330.0, 350.0)"
1734008196.693747,20f094118214,"(1431.141304378919, 249.88740351402666)","(1330.0, 350.0)"
1734008196.7067437,20f094118214,"(1431.141304378919, 249.88740351402666)","(1330.0, 350.0)"
1734008196.7099755,20f094118214,"(1431.141304378919, 249.88740351402666)","(1330.0, 350.0)"
1734008196.7217402,20f094118214,"(1441.8913242794176, 246.68767349728424)","(1330.0, 345.0)"
1734008196.7227433,20f094118214,"(1436.9877405962552, 248.14721906518554)","(1330.0, 345.0)"
1734008196.7247393,20f094118214,"(1437.1828534004735, 248.08914398234043)","(1330.0, 335.0)"
1734008196.7397387,20f094118214,"(1434.9759433265701, 249.36043730087687)","(1325.0, 345.0)"
1734008196.7538989,20f094118214,"(1434.9759433265701, 249.36043730087687)","(1325.0, 345.0)"
1734008196.7558978,20f094118214,"(1429.2235468317365, 252.67411252304814)","(1320.0, 360.0)"
1734008196.757901,20f094118214,"(1429.2235468317365, 252.67411252304814)","(1320.0, 360.0)"
1734008196.7698998,20f094118214,"(1429.2235468317365, 252.67411252304814)","(1320.0, 360.0)"
1734008196.787897,20f094118214,"(1434.9759433265701, 249.36043730087687)","(1325.0, 345.0)"
1734008196.7899027,20f094118214,"(1435.229744339144, 249.2789016863817)","(1330.0, 335.0)"
1734008196.7919035,20f094118214,"(1440.4016370038103, 247.61738961344054)","(1330.0, 330.0)"
1734008196.8038988,20f094118214,"(1441.2438142428712, 247.9240741061196)","(1330.0, 330.0)"
1734008196.8219025,20f094118214,"(1441.4422312733905, 248.13207906653597)","(1320.0, 325.0)"
1734008196.8239024,20f094118214,"(1441.4422312733905, 248.13207906653597)","(1320.0, 325.0)"
1734008196.825902,20f094118214,"(1441.4422312733905, 248.13207906653597)","(1320.0, 325.0)"
1734008196.8658962,20f094118214,"(1436.524324712218, 249.92547886210647)","(1320.0, 325.0)"
1734008196.869895,20f094118214,"(1438.7187899316395, 248.6669098922953)","(1325.0, 315.0)"
1734008196.8738904,20f094118214,"(1438.7187899316395, 248.6669098922953)","(1325.0, 315.0)"
1734008196.884887,20f094118214,"(1438.7187899316395, 248.6669098922953)","(1325.0, 315.0)"
1734008196.910144,20f094118214,"(1436.524324712218, 249.92547886210647)","(1320.0, 325.0)"
1734008196.9159646,20f094118214,"(1436.524324712218, 249.92547886210647)","(1320.0, 325.0)"
1734008196.9335082,20f094118214,"(1430.7133400061975, 252.0445550694746)","(1320.0, 330.0)"
1734008196.9509685,20f094118214,"(1430.7133400061975, 252.0445550694746)","(1320.0, 330.0)"
1734008196.9745264,20f094118214,"(1419.204238981276, 258.6697682816797)","(1305.0, 350.0)"
1734008196.9764276,20f094118214,"(1419.204238981276, 258.6697682816797)","(1305.0, 350.0)"
1734008196.9779491,20f094118214,"(1427.0920032634956, 255.33510075247983)","(1305.0, 350.0)"
1734008196.981943,20f094118214,"(1427.0920032634956, 255.33510075247983)","(1305.0, 350.0)"
1734008196.994944,20f094118214,"(1427.0920032634956, 255.33510075247983)","(1305.0, 350.0)"
1734008197.00695,20f094118214,"(1440.5671708679406, 247.60682706654322)","(1330.0, 310.0)"
1734008197.0079448,20f094118214,"(1440.364204616196, 247.6724549302599)","(1325.0, 320.0)"
1734008197.014391,20f094118214,"(1440.7548386159158, 247.48603086607537)","(1325.0, 310.0)"
1734008197.020095,20f094118214,"(1442.438294460622, 248.09828650983454)","(1330.0, 300.0)"
1734008197.0289488,20f094118214,"(1442.438294460622, 248.09828650983454)","(1330.0, 300.0)"
