timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734008196.514833,20f094118214,"(1461.0, 241.0)","(1340.0, 290.0)"
1734008196.519787,20f094118214,"(1443.2392379311214, 251.03483056891648)","(1335.0, 290.0)"
1734008196.525007,20f094118214,"(1443.2392379311214, 251.03483056891648)","(1335.0, 290.0)"
1734008196.5280128,20f094118214,"(1441.2376054408294, 251.9829868663757)","(1325.0, 330.0)"
1734008196.5901735,20f094118214,"(1441.2376054408294, 251.9829868663757)","(1325.0, 330.0)"
1734008196.5934658,20f094118214,"(1441.2376054408294, 251.9829868663757)","(1325.0, 330.0)"
1734008196.6132178,20f094118214,"(1441.2376054408294, 251.9829868663757)","(1325.0, 330.0)"
1734008196.6364665,20f094118214,"(1441.2376054408294, 251.9829868663757)","(1325.0, 330.0)"
1734008196.6579025,20f094118214,"(1441.2376054408294, 251.9829868663757)","(1325.0, 330.0)"
1734008196.6607468,20f094118214,"(1441.2376054408294, 251.9829868663757)","(1325.0, 330.0)"
1734008196.6627443,20f094118214,"(1440.711441273611, 252.23222636017132)","(1320.0, 360.0)"
1734008196.6907394,20f094118214,"(1440.711441273611, 252.23222636017132)","(1320.0, 360.0)"
1734008196.693747,20f094118214,"(1440.711441273611, 252.23222636017132)","(1320.0, 360.0)"
1734008196.7067437,20f094118214,"(1440.711441273611, 252.23222636017132)","(1320.0, 360.0)"
1734008196.7099755,20f094118214,"(1440.711441273611, 252.23222636017132)","(1320.0, 360.0)"
1734008196.7217402,20f094118214,"(1448.3755116750658, 247.98921557018065)","(1325.0, 345.0)"
1734008196.7227433,20f094118214,"(1444.9329012430378, 249.89512619517404)","(1320.0, 355.0)"
1734008196.7247393,20f094118214,"(1444.9329012430378, 249.89512619517404)","(1320.0, 355.0)"
1734008196.7397387,20f094118214,"(1442.5373638126227, 251.24935470238523)","(1310.0, 370.0)"
1734008196.7538989,20f094118214,"(1442.5373638126227, 251.24935470238523)","(1310.0, 370.0)"
1734008196.7558978,20f094118214,"(1436.299451658344, 254.77572768138737)","(1290.0, 400.0)"
1734008196.757901,20f094118214,"(1436.299451658344, 254.77572768138737)","(1290.0, 400.0)"
1734008196.7698998,20f094118214,"(1436.299451658344, 254.77572768138737)","(1290.0, 400.0)"
1734008196.787897,20f094118214,"(1442.5373638126227, 251.24935470238523)","(1310.0, 370.0)"
1734008196.7899027,20f094118214,"(1442.5373638126227, 251.24935470238523)","(1310.0, 370.0)"
1734008196.7919035,20f094118214,"(1446.4804904108723, 249.06036593980008)","(1315.0, 365.0)"
1734008196.8038988,20f094118214,"(1446.4804904108723, 249.06036593980008)","(1315.0, 365.0)"
1734008196.8219025,20f094118214,"(1446.6894993880405, 249.28098735167956)","(1140.0, 495.0)"
1734008196.8239024,20f094118214,"(1446.6894993880405, 249.28098735167956)","(1140.0, 495.0)"
1734008196.825902,20f094118214,"(1446.6894993880405, 249.28098735167956)","(1140.0, 495.0)"
1734008196.8658962,20f094118214,"(1442.8048512278067, 251.52889769059084)","(1140.0, 495.0)"
1734008196.869895,20f094118214,"(1445.200427352765, 250.17642094727992)","(1140.0, 495.0)"
1734008196.8738904,20f094118214,"(1445.200427352765, 250.17642094727992)","(1140.0, 495.0)"
1734008196.884887,20f094118214,"(1445.200427352765, 250.17642094727992)","(1140.0, 495.0)"
1734008196.910144,20f094118214,"(1442.8048512278067, 251.52889769059084)","(1140.0, 495.0)"
1734008196.9159646,20f094118214,"(1442.8048512278067, 251.52889769059084)","(1140.0, 495.0)"
1734008196.9335082,20f094118214,"(1438.051656744799, 254.27940547932363)","(1140.0, 495.0)"
1734008196.9509685,20f094118214,"(1438.051656744799, 254.27940547932363)","(1140.0, 495.0)"
1734008196.9745264,20f094118214,"(1425.2509054251718, 261.50487356594294)","(1140.0, 495.0)"
1734008196.9764276,20f094118214,"(1425.2509054251718, 261.50487356594294)","(1140.0, 495.0)"
1734008196.9779491,20f094118214,"(1432.5246309280856, 257.3328288312592)","(1140.0, 495.0)"
1734008196.981943,20f094118214,"(1432.5246309280856, 257.3328288312592)","(1140.0, 495.0)"
1734008196.994944,20f094118214,"(1432.5246309280856, 257.3328288312592)","(1140.0, 495.0)"
1734008197.00695,20f094118214,"(1447.2193303760328, 249.03660353237004)","(1315.0, 330.0)"
1734008197.0079448,20f094118214,"(1447.2193303760328, 249.03660353237004)","(1315.0, 330.0)"
1734008197.014391,20f094118214,"(1447.639274840767, 248.83764403550853)","(1325.0, 305.0)"
1734008197.020095,20f094118214,"(1447.639274840767, 248.83764403550853)","(1325.0, 305.0)"
1734008197.0289488,20f094118214,"(1447.639274840767, 248.83764403550853)","(1325.0, 305.0)"
