timestamp,estimation_twcl_rssi_9,estimation_fpl
1734007379.60799,"(1252.7437083387945, 358.664804788581)","(1300.0, 525.0)"
1734007379.6139896,"(1272.2070318949654, 371.5220043946169)","(1285.0, 535.0)"
1734007379.6174054,"(1272.2070318949654, 371.5220043946169)","(1285.0, 535.0)"
1734007379.618405,"(1244.3707050800692, 383.7648973575219)","(1290.0, 540.0)"
1734007379.621403,"(1246.6962181558117, 385.21245941069014)","(1290.0, 545.0)"
1734007379.622404,"(1282.7199842082823, 367.0194347923083)","(1270.0, 550.0)"
1734007379.626403,"(1302.0638446060082, 353.3459877534062)","(1270.0, 545.0)"
1734007379.6274052,"(1285.8473000658723, 361.67935021271325)","(1285.0, 545.0)"
1734007379.6392207,"(1265.4050063539985, 375.76399020361356)","(1275.0, 545.0)"
1734007379.6494503,"(1226.654697466116, 395.33399636399923)","(1290.0, 540.0)"
1734007379.650482,"(1249.0240778494822, 380.60207797936596)","(1300.0, 540.0)"
1734007379.6515205,"(1268.161446373966, 370.76776167128014)","(1285.0, 540.0)"
1734007379.652469,"(1268.161446373966, 370.76776167128014)","(1285.0, 540.0)"
1734007379.6604662,"(1360.5425797626494, 308.6012878252174)","(1305.0, 530.0)"
1734007379.6634648,"(1360.5425797626494, 308.6012878252174)","(1305.0, 530.0)"
1734007379.6719203,"(1268.161446373966, 370.76776167128014)","(1285.0, 540.0)"
1734007379.6729205,"(1268.161446373966, 370.76776167128014)","(1285.0, 540.0)"
1734007379.680962,"(1243.4077230300281, 386.65166783298673)","(1275.0, 545.0)"
1734007379.6821976,"(1261.9008870532682, 377.3013796326)","(1275.0, 550.0)"
1734007379.6902132,"(1261.9008870532682, 377.3013796326)","(1275.0, 550.0)"
1734007379.691214,"(1261.9008870532682, 377.3013796326)","(1275.0, 550.0)"
1734007379.694244,"(1255.5276626151183, 373.1933683437981)","(1265.0, 530.0)"
1734007379.6952522,"(1259.0407836864617, 371.63091094771994)","(1275.0, 530.0)"
1734007379.7008383,"(1237.0751446035576, 385.83868762325386)","(1250.0, 525.0)"
1734007379.7018535,"(1217.7332090218765, 395.8246057312016)","(1280.0, 530.0)"
1734007379.711853,"(1197.24466563133, 406.40249828932303)","(1300.0, 530.0)"
1734007379.7168798,"(1205.0554479557047, 402.98087171124916)","(1395.0, 475.0)"
1734007379.71788,"(1205.0554479557047, 402.98087171124916)","(1395.0, 475.0)"
1734007379.7198532,"(1205.0554479557047, 402.98087171124916)","(1395.0, 475.0)"
1734007379.7258582,"(1205.0554479557047, 402.98087171124916)","(1395.0, 475.0)"
1734007379.7268567,"(1205.0554479557047, 402.98087171124916)","(1395.0, 475.0)"
1734007379.7320194,"(1202.755689472391, 403.988314298031)","(1335.0, 525.0)"
1734007379.735981,"(1202.755689472391, 403.988314298031)","(1335.0, 525.0)"
1734007379.73798,"(1223.6917509670448, 393.2057828314064)","(1260.0, 515.0)"
1734007379.7450163,"(1245.9928157372888, 378.9022302361592)","(1305.0, 525.0)"
1734007379.7454505,"(1225.7480680281058, 389.4769044828764)","(1305.0, 520.0)"
1734007379.7485025,"(1225.7480680281058, 389.4769044828764)","(1305.0, 520.0)"
1734007379.7495074,"(1225.7480680281058, 389.4769044828764)","(1305.0, 520.0)"
1734007379.7585003,"(1225.7480680281058, 389.4769044828764)","(1305.0, 520.0)"
1734007379.7595012,"(1202.755689472391, 403.988314298031)","(1335.0, 525.0)"
1734007379.7604623,"(1202.755689472391, 403.988314298031)","(1335.0, 525.0)"
1734007379.7681987,"(1202.755689472391, 403.988314298031)","(1335.0, 525.0)"
1734007379.7742307,"(1225.7480680281058, 389.4769044828764)","(1305.0, 520.0)"
1734007379.7815895,"(1225.7480680281058, 389.4769044828764)","(1305.0, 520.0)"
1734007379.7826045,"(1225.7480680281058, 389.4769044828764)","(1305.0, 520.0)"
1734007379.7906053,"(1225.7480680281058, 389.4769044828764)","(1305.0, 520.0)"
1734007379.7946055,"(1157.0627191944268, 432.8269755860954)","(1410.0, 470.0)"
1734007379.7976046,"(1179.7655326610197, 418.49832188145905)","(1390.0, 495.0)"
1734007379.8006058,"(1157.6100332153446, 429.7233445812503)","(1400.0, 470.0)"
1734007379.8098338,"(1180.8194208211114, 415.2859744168244)","(1380.0, 495.0)"
1734007379.8108168,"(1157.6100332153446, 429.7233445812503)","(1400.0, 470.0)"
1734007379.812796,"(1134.9193117600084, 441.21953603634756)","(1335.0, 105.0)"
1734007379.824832,"(1130.1161872313135, 438.8903555655723)","(1190.0, 445.0)"
1734007379.8258233,"(1130.1161872313135, 438.8903555655723)","(1190.0, 445.0)"
1734007379.826822,"(1130.1161872313135, 438.8903555655723)","(1190.0, 445.0)"
1734007379.8388216,"(1130.1161872313135, 438.8903555655723)","(1190.0, 445.0)"
1734007379.8398564,"(1130.1161872313135, 438.8903555655723)","(1190.0, 445.0)"
1734007379.8498592,"(1130.1161872313135, 438.8903555655723)","(1190.0, 445.0)"
1734007379.8528228,"(1130.1161872313135, 438.8903555655723)","(1190.0, 445.0)"
1734007379.8573952,"(1153.7449029199452, 424.7588242886102)","(1245.0, 465.0)"
1734007379.8583946,"(1153.7449029199452, 424.7588242886102)","(1245.0, 465.0)"
1734007379.8673944,"(1130.1161872313135, 438.8903555655723)","(1190.0, 445.0)"
1734007379.868423,"(1084.8483350484507, 462.6263135974965)","(1155.0, 425.0)"
1734007379.8714323,"(1063.5149172727945, 475.1958358902214)","(1125.0, 435.0)"
1734007379.8724358,"(1107.4562753855707, 450.7719600738875)","(1175.0, 435.0)"
1734007379.8753946,"(1107.4562753855707, 450.7719600738875)","(1175.0, 435.0)"
1734007379.8860185,"(1112.2992266332274, 448.67481467323387)","(1280.0, 85.0)"
1734007379.8869815,"(1112.2992266332274, 448.67481467323387)","(1280.0, 85.0)"
1734007379.898326,"(1090.2871782400177, 461.7844732108415)","(1275.0, 80.0)"
1734007379.900916,"(1112.9500405218273, 450.09998991893326)","(1285.0, 70.0)"
1734007379.9019186,"(1135.526597716976, 436.5365408986041)","(1290.0, 75.0)"
1734007379.9049177,"(1110.336626769761, 448.88726300325044)","(1270.0, 60.0)"
1734007379.9069157,"(1110.336626769761, 448.88726300325044)","(1270.0, 60.0)"
1734007379.9079175,"(1133.142144765226, 435.3672404420812)","(1275.0, 65.0)"
1734007379.9129531,"(1133.142144765226, 435.3672404420812)","(1275.0, 65.0)"
1734007379.9176643,"(1133.142144765226, 435.3672404420812)","(1275.0, 65.0)"
1734007379.9186678,"(1110.0614525206336, 447.6337132249802)","(1265.0, 75.0)"
1734007379.9236643,"(1133.142144765226, 435.3672404420812)","(1275.0, 65.0)"
1734007379.9246645,"(1110.336626769761, 448.88726300325044)","(1270.0, 60.0)"
1734007379.9287074,"(1133.142144765226, 435.3672404420812)","(1275.0, 65.0)"
1734007379.9296825,"(1133.142144765226, 435.3672404420812)","(1275.0, 65.0)"
1734007379.934471,"(1133.142144765226, 435.3672404420812)","(1275.0, 65.0)"
1734007379.936596,"(1133.142144765226, 435.3672404420812)","(1275.0, 65.0)"
1734007379.9475896,"(1133.142144765226, 435.3672404420812)","(1275.0, 65.0)"
1734007379.949586,"(1110.336626769761, 448.88726300325044)","(1270.0, 60.0)"
1734007379.9505875,"(1110.336626769761, 448.88726300325044)","(1270.0, 60.0)"
1734007379.9600728,"(1133.142144765226, 435.3672404420812)","(1275.0, 65.0)"
1734007379.9620328,"(1133.142144765226, 435.3672404420812)","(1275.0, 65.0)"
1734007379.9670718,"(1156.008647387544, 423.21460095084257)","(1285.0, 55.0)"
1734007379.9703732,"(1156.008647387544, 423.21460095084257)","(1285.0, 55.0)"
1734007379.9773872,"(1156.008647387544, 423.21460095084257)","(1285.0, 55.0)"
1734007379.978387,"(1156.008647387544, 423.21460095084257)","(1285.0, 55.0)"
1734007379.985404,"(1156.008647387544, 423.21460095084257)","(1285.0, 55.0)"
1734007379.9863925,"(1178.384200611207, 411.32288159893784)","(1295.0, 50.0)"
1734007379.992387,"(1179.6296658407034, 411.99985057323744)","(1305.0, 55.0)"
1734007379.9931097,"(1179.6296658407034, 411.99985057323744)","(1305.0, 55.0)"
1734007379.9971669,"(1157.196214400507, 423.82807499222554)","(1295.0, 60.0)"
1734007379.998139,"(1111.9371076646485, 451.0648500181077)","(1285.0, 50.0)"
