timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734007511.684091,342eb61ec446,"(1461.0, 241.0)","(1165.0, 370.0)"
1734007511.6850548,342eb61ec446,"(1461.0, 241.0)","(1225.0, 235.0)"
1734007511.6860552,342eb61ec446,"(1461.0, 241.00000000000003)","(1340.0, 480.0)"
1734007511.6881142,342eb61ec446,"(1444.5862327438183, 235.4244395455605)","(1340.0, 480.0)"
1734007511.6890552,342eb61ec446,"(1407.822117290775, 222.93610916636376)","(1340.0, 480.0)"
1734007511.6992624,342eb61ec446,"(1368.1935320411217, 248.81278165280142)","(1340.0, 480.0)"
1734007511.7042563,342eb61ec446,"(1393.6633108179979, 232.18152622041094)","(1340.0, 480.0)"
1734007511.7052534,342eb61ec446,"(1430.4714877547221, 245.69988351662082)","(1340.0, 105.0)"
1734007511.708288,342eb61ec446,"(1430.4714877547221, 245.69988351662082)","(1340.0, 105.0)"
1734007511.7092893,342eb61ec446,"(1428.4442941392265, 244.95536613261743)","(1345.0, 495.0)"
1734007511.7132795,342eb61ec446,"(1426.0335684725305, 248.99412441186976)","(1345.0, 485.0)"
1734007511.719944,342eb61ec446,"(1420.677302949695, 257.9676306158648)","(1290.0, 515.0)"
1734007511.720946,342eb61ec446,"(1285.6600323772395, 314.78236131152295)","(1210.0, 545.0)"
1734007511.722945,342eb61ec446,"(1190.013513704402, 374.51754215531105)","(1300.0, 160.0)"
1734007511.7259643,342eb61ec446,"(1153.170119846286, 334.84431190537566)","(1320.0, 240.0)"
1734007511.7289462,342eb61ec446,"(1181.5644986803627, 326.1880666366127)","(1225.0, 410.0)"
1734007511.7319458,342eb61ec446,"(1246.4569674443742, 274.8084440473385)","(1220.0, 500.0)"
1734007511.737668,342eb61ec446,"(1216.3904597387127, 279.54642985539397)","(1205.0, 505.0)"
1734007511.7379477,342eb61ec446,"(1185.2113539989775, 284.4597427665209)","(1260.0, 535.0)"
1734007511.7389896,342eb61ec446,"(1191.0720745139365, 279.11730541138127)","(1255.0, 540.0)"
1734007511.7451296,342eb61ec446,"(1240.1927402449774, 272.1808337057996)","(1190.0, 505.0)"
1734007511.7471302,342eb61ec446,"(1251.1328735844215, 237.53469094495588)","(1150.0, 490.0)"
1734007511.7510924,342eb61ec446,"(1178.1954766813274, 236.33035453335827)","(1140.0, 495.0)"
1734007511.7521503,342eb61ec446,"(1220.2813475114074, 263.7009473024873)","(1140.0, 495.0)"
1734007511.7571287,342eb61ec446,"(1186.3936341143867, 266.89672456392753)","(1140.0, 495.0)"
1734007511.7647429,342eb61ec446,"(1186.3936341143867, 266.89672456392753)","(1140.0, 495.0)"
1734007511.7657444,342eb61ec446,"(1207.2971099848655, 241.53353072780803)","(1140.0, 495.0)"
1734007511.7687056,342eb61ec446,"(1196.2676286777894, 247.97367480249176)","(1140.0, 495.0)"
1734007511.7727048,342eb61ec446,"(1274.1624765450633, 245.92174086217742)","(1140.0, 495.0)"
1734007511.7841768,342eb61ec446,"(1191.2368219641721, 248.10619811212607)","(1140.0, 495.0)"
1734007511.7851796,342eb61ec446,"(1115.2956580561086, 250.1066674108844)","(1525.0, 290.0)"
1734007511.7861376,342eb61ec446,"(1173.7878714209778, 301.97596341748925)","(1540.0, 230.0)"
1734007511.7871404,342eb61ec446,"(1173.7878714209778, 301.97596341748925)","(1540.0, 230.0)"
1734007511.7881446,342eb61ec446,"(1147.345430878577, 325.4795411722572)","(1515.0, 215.0)"
1734007511.7937343,342eb61ec446,"(1147.345430878577, 325.4795411722572)","(1515.0, 215.0)"
1734007511.7947345,342eb61ec446,"(1147.345430878577, 325.4795411722572)","(1515.0, 215.0)"
1734007511.8009942,342eb61ec446,"(1147.345430878577, 325.4795411722572)","(1515.0, 215.0)"
1734007511.8019922,342eb61ec446,"(1147.345430878577, 325.4795411722572)","(1515.0, 215.0)"
1734007511.802992,342eb61ec446,"(1147.345430878577, 325.4795411722572)","(1515.0, 215.0)"
1734007511.8099918,342eb61ec446,"(1155.8684400130942, 323.18395879605316)","(1510.0, 210.0)"
1734007511.810994,342eb61ec446,"(1155.8684400130942, 323.18395879605316)","(1510.0, 210.0)"
1734007511.8119948,342eb61ec446,"(1147.4971509514917, 314.61820423009283)","(1510.0, 225.0)"
1734007511.813604,342eb61ec446,"(1139.0172441892034, 316.6094955685064)","(1515.0, 230.0)"
1734007511.8143172,342eb61ec446,"(1156.86207211983, 312.41908967256364)","(1505.0, 225.0)"
1734007511.8153322,342eb61ec446,"(1147.4971509514917, 314.61820423009283)","(1510.0, 225.0)"
1734007511.8263323,342eb61ec446,"(1147.4971509514917, 314.61820423009283)","(1510.0, 225.0)"
1734007511.8273585,342eb61ec446,"(1160.2514277016626, 311.62318535402545)","(1510.0, 235.0)"
1734007511.828359,342eb61ec446,"(1160.2514277016626, 311.62318535402545)","(1510.0, 235.0)"
1734007511.8407283,342eb61ec446,"(1150.2375273451044, 320.60392339265724)","(1500.0, 225.0)"
1734007511.8413298,342eb61ec446,"(1150.2375273451044, 320.60392339265724)","(1500.0, 225.0)"
1734007511.8423324,342eb61ec446,"(1137.5176372134547, 323.862209861266)","(1500.0, 220.0)"
1734007511.8440063,342eb61ec446,"(1137.5176372134547, 323.862209861266)","(1500.0, 220.0)"
1734007511.8450212,342eb61ec446,"(1145.282732368338, 332.4035942733119)","(1500.0, 205.0)"
1734007511.8470604,342eb61ec446,"(1048.7774661050726, 226.25053877301485)","(1475.0, 325.0)"
1734007511.8480208,342eb61ec446,"(1111.8978835644555, 228.50900858821808)","(1440.0, 380.0)"
1734007511.8490558,342eb61ec446,"(1110.30440618093, 216.63388282830897)","(1380.0, 470.0)"
1734007511.8513832,342eb61ec446,"(1194.5196425612914, 280.5044377909426)","(1465.0, 250.0)"
1734007511.852021,342eb61ec446,"(1189.181392749198, 283.46678435047176)","(1480.0, 310.0)"
1734007511.858049,342eb61ec446,"(1152.315636763876, 254.66011890054494)","(1440.0, 425.0)"
1734007511.8610203,342eb61ec446,"(1197.935840349198, 252.64130136567073)","(1140.0, 495.0)"
1734007511.862048,342eb61ec446,"(1191.9290138016538, 277.7676211529762)","(1155.0, 490.0)"
1734007511.8719556,342eb61ec446,"(1135.6094451684396, 285.46349573336886)","(1140.0, 495.0)"
1734007511.8769405,342eb61ec446,"(1134.6506861570942, 291.9396932312101)","(1140.0, 495.0)"
1734007511.8779776,342eb61ec446,"(1206.061985909793, 362.29371748918163)","(1135.0, 500.0)"
1734007511.8839686,342eb61ec446,"(1218.9723771765618, 319.94901649087944)","(1140.0, 495.0)"
1734007511.8889773,342eb61ec446,"(1233.6394546053507, 307.16397230664325)","(1140.0, 495.0)"
1734007511.8911643,342eb61ec446,"(1143.3219576028066, 333.44717971234763)","(1550.0, 275.0)"
1734007511.8921688,342eb61ec446,"(1142.6270031607019, 337.4193698296841)","(1555.0, 300.0)"
1734007511.8961692,342eb61ec446,"(1152.0503280054143, 334.56551271162516)","(1545.0, 285.0)"
1734007511.897131,342eb61ec446,"(1131.70290328788, 351.7239189137784)","(1530.0, 265.0)"
1734007511.9023733,342eb61ec446,"(1131.70290328788, 351.7239189137784)","(1530.0, 265.0)"
1734007511.9048626,342eb61ec446,"(1131.70290328788, 351.7239189137784)","(1530.0, 265.0)"
1734007511.9068556,342eb61ec446,"(1122.381011311149, 354.85834196718565)","(1535.0, 270.0)"
1734007511.9108558,342eb61ec446,"(1115.8185853664297, 346.32820606697726)","(1535.0, 290.0)"
1734007511.9138556,342eb61ec446,"(1125.8082844059, 337.16752851260173)","(1540.0, 295.0)"
1734007511.9170709,342eb61ec446,"(1138.453146959279, 333.53967876701734)","(1540.0, 305.0)"
