timestamp,estimation_twcl_rssi_9,estimation_fpl
1734007511.6850548,"(1461.0, 241.0)","(1360.0, 495.0)"
1734007511.6860552,"(1461.0, 241.0)","(1360.0, 495.0)"
1734007511.6881142,"(1151.7633788784365, 135.95601778192992)","(1035.0, 820.0)"
1734007511.6890552,"(999.30200978547, 84.16671389593087)","(880.0, 55.0)"
1734007511.6992624,"(999.30200978547, 84.16671389593087)","(880.0, 55.0)"
1734007511.7042563,"(999.30200978547, 84.16671389593087)","(880.0, 55.0)"
1734007511.7052534,"(1172.5, 143.0)","(930.0, 590.0)"
1734007511.708288,"(1172.5, 143.0)","(930.0, 590.0)"
1734007511.7092893,"(1151.7633788784365, 135.95601778192992)","(1035.0, 820.0)"
1734007511.7132795,"(1140.269320859559, 218.02726275641123)","(1410.0, 180.0)"
1734007511.719944,"(1121.6850244133, 350.7250744269575)","(915.0, 540.0)"
1734007511.720946,"(1121.6850244133, 350.7250744269575)","(915.0, 540.0)"
1734007511.722945,"(1121.6850244133, 350.7250744269575)","(915.0, 540.0)"
1734007511.7259643,"(1035.1160131161444, 239.37469597034135)","(1285.0, 230.0)"
1734007511.7289462,"(1135.2491751018456, 239.75683485484984)","(1115.0, 425.0)"
1734007511.7319458,"(1135.2491751018456, 239.75683485484984)","(1115.0, 425.0)"
1734007511.737668,"(1135.2491751018456, 239.75683485484984)","(1115.0, 425.0)"
1734007511.7379477,"(1048.5527341947568, 239.42597462271397)","(960.0, 435.0)"
1734007511.7389896,"(1048.5527341947568, 239.42597462271397)","(960.0, 435.0)"
1734007511.7451296,"(1177.7729666560906, 239.91911869715904)","(1125.0, 430.0)"
1734007511.7471302,"(1191.065754925829, 174.44969483480497)","(1335.0, 480.0)"
1734007511.7510924,"(1191.065754925829, 174.44969483480497)","(1335.0, 480.0)"
1734007511.7521503,"(1252.497431318367, 200.3474435568187)","(1140.0, 495.0)"
1734007511.7571287,"(1209.0085634535844, 191.8682499108995)","(1140.0, 495.0)"
1734007511.7647429,"(1209.0085634535844, 191.8682499108995)","(1140.0, 495.0)"
1734007511.7657444,"(1209.0085634535844, 191.8682499108995)","(1140.0, 495.0)"
1734007511.7687056,"(1209.0085634535844, 191.8682499108995)","(1140.0, 495.0)"
1734007511.7727048,"(1209.0085634535844, 191.8682499108995)","(1140.0, 495.0)"
1734007511.7841768,"(1209.0085634535844, 191.8682499108995)","(1140.0, 495.0)"
1734007511.7851796,"(1105.0733331768274, 171.60359397895022)","(1445.0, 270.0)"
1734007511.7861376,"(1197.905715116201, 224.76655588965093)","(1365.0, 115.0)"
1734007511.7871404,"(1197.905715116201, 224.76655588965093)","(1365.0, 115.0)"
1734007511.7881446,"(1197.905715116201, 224.76655588965093)","(1365.0, 115.0)"
1734007511.7937343,"(1197.905715116201, 224.76655588965093)","(1365.0, 115.0)"
1734007511.7947345,"(1197.905715116201, 224.76655588965093)","(1365.0, 115.0)"
1734007511.8009942,"(1197.905715116201, 224.76655588965093)","(1365.0, 115.0)"
1734007511.8019922,"(1197.905715116201, 224.76655588965093)","(1365.0, 115.0)"
1734007511.802992,"(1197.905715116201, 224.76655588965093)","(1365.0, 115.0)"
