timestamp,estimation_twcl_rssi_9,estimation_fpl
1734007659.2701166,"(861.0, 580.0)","(1275.0, 330.0)"
1734007659.2731142,"(1335.3776935904718, 311.9766031213835)","(1335.0, 480.0)"
1734007659.2761145,"(1403.8140740581268, 273.3100481571585)","(1340.0, 485.0)"
1734007659.280387,"(1364.8877969934665, 295.3033946986915)","(1340.0, 485.0)"
1734007659.2863376,"(1311.151419667184, 325.664447888041)","(1340.0, 485.0)"
1734007659.2958553,"(1330.1740304234118, 314.9166728107723)","(1335.0, 485.0)"
1734007659.3021486,"(1366.491525390413, 294.39728815441674)","(1335.0, 485.0)"
1734007659.325143,"(1396.7337545534356, 277.31042867730906)","(1335.0, 485.0)"
1734007659.3290524,"(1370.584605653737, 265.4627203169993)","(1340.0, 485.0)"
1734007659.3319106,"(1370.584605653737, 265.4627203169993)","(1340.0, 485.0)"
1734007659.3389106,"(1370.584605653737, 265.4627203169993)","(1340.0, 485.0)"
1734007659.352713,"(1302.6350619530012, 307.4040670417731)","(1335.0, 480.0)"
1734007659.3561645,"(1301.5043216771421, 307.8781982100162)","(1340.0, 485.0)"
1734007659.3597128,"(1243.9809217800973, 331.9983585835232)","(1305.0, 195.0)"
1734007659.3617108,"(1254.0058808609165, 325.50663493415647)","(1310.0, 195.0)"
1734007659.3656764,"(1263.568498010004, 319.31430363423635)","(1315.0, 190.0)"
1734007659.3749738,"(1206.6959641355338, 341.87368671849885)","(1310.0, 185.0)"
1734007659.3867223,"(1196.1907115715776, 349.11003692988044)","(1305.0, 190.0)"
1734007659.397415,"(1185.329769695316, 356.5913971888185)","(1300.0, 190.0)"
1734007659.4144146,"(1196.1907115715776, 349.11003692988044)","(1305.0, 190.0)"
1734007659.4204311,"(1206.6959641355338, 341.87368671849885)","(1310.0, 185.0)"
1734007659.4234147,"(1206.6959641355338, 341.87368671849885)","(1310.0, 185.0)"
1734007659.431728,"(1209.9976072916988, 340.56403814662656)","(1310.0, 190.0)"
1734007659.4356894,"(1221.0085094692574, 336.1963909994966)","(1310.0, 195.0)"
1734007659.449718,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.4527235,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.4567163,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.458722,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.4610262,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.4637258,"(1221.9350764473122, 338.59974005181516)","(1310.0, 195.0)"
1734007659.4746616,"(1221.9350764473122, 338.59974005181516)","(1310.0, 195.0)"
1734007659.4766617,"(1223.482709812528, 337.96790911695496)","(1310.0, 200.0)"
1734007659.4786625,"(1233.6396589551962, 331.18604733032186)","(1310.0, 195.0)"
1734007659.4896643,"(1233.6396589551962, 331.18604733032186)","(1310.0, 195.0)"
1734007659.4916744,"(1233.6396589551962, 331.18604733032186)","(1310.0, 195.0)"
1734007659.501675,"(1233.6396589551962, 331.18604733032186)","(1310.0, 195.0)"
1734007659.5036983,"(1233.6396589551962, 331.18604733032186)","(1310.0, 195.0)"
1734007659.5057244,"(1233.6396589551962, 331.18604733032186)","(1310.0, 195.0)"
1734007659.5077283,"(1233.6396589551962, 331.18604733032186)","(1310.0, 195.0)"
1734007659.5097277,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.5246196,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.5298162,"(1221.0085094692574, 336.1963909994966)","(1310.0, 195.0)"
1734007659.534197,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.5371132,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.5515978,"(1221.0085094692574, 336.1963909994966)","(1310.0, 195.0)"
1734007659.5570214,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.563029,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.5656843,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.5666344,"(1221.0085094692574, 336.1963909994966)","(1310.0, 195.0)"
1734007659.5794847,"(1209.9976072916988, 340.56403814662656)","(1310.0, 190.0)"
1734007659.581481,"(1209.9976072916988, 340.56403814662656)","(1310.0, 190.0)"
1734007659.5845404,"(1209.9976072916988, 340.56403814662656)","(1310.0, 190.0)"
1734007659.5864878,"(1199.133264582175, 345.91679185273074)","(1055.0, 535.0)"
1734007659.5979702,"(1201.0245218167865, 345.159060477239)","(1055.0, 535.0)"
