timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734006730.5240846,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.525087,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.5330844,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.5409567,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.5489566,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.5499568,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.5519638,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.5529573,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.553972,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.5557427,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.5567577,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.5597928,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.5637555,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.5657573,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.56876,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.5707617,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.5793395,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.5996013,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.602602,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.6036031,342eb61ec446,"(1461.0, 241.0)","(1340.0, 310.0)"
1734006730.6066012,342eb61ec446,"(1335.409950596763, 436.05894146444797)","(1350.0, 375.0)"
1734006730.612434,342eb61ec446,"(1335.409950596763, 436.05894146444797)","(1350.0, 375.0)"
1734006730.61577,342eb61ec446,"(1335.409950596763, 436.05894146444797)","(1350.0, 375.0)"
1734006730.6217687,342eb61ec446,"(1335.409950596763, 436.05894146444797)","(1350.0, 375.0)"
1734006730.6277685,342eb61ec446,"(1335.409950596763, 436.05894146444797)","(1350.0, 375.0)"
1734006730.6287713,342eb61ec446,"(1335.409950596763, 436.05894146444797)","(1350.0, 375.0)"
1734006730.633571,342eb61ec446,"(1335.409950596763, 436.05894146444797)","(1350.0, 375.0)"
1734006730.634573,342eb61ec446,"(1335.409950596763, 436.05894146444797)","(1350.0, 375.0)"
1734006730.6475706,342eb61ec446,"(1335.409950596763, 436.05894146444797)","(1350.0, 375.0)"
1734006730.6480274,342eb61ec446,"(1335.409950596763, 436.05894146444797)","(1350.0, 375.0)"
1734006730.6490548,342eb61ec446,"(1335.409950596763, 436.05894146444797)","(1350.0, 375.0)"
1734006730.6500585,342eb61ec446,"(1335.409950596763, 436.05894146444797)","(1350.0, 375.0)"
1734006730.6510613,342eb61ec446,"(1335.409950596763, 436.05894146444797)","(1350.0, 375.0)"
1734006730.65208,342eb61ec446,"(1335.409950596763, 436.05894146444797)","(1350.0, 375.0)"
1734006730.6600544,342eb61ec446,"(1194.1795800938426, 313.71028894030513)","(0.0, 805.0)"
1734006730.661055,342eb61ec446,"(1194.1795800938426, 313.71028894030513)","(0.0, 805.0)"
1734006730.6630547,342eb61ec446,"(1194.1795800938426, 313.71028894030513)","(0.0, 805.0)"
1734006730.6651144,342eb61ec446,"(1194.1795800938426, 313.71028894030513)","(0.0, 805.0)"
1734006730.6691177,342eb61ec446,"(1194.1795800938426, 313.71028894030513)","(0.0, 805.0)"
1734006730.670096,342eb61ec446,"(1194.1795800938426, 313.71028894030513)","(0.0, 805.0)"
1734006730.6751354,342eb61ec446,"(1194.1795800938426, 313.71028894030513)","(0.0, 805.0)"
1734006730.6760943,342eb61ec446,"(1194.1795800938426, 313.71028894030513)","(0.0, 805.0)"
1734006730.6821263,342eb61ec446,"(1194.1795800938426, 313.71028894030513)","(0.0, 805.0)"
1734006730.6841228,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.6851163,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.6885073,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.6895466,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.6905198,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.6925466,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.6935215,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.6985216,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.7095218,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.715105,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.7171392,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.7221212,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.724121,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.728122,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.730121,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.737132,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.7391672,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.7431557,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.7471385,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.7523346,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.7541084,342eb61ec446,"(1203.213440642658, 278.7059920204974)","(1335.0, 115.0)"
1734006730.7571518,342eb61ec446,"(1201.5787042066531, 285.0402495931413)","(1330.0, 115.0)"
1734006730.7611392,342eb61ec446,"(1201.5787042066531, 285.0402495931413)","(1330.0, 115.0)"
1734006730.7631233,342eb61ec446,"(1201.5787042066531, 285.0402495931413)","(1330.0, 115.0)"
