timestamp,estimation_twcl_rssi_9,estimation_fpl
1734005310.6574392,"(1461.0, 241.0)","(1465.0, 115.0)"
1734005310.6584392,"(1461.0, 241.0)","(1230.0, 540.0)"
1734005310.6594398,"(1149.215598862339, 417.15818664277856)","(1205.0, 260.0)"
1734005310.6604395,"(1067.622843386837, 302.664876101449)","(1370.0, 475.0)"
1734005310.663439,"(1131.9256582132011, 292.5849183749218)","(1365.0, 495.0)"
1734005310.6644392,"(1131.9256582132011, 292.5849183749218)","(1365.0, 495.0)"
1734005310.6654396,"(1131.2941342130653, 331.3833841375356)","(1305.0, 525.0)"
1734005310.6734395,"(1131.2941342130653, 331.3833841375356)","(1305.0, 525.0)"
1734005310.6764398,"(1122.479842760019, 336.13877983034615)","(1055.0, 65.0)"
1734005310.679439,"(1127.6933541263681, 331.2765570687502)","(1200.0, 105.0)"
1734005310.68144,"(1120.912525847867, 333.11315360421077)","(1065.0, 65.0)"
1734005310.6844392,"(1121.6540519749874, 327.58639092084286)","(1195.0, 90.0)"
1734005310.6874402,"(1115.1341688405548, 329.24998276014963)","(1060.0, 55.0)"
1734005310.6884398,"(1115.1341688405548, 329.24998276014963)","(1060.0, 55.0)"
1734005310.6894395,"(1108.9238797786247, 330.83457959879553)","(1050.0, 50.0)"
1734005310.6924393,"(1104.7067398316508, 331.9106110945057)","(1055.0, 50.0)"
1734005310.695439,"(1100.7284114332683, 332.9257082244954)","(1055.0, 50.0)"
1734005310.6974392,"(1100.7284114332683, 332.9257082244954)","(1055.0, 50.0)"
1734005310.6984391,"(1100.7284114332683, 332.9257082244954)","(1055.0, 50.0)"
1734005310.6994395,"(1104.7067398316508, 331.9106110945057)","(1055.0, 50.0)"
1734005310.7004392,"(1088.512915837984, 340.8715993646814)","(965.0, 55.0)"
1734005310.7034404,"(1092.8510020563024, 339.70846746769223)","(965.0, 60.0)"
1734005310.7084394,"(1092.8510020563024, 339.70846746769223)","(965.0, 60.0)"
1734005310.7124395,"(1088.0873770716316, 344.6455121119839)","(960.0, 60.0)"
1734005310.7134397,"(1083.7844842790596, 345.84143710789044)","(960.0, 60.0)"
1734005310.7194512,"(1088.512915837984, 340.8715993646814)","(965.0, 55.0)"
1734005310.7204406,"(1088.512915837984, 340.8715993646814)","(965.0, 55.0)"
1734005310.7274406,"(1084.4220178277412, 341.96845491885426)","(965.0, 55.0)"
1734005310.7294395,"(1084.4220178277412, 341.96845491885426)","(965.0, 55.0)"
1734005310.7314394,"(1084.4220178277412, 341.96845491885426)","(965.0, 55.0)"
1734005310.735451,"(1084.4220178277412, 341.96845491885426)","(965.0, 55.0)"
1734005310.736442,"(1084.4220178277412, 341.96845491885426)","(965.0, 55.0)"
1734005310.7394392,"(1084.0340361491121, 347.588096000171)","(970.0, 60.0)"
1734005310.7494397,"(1085.7352513711528, 346.6540936393473)","(985.0, 60.0)"
1734005310.75044,"(1085.7352513711528, 346.6540936393473)","(985.0, 60.0)"
1734005310.7564394,"(1085.7352513711528, 346.6540936393473)","(985.0, 60.0)"
1734005310.76044,"(1085.7352513711528, 346.6540936393473)","(985.0, 60.0)"
1734005310.7634394,"(1084.0340361491121, 347.588096000171)","(970.0, 60.0)"
1734005310.7644398,"(1084.0340361491121, 347.588096000171)","(970.0, 60.0)"
1734005310.7654395,"(1082.110366043593, 348.64423069537145)","(955.0, 60.0)"
1734005310.76644,"(1088.7548158435109, 346.7565129459109)","(965.0, 65.0)"
