timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734005310.6574392,20f094118214,"(1461.0, 241.0)","(1445.0, 405.0)"
1734005310.6584392,20f094118214,"(1461.0, 241.0)","(1420.0, 400.0)"
1734005310.6594398,20f094118214,"(1161.0, 410.5)","(1210.0, 270.0)"
1734005310.6604395,20f094118214,"(1078.038088359387, 301.03220684244036)","(1365.0, 465.0)"
1734005310.663439,20f094118214,"(1139.2458580573975, 291.43742109694915)","(1360.0, 495.0)"
1734005310.6644392,20f094118214,"(1139.2458580573975, 291.43742109694915)","(1360.0, 495.0)"
1734005310.6654396,20f094118214,"(1143.693637659834, 324.54916714378294)","(1295.0, 525.0)"
1734005310.6734395,20f094118214,"(1143.693637659834, 324.54916714378294)","(1295.0, 525.0)"
1734005310.6764398,20f094118214,"(1134.7884622824429, 329.3548374022192)","(1210.0, 110.0)"
1734005310.679439,20f094118214,"(1153.296847699755, 312.4109631656235)","(1210.0, 100.0)"
1734005310.68144,20f094118214,"(1114.8147894581164, 321.34178114096113)","(1100.0, 55.0)"
1734005310.6844392,20f094118214,"(1116.2907128774689, 309.09606823760856)","(1160.0, 55.0)"
1734005310.6874402,20f094118214,"(1128.1306828231836, 306.75712515868884)","(1195.0, 70.0)"
1734005310.6884398,20f094118214,"(1109.4840720710986, 325.8303872568472)","(1050.0, 45.0)"
1734005310.6894395,20f094118214,"(1109.4840720710986, 325.8303872568472)","(1050.0, 45.0)"
1734005310.6924393,20f094118214,"(1101.225882558966, 327.82331377509115)","(1055.0, 45.0)"
1734005310.695439,20f094118214,"(1101.225882558966, 327.82331377509115)","(1055.0, 45.0)"
1734005310.6974392,20f094118214,"(1101.225882558966, 327.82331377509115)","(1055.0, 45.0)"
1734005310.6984391,20f094118214,"(1053.924836107084, 377.4775018340241)","(995.0, 55.0)"
1734005310.6994395,20f094118214,"(1061.4629933143738, 374.95023179808146)","(995.0, 60.0)"
1734005310.7004392,20f094118214,"(1048.9614875157301, 381.61773873501966)","(930.0, 75.0)"
1734005310.7034404,20f094118214,"(1057.6464015010642, 378.65380956645095)","(935.0, 75.0)"
1734005310.7084394,20f094118214,"(1092.798372851311, 342.6617168377003)","(950.0, 60.0)"
1734005310.7124395,20f094118214,"(1081.918277106739, 353.80184354736673)","(945.0, 65.0)"
1734005310.7134397,20f094118214,"(1028.9428326586362, 369.5655362700826)","(835.0, 100.0)"
1734005310.7194512,20f094118214,"(1069.6331927307417, 318.5800076518095)","(845.0, 55.0)"
1734005310.7204406,20f094118214,"(1087.2195278265074, 344.4981617237783)","(830.0, 55.0)"
1734005310.7274406,20f094118214,"(1091.1394720506164, 343.41274648285923)","(1160.0, 60.0)"
1734005310.7294395,20f094118214,"(1064.6519743346894, 370.64234026490476)","(840.0, 70.0)"
1734005310.7314394,20f094118214,"(1050.814041936284, 345.69815292767794)","(850.0, 75.0)"
1734005310.735451,20f094118214,"(1084.7627706894102, 337.0328899540902)","(955.0, 50.0)"
1734005310.736442,20f094118214,"(1084.7627706894102, 337.0328899540902)","(955.0, 50.0)"
1734005310.7394392,20f094118214,"(1084.0340361491121, 347.588096000171)","(970.0, 60.0)"
1734005310.7494397,20f094118214,"(1087.2414676785388, 345.82714971785924)","(995.0, 60.0)"
1734005310.75044,20f094118214,"(1083.6479390836691, 339.9597294694619)","(1005.0, 55.0)"
1734005310.7564394,20f094118214,"(1124.7142863892582, 329.1901722294893)","(1225.0, 130.0)"
1734005310.76044,20f094118214,"(1170.1537558391988, 317.2737735404701)","(1250.0, 155.0)"
1734005310.7634394,20f094118214,"(1163.581831416696, 320.77701275501096)","(1395.0, 400.0)"
1734005310.7644398,20f094118214,"(1092.0297226754353, 339.969564168025)","(1405.0, 480.0)"
1734005310.7654395,20f094118214,"(1089.4600764106106, 341.3887759392083)","(1405.0, 485.0)"
1734005310.76644,20f094118214,"(1108.5137796205331, 336.24053258523975)","(1405.0, 480.0)"
1734005310.7714396,20f094118214,"(1076.078762727794, 345.0043596646363)","(1410.0, 480.0)"
1734005310.7754395,20f094118214,"(1049.2470160845194, 374.3207989252278)","(1375.0, 495.0)"
1734005310.7834396,20f094118214,"(1038.8260744084757, 385.70674810496473)","(1365.0, 495.0)"
1734005310.7854486,20f094118214,"(1038.8260744084757, 385.70674810496473)","(1365.0, 495.0)"
1734005310.7874403,20f094118214,"(1026.6768877174495, 358.9715233992155)","(880.0, 125.0)"
1734005310.7924397,20f094118214,"(1026.6768877174495, 358.9715233992155)","(880.0, 125.0)"
1734005310.7954395,20f094118214,"(1026.6768877174495, 358.9715233992155)","(880.0, 125.0)"
1734005310.7994404,20f094118214,"(1036.150612524379, 363.84165239492677)","(1325.0, 495.0)"
1734005310.8004394,20f094118214,"(1040.206119265352, 362.66903648904054)","(1320.0, 490.0)"
1734005310.80144,20f094118214,"(1040.206119265352, 362.66903648904054)","(1320.0, 490.0)"
1734005310.8024514,20f094118214,"(1049.6495842394688, 351.21654061378626)","(1315.0, 490.0)"
1734005310.8104398,20f094118214,"(1057.2873821827, 365.3356226194634)","(1300.0, 495.0)"
1734005310.8134398,20f094118214,"(1057.2873821827, 365.3356226194634)","(1300.0, 495.0)"
1734005310.8144395,20f094118214,"(1075.4736593330595, 345.4466933467806)","(1365.0, 480.0)"
1734005310.824439,20f094118214,"(1061.2527014493087, 349.29943146218955)","(1370.0, 480.0)"
1734005310.825439,20f094118214,"(1096.8945777594504, 339.6433438422639)","(1370.0, 440.0)"
1734005310.8264396,20f094118214,"(1087.838627456023, 348.8705925307946)","(1360.0, 445.0)"
1734005310.8284397,20f094118214,"(1103.345999163041, 371.98806681924066)","(1375.0, 440.0)"
1734005310.82944,20f094118214,"(1103.345999163041, 371.98806681924066)","(1375.0, 440.0)"
1734005310.8304403,20f094118214,"(1092.5334941136246, 375.94806483570915)","(1380.0, 440.0)"
1734005310.8334398,20f094118214,"(1100.6364268659097, 371.77092556049126)","(1210.0, 200.0)"
1734005310.835447,20f094118214,"(1082.5869970550198, 378.32081244745183)","(1185.0, 220.0)"
1734005310.836442,20f094118214,"(1089.1533329527704, 389.3421605150436)","(1210.0, 160.0)"
1734005310.83944,20f094118214,"(1050.9119454158904, 421.2988285694952)","(1150.0, 255.0)"
1734005310.8404405,20f094118214,"(1100.2919526436967, 380.03409940705086)","(1215.0, 145.0)"
1734005310.84144,20f094118214,"(1079.3931884717895, 388.0894806957617)","(1195.0, 130.0)"
1734005310.8424397,20f094118214,"(1079.3931884717895, 388.0894806957617)","(1195.0, 130.0)"
1734005310.8474398,20f094118214,"(1106.7200246916616, 364.07633556703956)","(1200.0, 110.0)"
1734005310.8484397,20f094118214,"(1088.2954396060745, 337.6806439286653)","(1200.0, 115.0)"
1734005310.8524606,20f094118214,"(1087.7058498525014, 345.4806406738481)","(1195.0, 125.0)"
1734005310.8614397,20f094118214,"(1075.0012870614635, 372.18037008583417)","(1170.0, 230.0)"
1734005310.8664396,20f094118214,"(1075.0012870614635, 372.18037008583417)","(1170.0, 230.0)"
1734005310.8674405,20f094118214,"(1075.0012870614635, 372.18037008583417)","(1170.0, 230.0)"
1734005310.8734396,20f094118214,"(1084.5948559022063, 362.8639217905179)","(1185.0, 210.0)"
1734005310.87444,20f094118214,"(1096.2113255342847, 359.1030046805282)","(1190.0, 215.0)"
1734005310.87644,20f094118214,"(1096.2113255342847, 359.1030046805282)","(1190.0, 215.0)"
1734005310.8794394,20f094118214,"(1104.1239142051854, 356.5412461549841)","(1200.0, 210.0)"
1734005310.8824396,20f094118214,"(1094.2115825655546, 365.6518154839275)","(1185.0, 235.0)"
1734005310.8834488,20f094118214,"(1106.3793675888708, 361.5166344872549)","(1190.0, 245.0)"
