timestamp,estimation_twcl_rssi_9,estimation_fpl
1734005310.6574392,"(1461.0, 241.0)","(1465.0, 115.0)"
1734005310.6584392,"(1461.0, 241.0)","(1330.0, 490.0)"
1734005310.6594398,"(1161.0, 410.5)","(1380.0, 445.0)"
1734005310.6604395,"(1161.0, 410.5)","(1380.0, 445.0)"
1734005310.663439,"(1161.0, 410.5)","(1380.0, 445.0)"
1734005310.6644392,"(1161.0, 410.5)","(1380.0, 445.0)"
1734005310.6654396,"(1184.431033258511, 397.2614662089412)","(1225.0, 245.0)"
1734005310.6734395,"(1184.431033258511, 397.2614662089412)","(1225.0, 245.0)"
1734005310.6764398,"(1184.431033258511, 397.2614662089412)","(1225.0, 245.0)"
1734005310.679439,"(1229.0418446533008, 372.0563577708851)","(1250.0, 190.0)"
1734005310.68144,"(1161.0, 410.5)","(1435.0, 480.0)"
1734005310.6844392,"(1161.0, 410.5)","(1435.0, 480.0)"
1734005310.6874402,"(1183.6464454199631, 397.7047583377208)","(1435.0, 450.0)"
1734005310.6884398,"(1137.9679274164866, 423.5131210096851)","(1400.0, 485.0)"
1734005310.6894395,"(1137.9679274164866, 423.5131210096851)","(1400.0, 485.0)"
1734005310.6924393,"(1137.9679274164866, 423.5131210096851)","(1400.0, 485.0)"
1734005310.695439,"(1137.9679274164866, 423.5131210096851)","(1400.0, 485.0)"
1734005310.6974392,"(1137.9679274164866, 423.5131210096851)","(1400.0, 485.0)"
1734005310.6984391,"(1047.403063882474, 474.68226890640227)","(1135.0, 290.0)"
1734005310.6994395,"(1047.403063882474, 474.68226890640227)","(1135.0, 290.0)"
1734005310.7004392,"(1026.7494703520647, 483.67190576263965)","(1100.0, 515.0)"
1734005310.7034404,"(1026.7494703520647, 483.67190576263965)","(1100.0, 515.0)"
1734005310.7084394,"(1084.9126545169088, 449.86939240633546)","(1385.0, 430.0)"
1734005310.7124395,"(1065.1733243072824, 461.34123636804713)","(1370.0, 440.0)"
1734005310.7134397,"(1065.1733243072824, 461.34123636804713)","(1370.0, 440.0)"
1734005310.7194512,"(1161.8695217201405, 405.14461385700474)","(1450.0, 375.0)"
1734005310.7204406,"(1161.8695217201405, 405.14461385700474)","(1450.0, 375.0)"
1734005310.7274406,"(1161.8695217201405, 405.14461385700474)","(1450.0, 375.0)"
1734005310.7294395,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.7314394,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.735451,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.736442,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.7394392,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.7494397,"(1111.212806313062, 435.4634270146428)","(1390.0, 390.0)"
1734005310.75044,"(1107.307106336457, 437.1636637681468)","(1420.0, 385.0)"
1734005310.7564394,"(1180.964693542288, 396.31200282309436)","(1385.0, 365.0)"
1734005310.76044,"(1180.964693542288, 396.31200282309436)","(1385.0, 365.0)"
1734005310.7634394,"(1166.385277881016, 402.9325240251496)","(1410.0, 415.0)"
1734005310.7644398,"(1166.385277881016, 402.9325240251496)","(1410.0, 415.0)"
1734005310.7654395,"(1161.5028489263843, 405.1496378768062)","(1410.0, 430.0)"
1734005310.76644,"(1187.611008953799, 390.8401694936613)","(1405.0, 420.0)"
1734005310.7714396,"(1135.4146149031797, 419.4481851331098)","(1415.0, 440.0)"
1734005310.7754395,"(1078.0604088094458, 453.00442222291474)","(1370.0, 470.0)"
1734005310.7834396,"(1058.654871728124, 464.35802377206056)","(1355.0, 480.0)"
