timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734005310.6574392,20f094118214,"(1461.0, 241.0)","(1445.0, 405.0)"
1734005310.6584392,20f094118214,"(1461.0, 241.0)","(1085.0, 565.0)"
1734005310.6594398,20f094118214,"(1149.215598862339, 417.15818664277856)","(1205.0, 260.0)"
1734005310.6604395,20f094118214,"(1149.215598862339, 417.15818664277856)","(1205.0, 260.0)"
1734005310.663439,20f094118214,"(1149.215598862339, 417.15818664277856)","(1205.0, 260.0)"
1734005310.6644392,20f094118214,"(1149.215598862339, 417.15818664277856)","(1205.0, 260.0)"
1734005310.6654396,20f094118214,"(1161.0, 410.5)","(1390.0, 455.0)"
1734005310.6734395,20f094118214,"(1161.0, 410.5)","(1390.0, 455.0)"
1734005310.6764398,20f094118214,"(1161.0, 410.5)","(1390.0, 455.0)"
1734005310.679439,20f094118214,"(1172.6824740414222, 403.8994021665965)","(1220.0, 240.0)"
1734005310.68144,20f094118214,"(1161.0, 410.5)","(1400.0, 460.0)"
1734005310.6844392,20f094118214,"(1161.0, 410.5)","(1400.0, 460.0)"
1734005310.6874402,20f094118214,"(1149.4177058331718, 417.0439962042578)","(1205.0, 225.0)"
1734005310.6884398,20f094118214,"(1149.4177058331718, 417.0439962042578)","(1205.0, 225.0)"
1734005310.6894395,20f094118214,"(1137.9679274164866, 423.5131210096851)","(1200.0, 220.0)"
1734005310.6924393,20f094118214,"(1137.9679274164866, 423.5131210096851)","(1200.0, 220.0)"
1734005310.695439,20f094118214,"(1137.9679274164866, 423.5131210096851)","(1200.0, 220.0)"
1734005310.6974392,20f094118214,"(1137.9679274164866, 423.5131210096851)","(1200.0, 220.0)"
1734005310.6984391,20f094118214,"(1137.9679274164866, 423.5131210096851)","(1200.0, 220.0)"
1734005310.6994395,20f094118214,"(1137.9679274164866, 423.5131210096851)","(1200.0, 220.0)"
1734005310.7004392,20f094118214,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.7034404,20f094118214,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.7084394,20f094118214,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.7124395,20f094118214,"(1094.8077557861834, 444.11868777041525)","(1390.0, 425.0)"
1734005310.7134397,20f094118214,"(1094.8077557861834, 444.11868777041525)","(1390.0, 425.0)"
1734005310.7194512,20f094118214,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.7204406,20f094118214,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.7274406,20f094118214,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.7294395,20f094118214,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.7314394,20f094118214,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.735451,20f094118214,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.736442,20f094118214,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.7394392,20f094118214,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.7494397,20f094118214,"(1108.1394538537488, 436.8361549573758)","(1395.0, 405.0)"
1734005310.75044,20f094118214,"(1108.1394538537488, 436.8361549573758)","(1395.0, 405.0)"
1734005310.7564394,20f094118214,"(1108.1394538537488, 436.8361549573758)","(1395.0, 405.0)"
1734005310.76044,20f094118214,"(1108.1394538537488, 436.8361549573758)","(1395.0, 405.0)"
1734005310.7634394,20f094118214,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.7644398,20f094118214,"(1104.679478977071, 438.3815696981999)","(1400.0, 420.0)"
1734005310.7654395,20f094118214,"(1100.7813875542245, 440.1226713421895)","(1405.0, 435.0)"
1734005310.76644,20f094118214,"(1113.1044565612983, 433.31069013121845)","(1400.0, 430.0)"
1734005310.7714396,20f094118214,"(1125.6022897262771, 426.4021022908992)","(1395.0, 425.0)"
1734005310.7754395,20f094118214,"(1125.6022897262771, 426.4021022908992)","(1395.0, 425.0)"
1734005310.7834396,20f094118214,"(1125.6022897262771, 426.4021022908992)","(1395.0, 425.0)"
1734005310.7854486,20f094118214,"(1125.6022897262771, 426.4021022908992)","(1395.0, 425.0)"
1734005310.7874403,20f094118214,"(1125.6022897262771, 426.4021022908992)","(1395.0, 425.0)"
1734005310.7924397,20f094118214,"(1125.6022897262771, 426.4021022908992)","(1395.0, 425.0)"
1734005310.7954395,20f094118214,"(1125.6022897262771, 426.4021022908992)","(1395.0, 425.0)"
