timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734005556.201239,20f094118214,"(861.0, 580.0)","(1015.0, 205.0)"
1734005556.2062871,20f094118214,"(1043.6608630367557, 476.7966123842329)","(1125.0, 385.0)"
1734005556.2093222,20f094118214,"(1043.6608630367557, 476.7966123842329)","(1125.0, 385.0)"
1734005556.212444,20f094118214,"(1043.6608630367557, 476.7966123842329)","(1125.0, 385.0)"
1734005556.2152848,20f094118214,"(1043.6608630367557, 476.7966123842329)","(1125.0, 385.0)"
1734005556.2202828,20f094118214,"(1043.6608630367557, 476.7966123842329)","(1125.0, 385.0)"
1734005556.23227,20f094118214,"(1089.4162022393703, 450.9448457347557)","(1335.0, 490.0)"
1734005556.2342632,20f094118214,"(1089.4162022393703, 450.9448457347557)","(1335.0, 490.0)"
1734005556.2362635,20f094118214,"(1089.4162022393703, 450.9448457347557)","(1335.0, 490.0)"
1734005556.243384,20f094118214,"(1089.4162022393703, 450.9448457347557)","(1335.0, 490.0)"
1734005556.2454472,20f094118214,"(1089.4162022393703, 450.9448457347557)","(1335.0, 490.0)"
1734005556.252442,20f094118214,"(1089.4162022393703, 450.9448457347557)","(1335.0, 490.0)"
1734005556.2624085,20f094118214,"(1089.4162022393703, 450.9448457347557)","(1335.0, 490.0)"
1734005556.27013,20f094118214,"(1113.191584495663, 437.51175475995046)","(1155.0, 555.0)"
1734005556.272183,20f094118214,"(1090.6363446492942, 450.25546527314873)","(1120.0, 590.0)"
1734005556.2745695,20f094118214,"(1113.191584495663, 437.51175475995046)","(1155.0, 555.0)"
1734005556.2751296,20f094118214,"(1113.191584495663, 437.51175475995046)","(1155.0, 555.0)"
1734005556.276131,20f094118214,"(1113.191584495663, 437.51175475995046)","(1155.0, 555.0)"
1734005556.3223252,20f094118214,"(1113.191584495663, 437.51175475995046)","(1155.0, 555.0)"
1734005556.3238823,20f094118214,"(1113.191584495663, 437.51175475995046)","(1155.0, 555.0)"
1734005556.324908,20f094118214,"(1113.191584495663, 437.51175475995046)","(1155.0, 555.0)"
1734005556.3259037,20f094118214,"(1113.191584495663, 437.51175475995046)","(1155.0, 555.0)"
1734005556.3278985,20f094118214,"(1113.191584495663, 437.51175475995046)","(1155.0, 555.0)"
1734005556.336933,20f094118214,"(1137.1559703435644, 423.9718767558862)","(1365.0, 465.0)"
1734005556.337931,20f094118214,"(1137.1559703435644, 423.9718767558862)","(1365.0, 465.0)"
1734005556.338933,20f094118214,"(1137.1559703435644, 423.9718767558862)","(1365.0, 465.0)"
1734005556.382969,20f094118214,"(1022.243291145086, 488.89754050302656)","(1100.0, 420.0)"
1734005556.384961,20f094118214,"(1022.243291145086, 488.89754050302656)","(1100.0, 420.0)"
1734005556.3869612,20f094118214,"(1022.243291145086, 488.89754050302656)","(1100.0, 420.0)"
1734005556.3929522,20f094118214,"(1022.243291145086, 488.89754050302656)","(1100.0, 420.0)"
1734005556.3976223,20f094118214,"(1089.4162022393703, 450.9448457347557)","(1335.0, 490.0)"
1734005556.3986225,20f094118214,"(1089.4162022393703, 450.9448457347557)","(1335.0, 490.0)"
1734005556.399622,20f094118214,"(1069.9882720814524, 459.50879782798637)","(1120.0, 500.0)"
1734005556.401622,20f094118214,"(1069.9882720814524, 459.50879782798637)","(1120.0, 500.0)"
1734005556.4326038,20f094118214,"(1069.9882720814524, 459.50879782798637)","(1120.0, 500.0)"
1734005556.438609,20f094118214,"(1069.9882720814524, 459.50879782798637)","(1120.0, 500.0)"
1734005556.4486358,20f094118214,"(1091.2674556876864, 447.24038492415195)","(1320.0, 435.0)"
1734005556.4556406,20f094118214,"(1103.1183015221893, 452.65043488615174)","(1145.0, 500.0)"
1734005556.4586358,20f094118214,"(1103.1183015221893, 452.65043488615174)","(1145.0, 500.0)"
1734005556.4596364,20f094118214,"(1103.1183015221893, 452.65043488615174)","(1145.0, 500.0)"
1734005556.4640949,20f094118214,"(1038.019644464003, 486.89107515883984)","(1095.0, 500.0)"
1734005556.468114,20f094118214,"(1038.019644464003, 486.89107515883984)","(1095.0, 500.0)"
1734005556.502221,20f094118214,"(1038.019644464003, 486.89107515883984)","(1095.0, 500.0)"
1734005556.5031736,20f094118214,"(1038.019644464003, 486.89107515883984)","(1095.0, 500.0)"
1734005556.5051734,20f094118214,"(1038.019644464003, 486.89107515883984)","(1095.0, 500.0)"
1734005556.510468,20f094118214,"(1038.019644464003, 486.89107515883984)","(1095.0, 500.0)"
1734005556.5154636,20f094118214,"(1039.0595526238894, 487.2999512414711)","(1100.0, 505.0)"
1734005556.5164638,20f094118214,"(1039.0595526238894, 487.2999512414711)","(1100.0, 505.0)"
1734005556.517464,20f094118214,"(1039.0595526238894, 487.2999512414711)","(1100.0, 505.0)"
1734005556.552322,20f094118214,"(1104.4484534203275, 453.25766481104245)","(1200.0, 475.0)"
1734005556.557324,20f094118214,"(1104.4484534203275, 453.25766481104245)","(1200.0, 475.0)"
1734005556.5577383,20f094118214,"(1104.4484534203275, 453.25766481104245)","(1200.0, 475.0)"
1734005556.5587597,20f094118214,"(1104.4484534203275, 453.25766481104245)","(1200.0, 475.0)"
1734005556.562795,20f094118214,"(1039.0595526238894, 487.2999512414711)","(1100.0, 505.0)"
1734005556.588101,20f094118214,"(1037.2833070963122, 488.05595088271)","(1100.0, 515.0)"
1734005556.5901017,20f094118214,"(1037.2833070963122, 488.05595088271)","(1100.0, 515.0)"
1734005556.593099,20f094118214,"(1101.851359180632, 454.37920491035896)","(1185.0, 500.0)"
1734005559.2701592,20f094118214,"(1038.699681966748, 491.89919842032066)","(1130.0, 535.0)"
1734005559.2714272,20f094118214,"(1038.699681966748, 491.89919842032066)","(1130.0, 535.0)"
1734005559.2733924,20f094118214,"(1125.2971479421271, 440.44947444274396)","(1175.0, 500.0)"
1734005559.277433,20f094118214,"(1036.344196180549, 487.41718205839953)","(1095.0, 510.0)"
1734005559.2873943,20f094118214,"(1015.741503580169, 498.295530926951)","(1085.0, 510.0)"
1734005559.2881083,20f094118214,"(1014.9477074395232, 497.99892816703965)","(1075.0, 510.0)"
1734005559.290032,20f094118214,"(1018.4030678777735, 496.5299307547382)","(1095.0, 455.0)"
1734005559.2910323,20f094118214,"(1107.4629893481922, 449.30189439978005)","(1190.0, 410.0)"
1734005559.311244,20f094118214,"(1107.4629893481922, 449.30189439978005)","(1190.0, 410.0)"
1734005559.3162472,20f094118214,"(1107.4629893481922, 449.30189439978005)","(1190.0, 410.0)"
1734005559.3199687,20f094118214,"(1107.4629893481922, 449.30189439978005)","(1190.0, 410.0)"
1734005559.3583791,20f094118214,"(1109.0064019136598, 448.6312863657881)","(1195.0, 380.0)"
1734005559.359377,20f094118214,"(1109.0064019136598, 448.6312863657881)","(1195.0, 380.0)"
1734005559.3663747,20f094118214,"(1062.7236947453596, 473.1471845736306)","(1145.0, 415.0)"
1734005559.38229,20f094118214,"(1062.7236947453596, 473.1471845736306)","(1145.0, 415.0)"
1734005559.4163134,20f094118214,"(1042.2128372666577, 485.1025476069078)","(1135.0, 410.0)"
1734005559.4173136,20f094118214,"(983.2907919684232, 515.9588162517433)","(1075.0, 445.0)"
1734005559.4193158,20f094118214,"(968.9423526185806, 524.2174594437995)","(1065.0, 445.0)"
1734005559.4285922,20f094118214,"(1023.2998295896243, 496.1265563820109)","(1125.0, 400.0)"
1734005559.477733,20f094118214,"(968.9423526185806, 524.2174594437995)","(1065.0, 445.0)"
1734005559.4794748,20f094118214,"(968.9423526185806, 524.2174594437995)","(1065.0, 445.0)"
1734005559.4804928,20f094118214,"(1003.8702414981575, 506.1673953984837)","(1100.0, 420.0)"
1734005559.4825287,20f094118214,"(1003.8702414981575, 506.1673953984837)","(1100.0, 420.0)"
1734005559.485532,20f094118214,"(1023.2998295896243, 496.1265563820109)","(1125.0, 400.0)"
1734005559.488526,20f094118214,"(1023.2998295896243, 496.1265563820109)","(1125.0, 400.0)"
1734005559.4905252,20f094118214,"(1006.006781660472, 506.2063234594996)","(1120.0, 380.0)"
1734005559.5237515,20f094118214,"(1023.2998295896243, 496.1265563820109)","(1125.0, 400.0)"
1734005559.5317495,20f094118214,"(968.9423526185806, 524.2174594437995)","(1065.0, 445.0)"
1734005559.5347495,20f094118214,"(985.7058492181727, 515.5544054502043)","(1080.0, 435.0)"
1734005559.5357504,20f094118214,"(1132.5067304174217, 430.7546480979897)","(1145.0, 440.0)"
1734005559.536761,20f094118214,"(1132.5067304174217, 430.7546480979897)","(1145.0, 440.0)"
1734005559.5427215,20f094118214,"(1080.1374575496432, 459.5416713367422)","(1115.0, 445.0)"
1734005559.5437214,20f094118214,"(1080.1374575496432, 459.5416713367422)","(1115.0, 445.0)"
1734005559.5447552,20f094118214,"(1080.1374575496432, 459.5416713367422)","(1115.0, 445.0)"
1734005559.659093,20f094118214,"(942.4111361138579, 538.5700270264097)","(1040.0, 455.0)"
1734005559.6621237,20f094118214,"(942.4111361138579, 538.5700270264097)","(1040.0, 455.0)"
1734005559.6690872,20f094118214,"(953.6645816589763, 532.1127188807869)","(1050.0, 450.0)"
1734005559.6711347,20f094118214,"(952.2461262285716, 532.7022515429612)","(1040.0, 490.0)"
1734005559.6731606,20f094118214,"(938.7195608859074, 539.7137939668269)","(1030.0, 490.0)"
1734005559.6829026,20f094118214,"(937.741437184032, 539.4102147397211)","(1025.0, 485.0)"
1734005559.684902,20f094118214,"(937.741437184032, 539.4102147397211)","(1025.0, 485.0)"
1734005559.6868892,20f094118214,"(940.5998258346532, 538.2245611931174)","(1045.0, 390.0)"
1734005559.6908867,20f094118214,"(940.5998258346532, 538.2245611931174)","(1045.0, 390.0)"
1734005559.692973,20f094118214,"(987.0105697012149, 513.8673572664801)","(1090.0, 345.0)"
