timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734006193.5451722,d81c79de34e1,"(884.0, 45.0)","(130.0, 795.0)"
1734006193.5471704,d81c79de34e1,"(1134.5348791195945, 130.10370243923836)","(1400.0, 450.0)"
1734006193.5706637,d81c79de34e1,"(1308.2411270865919, 189.10963762386822)","(810.0, 670.0)"
1734006193.5716224,d81c79de34e1,"(1180.4949129475754, 300.760290734111)","(1400.0, 535.0)"
1734006193.581488,d81c79de34e1,"(1172.8568769379337, 302.387538415678)","(820.0, 710.0)"
1734006193.582475,d81c79de34e1,"(1132.4730066529105, 324.42404511088415)","(1400.0, 530.0)"
1734006193.5854878,d81c79de34e1,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.592822,d81c79de34e1,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.5948825,d81c79de34e1,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.5978613,d81c79de34e1,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.6018603,d81c79de34e1,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.6120875,d81c79de34e1,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.622086,d81c79de34e1,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.6294668,d81c79de34e1,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.631467,d81c79de34e1,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.6324663,d81c79de34e1,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.638198,d81c79de34e1,"(1143.8586877608295, 321.53283801496775)","(1405.0, 520.0)"
1734006193.6391976,d81c79de34e1,"(1143.8586877608295, 321.53283801496775)","(1405.0, 520.0)"
1734006193.6401975,d81c79de34e1,"(1147.0223651416313, 320.729473999599)","(1405.0, 520.0)"
1734006193.6412013,d81c79de34e1,"(1147.0223651416313, 320.729473999599)","(1405.0, 520.0)"
1734006193.642199,d81c79de34e1,"(1147.0223651416313, 320.729473999599)","(1405.0, 520.0)"
1734006193.643206,d81c79de34e1,"(1152.339126119653, 315.9099927862769)","(1405.0, 520.0)"
1734006193.6452012,d81c79de34e1,"(1157.4384597722624, 311.28760279342146)","(1405.0, 525.0)"
1734006193.6471994,d81c79de34e1,"(1157.4384597722624, 311.28760279342146)","(1405.0, 525.0)"
1734006193.6481986,d81c79de34e1,"(1157.4384597722624, 311.28760279342146)","(1405.0, 525.0)"
1734006193.649202,d81c79de34e1,"(1153.9528358208959, 307.8931335332386)","(1390.0, 535.0)"
1734006193.6501975,d81c79de34e1,"(1150.2932107629406, 304.32921357619483)","(1380.0, 540.0)"
1734006193.654323,d81c79de34e1,"(1150.2932107629406, 304.32921357619483)","(1380.0, 540.0)"
1734006193.6563764,d81c79de34e1,"(1134.5139794704426, 392.88062315022216)","(1385.0, 535.0)"
1734006193.6573794,d81c79de34e1,"(1134.5139794704426, 392.88062315022216)","(1385.0, 535.0)"
1734006193.660336,d81c79de34e1,"(1134.5139794704426, 392.88062315022216)","(1385.0, 535.0)"
1734006193.6613655,d81c79de34e1,"(1134.5139794704426, 392.88062315022216)","(1385.0, 535.0)"
1734006193.674414,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.6784215,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.6867943,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.6887915,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.6918316,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.6928332,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.6987915,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.7011075,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.702639,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.7043917,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.7237945,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.726792,d81c79de34e1,"(1124.0831173890685, 397.9591915730559)","(1480.0, 125.0)"
1734006193.732794,d81c79de34e1,"(1132.0374431637838, 394.2535163530054)","(1480.0, 130.0)"
1734006193.7376883,d81c79de34e1,"(1132.0374431637838, 394.2535163530054)","(1480.0, 130.0)"
1734006193.7427013,d81c79de34e1,"(1124.0831173890685, 397.9591915730559)","(1480.0, 125.0)"
1734006193.7467008,d81c79de34e1,"(1132.0374431637838, 394.2535163530054)","(1480.0, 130.0)"
1734006193.7543063,d81c79de34e1,"(1124.0831173890685, 397.9591915730559)","(1480.0, 125.0)"
1734006193.7553189,d81c79de34e1,"(1124.0831173890685, 397.9591915730559)","(1480.0, 125.0)"
1734006193.7585957,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.762323,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.7643187,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.7663584,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.7800653,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.7850742,d81c79de34e1,"(1116.4013771986179, 401.53787757069324)","(1480.0, 120.0)"
1734006193.7860827,d81c79de34e1,"(1118.0785883031629, 400.7362233947237)","(1480.0, 120.0)"
1734006193.7936883,d81c79de34e1,"(1118.0785883031629, 400.7362233947237)","(1480.0, 120.0)"
1734006193.795691,d81c79de34e1,"(1125.735358530141, 397.16962324162535)","(1480.0, 125.0)"
1734006193.7966902,d81c79de34e1,"(1127.2929947528373, 396.4252644414734)","(1475.0, 115.0)"
1734006193.8006902,d81c79de34e1,"(1127.2929947528373, 396.4252644414734)","(1475.0, 115.0)"
1734006193.801726,d81c79de34e1,"(1127.2929947528373, 396.4252644414734)","(1475.0, 115.0)"
1734006193.802692,d81c79de34e1,"(1127.2929947528373, 396.4252644414734)","(1475.0, 115.0)"
1734006193.8047252,d81c79de34e1,"(1127.2929947528373, 396.4252644414734)","(1475.0, 115.0)"
1734006193.8103125,d81c79de34e1,"(1127.2929947528373, 396.4252644414734)","(1475.0, 115.0)"
1734006193.8183143,d81c79de34e1,"(1127.2929947528373, 396.4252644414734)","(1475.0, 115.0)"
1734006193.826699,d81c79de34e1,"(1135.195813567881, 392.7444975266422)","(1475.0, 120.0)"
1734006193.8277,d81c79de34e1,"(1133.6632305700002, 393.47674115258485)","(1480.0, 130.0)"
1734006193.8327014,d81c79de34e1,"(1133.6632305700002, 393.47674115258485)","(1480.0, 130.0)"
