timestamp,estimation_twcl_rssi_9,estimation_fpl
1734006193.5451722,"(884.0, 45.0)","(645.0, 215.0)"
1734006193.5471704,"(1134.5348791195945, 130.10370243923836)","(1400.0, 450.0)"
1734006193.5706637,"(1308.2411270865919, 189.10963762386822)","(815.0, 670.0)"
1734006193.5716224,"(1180.4949129475754, 300.760290734111)","(1400.0, 535.0)"
1734006193.581488,"(1172.8568769379337, 302.387538415678)","(820.0, 705.0)"
1734006193.582475,"(1132.4730066529105, 324.42404511088415)","(1400.0, 530.0)"
1734006193.5854878,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.592822,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.5948825,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.5978613,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.6018603,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.6120875,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.622086,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.6294668,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.631467,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.6324663,"(1140.859998932097, 322.29430589184744)","(1400.0, 525.0)"
1734006193.638198,"(1143.8586877608295, 321.53283801496775)","(1400.0, 525.0)"
1734006193.6391976,"(1143.8586877608295, 321.53283801496775)","(1400.0, 525.0)"
1734006193.6401975,"(1147.0223651416313, 320.729473999599)","(1405.0, 520.0)"
1734006193.6412013,"(1147.0223651416313, 320.729473999599)","(1405.0, 520.0)"
1734006193.642199,"(1147.0223651416313, 320.729473999599)","(1405.0, 520.0)"
1734006193.643206,"(1152.339126119653, 315.9099927862769)","(1400.0, 525.0)"
1734006193.6452012,"(1157.4384597722624, 311.28760279342146)","(1405.0, 525.0)"
1734006193.6471994,"(1157.4384597722624, 311.28760279342146)","(1405.0, 525.0)"
1734006193.6481986,"(1157.4384597722624, 311.28760279342146)","(1405.0, 525.0)"
1734006193.649202,"(1153.9528358208959, 307.8931335332386)","(1390.0, 535.0)"
1734006193.6501975,"(1150.2932107629406, 304.32921357619483)","(1380.0, 540.0)"
1734006193.654323,"(1150.2932107629406, 304.32921357619483)","(1380.0, 540.0)"
1734006193.6563764,"(1134.5139794704426, 392.88062315022216)","(1385.0, 535.0)"
1734006193.6573794,"(1134.5139794704426, 392.88062315022216)","(1385.0, 535.0)"
1734006193.660336,"(1134.5139794704426, 392.88062315022216)","(1385.0, 535.0)"
1734006193.6613655,"(1134.5139794704426, 392.88062315022216)","(1385.0, 535.0)"
1734006193.674414,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.6784215,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.6867943,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.6887915,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.6918316,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.6928332,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.6987915,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.7011075,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.702639,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.7043917,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.7237945,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.726792,"(1124.0831173890685, 397.9591915730559)","(1485.0, 130.0)"
1734006193.732794,"(1132.0374431637838, 394.2535163530054)","(1485.0, 135.0)"
1734006193.7376883,"(1132.0374431637838, 394.2535163530054)","(1485.0, 135.0)"
1734006193.7427013,"(1124.0831173890685, 397.9591915730559)","(1485.0, 130.0)"
1734006193.7467008,"(1132.0374431637838, 394.2535163530054)","(1485.0, 135.0)"
1734006193.7543063,"(1124.0831173890685, 397.9591915730559)","(1485.0, 130.0)"
1734006193.7553189,"(1124.0831173890685, 397.9591915730559)","(1485.0, 130.0)"
1734006193.7585957,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.762323,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.7643187,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.7663584,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.7800653,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.7850742,"(1116.4013771986179, 401.53787757069324)","(1485.0, 125.0)"
1734006193.7860827,"(1118.0785883031629, 400.7362233947237)","(1480.0, 115.0)"
1734006193.7936883,"(1118.0785883031629, 400.7362233947237)","(1480.0, 115.0)"
1734006193.795691,"(1125.735358530141, 397.16962324162535)","(1480.0, 120.0)"
1734006193.7966902,"(1127.2929947528373, 396.4252644414734)","(1475.0, 110.0)"
1734006193.8006902,"(1127.2929947528373, 396.4252644414734)","(1475.0, 110.0)"
1734006193.801726,"(1127.2929947528373, 396.4252644414734)","(1475.0, 110.0)"
1734006193.802692,"(1127.2929947528373, 396.4252644414734)","(1475.0, 110.0)"
1734006193.8047252,"(1127.2929947528373, 396.4252644414734)","(1475.0, 110.0)"
1734006193.8103125,"(1127.2929947528373, 396.4252644414734)","(1475.0, 110.0)"
1734006193.8183143,"(1127.2929947528373, 396.4252644414734)","(1475.0, 110.0)"
1734006193.826699,"(1135.195813567881, 392.7444975266422)","(1475.0, 115.0)"
1734006193.8277,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.8327014,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.8366983,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.840698,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.8441484,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.847106,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.8481088,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.8491082,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.8501077,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.8551064,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.857106,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.8574374,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.866483,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.8789537,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.8819618,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.893915,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.8949668,"(1133.6632305700002, 393.47674115258485)","(1480.0, 125.0)"
1734006193.8979795,"(1132.0374431637838, 394.2535163530054)","(1485.0, 135.0)"
1734006193.9049797,"(1134.7381903099918, 398.0563512216528)","(1485.0, 130.0)"
1734006193.9069831,"(1134.7381903099918, 398.0563512216528)","(1485.0, 130.0)"
1734006193.9089794,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.9188302,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.91983,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.92283,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.9288611,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.9338305,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.9348297,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.93583,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.936832,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.9436326,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.9446354,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.952633,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.9536316,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.9570436,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.9580429,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.9590414,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.961055,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.969042,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.9700413,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.975323,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.983323,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.9878273,"(1137.29642375084, 401.6585171425384)","(1490.0, 135.0)"
1734006193.9928267,"(1129.2992059578814, 405.62764583357813)","(1490.0, 130.0)"
1734006193.9958591,"(1129.2992059578814, 405.62764583357813)","(1490.0, 130.0)"
1734006193.9968286,"(1132.866901368762, 403.3089380851787)","(1495.0, 135.0)"
1734006194.006657,"(1132.866901368762, 403.3089380851787)","(1495.0, 135.0)"
1734006194.0126574,"(1136.2581085348636, 401.10493313887986)","(1500.0, 140.0)"
1734006194.0206566,"(1144.2856021146983, 397.1472013012236)","(1500.0, 145.0)"
1734006194.0216565,"(1144.2856021146983, 397.1472013012236)","(1500.0, 145.0)"
1734006194.023658,"(1144.2856021146983, 397.1472013012236)","(1500.0, 145.0)"
1734006194.0283744,"(1144.2856021146983, 397.1472013012236)","(1500.0, 145.0)"
1734006194.031389,"(1144.2856021146983, 397.1472013012236)","(1500.0, 145.0)"
1734006194.035356,"(1136.2581085348636, 401.10493313887986)","(1500.0, 140.0)"
1734006194.036395,"(1136.2581085348636, 401.10493313887986)","(1500.0, 140.0)"
1734006194.042355,"(1144.2856021146983, 397.1472013012236)","(1500.0, 145.0)"
1734006194.044383,"(1141.6103106546075, 398.4661791467133)","(1505.0, 150.0)"
1734006194.047875,"(1133.4448793554852, 402.4919173300372)","(1505.0, 145.0)"
1734006194.054875,"(1130.7750302097797, 398.66562315015085)","(1505.0, 150.0)"
