timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734006350.8599703,d81c79de34e1,"(1461.0, 241.0)","(1340.0, 290.0)"
1734006350.8649669,d81c79de34e1,"(1461.0, 240.99999999999997)","(1340.0, 290.0)"
1734006350.871117,d81c79de34e1,"(1454.640806722527, 238.8398580894547)","(1335.0, 290.0)"
1734006350.8771029,d81c79de34e1,"(1431.3128919196674, 252.2462052180487)","(1335.0, 290.0)"
1734006351.454535,d81c79de34e1,"(1439.265025031884, 247.6761843732326)","(1335.0, 290.0)"
1734006351.458573,d81c79de34e1,"(1436.6632405406212, 248.47535681251847)","(1335.0, 290.0)"
1734006351.4667575,d81c79de34e1,"(1436.551579717267, 248.5096549078728)","(1335.0, 290.0)"
1734006351.493688,d81c79de34e1,"(1440.2697365916727, 246.3681733294384)","(1335.0, 290.0)"
1734006351.4956713,d81c79de34e1,"(1440.1826690980938, 246.3907197577054)","(1335.0, 290.0)"
1734006361.614142,d81c79de34e1,"(1441.2246382003216, 245.79054544176776)","(1335.0, 290.0)"
1734006361.616184,d81c79de34e1,"(1442.1801173772683, 245.24018933217639)","(1335.0, 290.0)"
1734006361.6181903,d81c79de34e1,"(1439.9405986557208, 245.74476120346134)","(1335.0, 290.0)"
1734006361.6194851,d81c79de34e1,"(1446.7072574100525, 248.1881360875196)","(1340.0, 290.0)"
1734006361.62348,d81c79de34e1,"(1446.6451352179156, 248.21937871071302)","(1340.0, 290.0)"
1734006361.6455169,d81c79de34e1,"(1444.329879605665, 251.90263298277458)","(1340.0, 290.0)"
1734006361.6701083,d81c79de34e1,"(1453.2167243219144, 246.90417421281822)","(1340.0, 290.0)"
1734006361.676108,d81c79de34e1,"(1455.9534353432907, 245.36489478998524)","(1345.0, 290.0)"
1734006361.678111,d81c79de34e1,"(1455.9331704436556, 245.38242238763908)","(1350.0, 290.0)"
1734006361.679077,d81c79de34e1,"(1382.2166081788062, 309.1416448396328)","(90.0, 825.0)"
1734006361.6876185,d81c79de34e1,"(1203.1361500417788, 389.8698105063567)","(860.0, 780.0)"
1734006361.6886182,d81c79de34e1,"(1203.1361500417788, 389.8698105063567)","(860.0, 780.0)"
