timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734006350.8599703,d81c79de34e1,"(1461.0, 241.0)","(1340.0, 290.0)"
1734006350.8649669,d81c79de34e1,"(1461.0, 241.0)","(1340.0, 290.0)"
1734006350.871117,d81c79de34e1,"(1461.0, 241.0)","(1340.0, 290.0)"
1734006350.8771029,d81c79de34e1,"(1435.9824094449107, 255.1349386636256)","(1340.0, 290.0)"
1734006351.454535,d81c79de34e1,"(1449.9563315758305, 247.23967265965592)","(1340.0, 290.0)"
1734006351.458573,d81c79de34e1,"(1446.9402813899162, 248.94374101469742)","(1340.0, 290.0)"
1734006351.4667575,d81c79de34e1,"(1446.9402813899162, 248.94374101469742)","(1340.0, 290.0)"
1734006351.493688,d81c79de34e1,"(1444.5329171399865, 250.3039018159078)","(1340.0, 290.0)"
1734006351.4956713,d81c79de34e1,"(1444.5329171399865, 250.3039018159078)","(1340.0, 290.0)"
1734006361.614142,d81c79de34e1,"(1460.2712349704636, 241.41175224168816)","(75.0, 790.0)"
1734006361.616184,d81c79de34e1,"(1459.3040528171668, 241.95821015830055)","(1360.0, 340.0)"
1734006361.6181903,d81c79de34e1,"(951.7364298912986, 528.7339171114163)","(325.0, 775.0)"
1734006361.6194851,d81c79de34e1,"(951.7364298912986, 528.7339171114163)","(325.0, 775.0)"
1734006361.62348,d81c79de34e1,"(951.7364298912986, 528.7339171114163)","(325.0, 775.0)"
1734006361.6455169,d81c79de34e1,"(951.7364298912986, 528.7339171114163)","(325.0, 775.0)"
1734006361.6701083,d81c79de34e1,"(1051.6547158112023, 472.2800855666707)","(1305.0, 1190.0)"
1734006361.676108,d81c79de34e1,"(1051.6547158112023, 472.2800855666707)","(1305.0, 1190.0)"
1734006361.678111,d81c79de34e1,"(1051.6547158112023, 472.2800855666707)","(1305.0, 1190.0)"
1734006361.679077,d81c79de34e1,"(982.4685531180656, 511.37026748829294)","(1330.0, 1270.0)"
1734006361.6876185,d81c79de34e1,"(202.42933536048184, 843.3819702803753)","(320.0, 1295.0)"
1734006361.6886182,d81c79de34e1,"(202.42933536048184, 843.3819702803753)","(320.0, 1295.0)"
1734006361.704466,d81c79de34e1,"(202.42933536048184, 843.3819702803753)","(320.0, 1295.0)"
1734006361.714485,d81c79de34e1,"(202.42933536048184, 843.3819702803753)","(320.0, 1295.0)"
1734006361.720796,d81c79de34e1,"(202.42933536048184, 843.3819702803753)","(320.0, 1295.0)"
1734006361.7308154,d81c79de34e1,"(202.42933536048184, 843.3819702803753)","(320.0, 1295.0)"
1734006361.7338116,d81c79de34e1,"(202.42933536048184, 843.3819702803753)","(320.0, 1295.0)"
1734006363.4839911,d81c79de34e1,"(162.47611703124997, 859.3604490186519)","(65.0, 1320.0)"
1734006363.484991,d81c79de34e1,"(199.89450960190936, 841.5417131948257)","(0.0, 1230.0)"
1734006363.4859922,d81c79de34e1,"(199.89450960190936, 841.5417131948257)","(0.0, 1230.0)"
1734006363.487002,d81c79de34e1,"(199.89450960190936, 841.5417131948257)","(0.0, 1230.0)"
1734006363.492005,d81c79de34e1,"(197.95124984205262, 842.3104913915842)","(0.0, 1240.0)"
1734006363.493991,d81c79de34e1,"(191.31919380869408, 845.4678713991705)","(0.0, 1245.0)"
1734006363.5359907,d81c79de34e1,"(170.69596492557108, 854.892260694113)","(0.0, 1230.0)"
1734006363.5389938,d81c79de34e1,"(170.69596492557108, 854.892260694113)","(0.0, 1230.0)"
1734006363.540003,d81c79de34e1,"(170.69596492557108, 854.892260694113)","(0.0, 1230.0)"
1734006363.61303,d81c79de34e1,"(180.3565504539659, 851.0452308918854)","(115.0, 1235.0)"
1734006363.61403,d81c79de34e1,"(180.3565504539659, 851.0452308918854)","(115.0, 1235.0)"
1734006363.6150296,d81c79de34e1,"(180.3565504539659, 851.0452308918854)","(115.0, 1235.0)"
1734006363.6170297,d81c79de34e1,"(180.3565504539659, 851.0452308918854)","(115.0, 1235.0)"
1734006363.6445482,d81c79de34e1,"(219.1766388092667, 835.5863297322198)","(405.0, 1165.0)"
1734006363.6455476,d81c79de34e1,"(219.1766388092667, 835.5863297322198)","(405.0, 1165.0)"
1734006363.6475463,d81c79de34e1,"(219.1766388092667, 835.5863297322198)","(405.0, 1165.0)"
1734006363.769096,d81c79de34e1,"(120.41134430282719, 878.2118750586855)","(280.0, 795.0)"
1734006363.7700891,d81c79de34e1,"(118.62653264296058, 879.0602360973808)","(280.0, 795.0)"
1734006363.7760887,d81c79de34e1,"(116.26980698476477, 880.009627424991)","(280.0, 795.0)"
1734006363.8100886,d81c79de34e1,"(114.22878004296047, 880.8318416149326)","(280.0, 795.0)"
1734006363.8120892,d81c79de34e1,"(114.22878004296047, 880.8318416149326)","(280.0, 795.0)"
1734006363.8130891,d81c79de34e1,"(114.22878004296047, 880.8318416149326)","(280.0, 795.0)"
1734006363.81809,d81c79de34e1,"(114.22878004296047, 880.8318416149326)","(280.0, 795.0)"
1734006363.9240892,d81c79de34e1,"(115.12524041035124, 880.4707084913604)","(280.0, 795.0)"
1734006363.92609,d81c79de34e1,"(115.12524041035124, 880.4707084913604)","(280.0, 795.0)"
1734006364.512426,d81c79de34e1,"(115.12524041035124, 880.4707084913604)","(280.0, 795.0)"
1734006364.514393,d81c79de34e1,"(115.12524041035124, 880.4707084913604)","(280.0, 795.0)"
1734006364.521756,d81c79de34e1,"(115.12524041035124, 880.4707084913604)","(280.0, 795.0)"
1734006365.6592588,d81c79de34e1,"(112.96407936205385, 881.3413179106992)","(280.0, 795.0)"
1734006365.66426,d81c79de34e1,"(112.96407936205385, 881.3413179106992)","(280.0, 795.0)"
1734006365.6742575,d81c79de34e1,"(136.10682004374164, 871.0246895741931)","(80.0, 1235.0)"
1734006374.9199808,d81c79de34e1,"(141.06070614582774, 868.816333941662)","(80.0, 1245.0)"
1734006374.9240396,d81c79de34e1,"(141.06070614582774, 868.816333941662)","(80.0, 1245.0)"
1734006374.9350457,d81c79de34e1,"(154.3907882689579, 862.47600955807)","(45.0, 1195.0)"
1734006374.9510088,d81c79de34e1,"(154.3907882689579, 862.47600955807)","(45.0, 1195.0)"
1734006374.9520743,d81c79de34e1,"(154.3907882689579, 862.47600955807)","(45.0, 1195.0)"
1734006374.9944448,d81c79de34e1,"(161.09184394299723, 859.7971774183193)","(160.0, 1190.0)"
1734006374.996396,d81c79de34e1,"(131.02404954400723, 873.2506935163856)","(280.0, 795.0)"
