timestamp,estimation_twcl_rssi_9,estimation_fpl
1734006350.8599703,"(1461.0, 241.0)","(1340.0, 290.0)"
1734006350.8649669,"(1461.0, 241.0)","(1340.0, 290.0)"
1734006350.871117,"(1461.0, 241.0)","(1340.0, 290.0)"
1734006350.8771029,"(1435.9824094449107, 255.1349386636256)","(1340.0, 290.0)"
1734006351.454535,"(1444.496475367352, 250.3244914174461)","(1340.0, 290.0)"
1734006351.458573,"(1442.3828184093215, 251.51870759873327)","(1340.0, 290.0)"
1734006351.4667575,"(1442.3828184093215, 251.51870759873327)","(1340.0, 290.0)"
1734006351.493688,"(1446.3845290168094, 249.25774110550267)","(1340.0, 290.0)"
1734006351.4956713,"(1446.3845290168094, 249.25774110550267)","(1340.0, 290.0)"
1734006361.614142,"(1447.5020302103783, 248.62635293113618)","(1340.0, 290.0)"
1734006361.616184,"(1448.526987506041, 248.04725205908704)","(1340.0, 290.0)"
1734006361.6181903,"(1446.9402813899162, 248.94374101469742)","(1340.0, 290.0)"
1734006361.6194851,"(1446.9402813899162, 248.94374101469742)","(1340.0, 290.0)"
1734006361.62348,"(1446.9402813899162, 248.94374101469742)","(1340.0, 290.0)"
1734006361.6455169,"(1446.9402813899162, 248.94374101469742)","(1340.0, 290.0)"
1734006361.6701083,"(1456.3904992578632, 243.60436791930718)","(1340.0, 290.0)"
1734006361.676108,"(1459.3040528171668, 241.95821015830055)","(1360.0, 340.0)"
1734006361.678111,"(1459.3040528171668, 241.95821015830055)","(1360.0, 340.0)"
1734006361.679077,"(1331.7708548237454, 314.01446702458395)","(0.0, 820.0)"
1734006361.6876185,"(771.036058070436, 574.9699924818674)","(875.0, 785.0)"
1734006361.6886182,"(771.036058070436, 574.9699924818674)","(875.0, 785.0)"
1734006361.704466,"(771.036058070436, 574.9699924818674)","(875.0, 785.0)"
1734006361.714485,"(771.036058070436, 574.9699924818674)","(875.0, 785.0)"
1734006361.720796,"(771.036058070436, 574.9699924818674)","(875.0, 785.0)"
1734006361.7308154,"(771.036058070436, 574.9699924818674)","(875.0, 785.0)"
1734006361.7338116,"(771.036058070436, 574.9699924818674)","(875.0, 785.0)"
1734006363.4839911,"(767.1854851752746, 574.7547016642758)","(875.0, 785.0)"
1734006363.484991,"(271.3492638798819, 813.2733065317334)","(485.0, 1165.0)"
1734006363.4859922,"(271.3492638798819, 813.2733065317334)","(485.0, 1165.0)"
1734006363.487002,"(271.3492638798819, 813.2733065317334)","(485.0, 1165.0)"
1734006363.492005,"(243.02745278656278, 824.477774051231)","(410.0, 1215.0)"
1734006363.493991,"(239.96736440059266, 825.9437295556722)","(405.0, 1215.0)"
1734006363.5359907,"(239.96736440059266, 825.9437295556722)","(405.0, 1215.0)"
1734006363.5389938,"(239.96736440059266, 825.9437295556722)","(405.0, 1215.0)"
1734006363.540003,"(239.96736440059266, 825.9437295556722)","(405.0, 1215.0)"
1734006363.61303,"(236.68363024728092, 827.2441665669338)","(390.0, 1225.0)"
1734006363.61403,"(236.68363024728092, 827.2441665669338)","(390.0, 1225.0)"
1734006363.6150296,"(236.68363024728092, 827.2441665669338)","(390.0, 1225.0)"
1734006363.6170297,"(236.68363024728092, 827.2441665669338)","(390.0, 1225.0)"
1734006363.6445482,"(239.96736440059266, 825.9437295556722)","(405.0, 1215.0)"
1734006363.6455476,"(239.96736440059266, 825.9437295556722)","(405.0, 1215.0)"
1734006363.6475463,"(239.96736440059266, 825.9437295556722)","(405.0, 1215.0)"
1734006363.769096,"(223.84738523497322, 832.9820421086431)","(385.0, 1205.0)"
1734006363.7700891,"(221.26750470054478, 834.2165243616328)","(380.0, 1205.0)"
1734006363.7760887,"(218.29065761944747, 835.3994621115097)","(365.0, 1215.0)"
1734006363.8100886,"(215.47221065974222, 836.519454913905)","(350.0, 1220.0)"
1734006363.8120892,"(215.47221065974222, 836.519454913905)","(350.0, 1220.0)"
1734006363.8130891,"(215.47221065974222, 836.519454913905)","(350.0, 1220.0)"
1734006363.81809,"(215.47221065974222, 836.519454913905)","(350.0, 1220.0)"
1734006363.9240892,"(215.47221065974222, 836.519454913905)","(350.0, 1220.0)"
1734006363.92609,"(201.75004663676236, 842.5259318134645)","(330.0, 1205.0)"
1734006364.512426,"(201.75004663676236, 842.5259318134645)","(330.0, 1205.0)"
