timestamp,estimation_twcl_rssi_9,estimation_fpl
1734006517.3678086,"(861.0, 580.0)","(1400.0, 75.0)"
1734006517.3699808,"(919.4283815508641, 546.9879644237617)","(590.0, 485.0)"
1734006517.376987,"(888.0543900895024, 564.7142695994311)","(670.0, 425.0)"
1734006517.3779886,"(911.5493092802986, 551.4396402566313)","(605.0, 470.0)"
1734006517.381019,"(911.5493092802986, 551.4396402566313)","(605.0, 470.0)"
1734006517.3820171,"(911.5493092802986, 551.4396402566313)","(605.0, 470.0)"
1734006517.38302,"(996.271272604379, 503.57173097852586)","(1075.0, 775.0)"
1734006517.3870182,"(996.271272604379, 503.57173097852586)","(1075.0, 775.0)"
1734006517.402568,"(999.6456572354085, 528.8771421350872)","(1445.0, 0.0)"
1734006517.4126854,"(999.6456572354085, 528.8771421350872)","(1445.0, 0.0)"
1734006517.4136944,"(1071.33162390897, 484.1463369723711)","(1365.0, 0.0)"
1734006517.4146917,"(1032.7967296566349, 508.19144547479704)","(1400.0, 0.0)"
1734006517.417687,"(981.1028670085672, 529.7987342864137)","(1130.0, 0.0)"
1734006517.42294,"(1032.7967296566349, 508.19144547479704)","(1400.0, 0.0)"
1734006517.427953,"(996.0814678557006, 531.1011347532344)","(1455.0, 0.0)"
1734006517.4289527,"(979.8493785412131, 541.2296781516444)","(1470.0, 0.0)"
1734006517.432955,"(1027.7229002801182, 511.3574273789446)","(1410.0, 0.0)"
1734006517.4339526,"(1084.6369972812074, 487.92495331572246)","(1445.0, 0.0)"
1734006517.436992,"(1027.7229002801182, 511.3574273789446)","(1410.0, 0.0)"
1734006517.4468307,"(1048.1135450477032, 498.63401719750146)","(1395.0, 0.0)"
1734006517.447867,"(1067.8203972596502, 490.064528560215)","(1410.0, 0.0)"
1734006517.452868,"(987.7219522501726, 540.8038886532825)","(1495.0, 0.0)"
1734006517.453884,"(916.9842895912918, 562.6836123534852)","(640.0, 205.0)"
1734006517.4548326,"(892.661128911961, 572.3324786661537)","(650.0, 185.0)"
1734006517.4568334,"(915.7932826130399, 566.7304585204404)","(600.0, 165.0)"
1734006517.4578338,"(915.7932826130399, 566.7304585204404)","(600.0, 165.0)"
1734006517.459833,"(1046.624353038159, 535.0464959427329)","(1750.0, 470.0)"
1734006517.4619544,"(930.0460297373972, 563.2788051398611)","(575.0, 160.0)"
1734006517.4644854,"(937.6671062963092, 561.4331739475931)","(560.0, 155.0)"
1734006517.471485,"(922.7323562051931, 565.049991126087)","(585.0, 160.0)"
1734006517.480795,"(923.8098934576689, 567.8156387697051)","(590.0, 175.0)"
1734006517.486766,"(884.2492430156988, 583.1294334360496)","(540.0, 260.0)"
1734006517.4877553,"(912.2335931277046, 566.5290740382426)","(560.0, 285.0)"
1734006517.4887557,"(984.9600429968858, 523.3876324566834)","(665.0, 295.0)"
1734006517.4897928,"(974.2860918956337, 529.7194366174448)","(655.0, 295.0)"
1734006517.492808,"(995.0777015581364, 520.4913501862886)","(625.0, 280.0)"
1734006517.4947534,"(943.8558666788539, 543.2254976188898)","(775.0, 465.0)"
1734006517.5001662,"(943.8558666788539, 543.2254976188898)","(775.0, 465.0)"
1734006517.502219,"(954.564340719325, 546.5304781936869)","(700.0, 300.0)"
1734006517.5032227,"(947.4131312885, 550.8447724125544)","(695.0, 300.0)"
1734006517.5152185,"(937.5326096222043, 554.1783960594258)","(715.0, 320.0)"
1734006517.518917,"(924.6272008852865, 431.42788254010094)","(820.0, 450.0)"
