timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734006517.3678086,d81c79de34e1,"(861.0, 580.0)","(680.0, 480.0)"
1734006517.3699808,d81c79de34e1,"(919.4283815508641, 546.9879644237617)","(590.0, 485.0)"
1734006517.376987,d81c79de34e1,"(901.327105683343, 557.2151852889111)","(625.0, 450.0)"
1734006517.3779886,d81c79de34e1,"(911.5493092802986, 551.4396402566313)","(605.0, 470.0)"
1734006517.381019,d81c79de34e1,"(911.5493092802986, 551.4396402566313)","(605.0, 470.0)"
1734006517.3820171,d81c79de34e1,"(911.5493092802986, 551.4396402566313)","(605.0, 470.0)"
1734006517.38302,d81c79de34e1,"(996.271272604379, 503.57173097852586)","(1070.0, 775.0)"
1734006517.3870182,d81c79de34e1,"(996.271272604379, 503.57173097852586)","(1070.0, 775.0)"
1734006517.402568,d81c79de34e1,"(999.6456572354085, 528.8771421350872)","(1440.0, 0.0)"
1734006517.4126854,d81c79de34e1,"(999.6456572354085, 528.8771421350872)","(1440.0, 0.0)"
1734006517.4136944,d81c79de34e1,"(1025.5347189606425, 512.7228147316448)","(1400.0, 0.0)"
1734006517.4146917,d81c79de34e1,"(1032.7967296566349, 508.19144547479704)","(1395.0, 0.0)"
1734006517.417687,d81c79de34e1,"(1032.7967296566349, 508.19144547479704)","(1395.0, 0.0)"
1734006517.42294,d81c79de34e1,"(1032.7967296566349, 508.19144547479704)","(1395.0, 0.0)"
1734006517.427953,d81c79de34e1,"(1013.3112367813675, 520.3500565077223)","(1420.0, 0.0)"
1734006517.4289527,d81c79de34e1,"(1005.367138614905, 525.3070365662556)","(1430.0, 0.0)"
1734006517.432955,d81c79de34e1,"(1025.5347189606425, 512.7228147316448)","(1405.0, 0.0)"
1734006517.4339526,d81c79de34e1,"(1025.5347189606425, 512.7228147316448)","(1405.0, 0.0)"
1734006517.436992,d81c79de34e1,"(1025.5347189606425, 512.7228147316448)","(1405.0, 0.0)"
1734006517.4468307,d81c79de34e1,"(1029.6220025210234, 510.17242037877645)","(1400.0, 0.0)"
1734006517.447867,d81c79de34e1,"(1029.6220025210234, 510.17242037877645)","(1400.0, 0.0)"
1734006517.452868,d81c79de34e1,"(1025.5347189606425, 512.7228147316448)","(1405.0, 0.0)"
1734006517.453884,d81c79de34e1,"(1025.5347189606425, 512.7228147316448)","(1405.0, 0.0)"
1734006517.4548326,d81c79de34e1,"(977.1958156554415, 532.2616863579913)","(685.0, 160.0)"
1734006517.4568334,d81c79de34e1,"(977.1958156554415, 532.2616863579913)","(685.0, 160.0)"
1734006517.4578338,d81c79de34e1,"(977.1958156554415, 532.2616863579913)","(685.0, 160.0)"
1734006517.459833,d81c79de34e1,"(977.1958156554415, 532.2616863579913)","(685.0, 160.0)"
1734006517.4619544,d81c79de34e1,"(977.1958156554415, 532.2616863579913)","(685.0, 160.0)"
1734006517.4644854,d81c79de34e1,"(977.1958156554415, 532.2616863579913)","(685.0, 160.0)"
1734006517.471485,d81c79de34e1,"(977.1958156554415, 532.2616863579913)","(685.0, 160.0)"
1734006517.480795,d81c79de34e1,"(977.4597521765888, 533.5916436911875)","(685.0, 165.0)"
1734006517.486766,d81c79de34e1,"(961.2260900196438, 540.1265935944584)","(650.0, 220.0)"
1734006517.4877553,d81c79de34e1,"(968.9548914775498, 535.500721762209)","(655.0, 225.0)"
1734006517.4887557,d81c79de34e1,"(973.1696939045253, 532.9780620805452)","(660.0, 225.0)"
1734006517.4897928,d81c79de34e1,"(977.6334907961106, 530.3063732788432)","(665.0, 225.0)"
1734006517.492808,d81c79de34e1,"(977.6334907961106, 530.3063732788432)","(665.0, 225.0)"
1734006517.4947534,d81c79de34e1,"(977.6334907961106, 530.3063732788432)","(665.0, 225.0)"
1734006517.5001662,d81c79de34e1,"(977.8991843910612, 531.6611211575126)","(670.0, 235.0)"
1734006517.502219,d81c79de34e1,"(992.9242107770783, 536.6082260229691)","(665.0, 240.0)"
1734006517.5032227,d81c79de34e1,"(992.9242107770783, 536.6082260229691)","(665.0, 240.0)"
1734006517.5152185,d81c79de34e1,"(992.9242107770783, 536.6082260229691)","(665.0, 240.0)"
1734006517.518917,d81c79de34e1,"(956.0388548141744, 370.13335067813154)","(805.0, 415.0)"
1734006517.5219176,d81c79de34e1,"(956.0388548141744, 370.13335067813154)","(805.0, 415.0)"
1734006517.524928,d81c79de34e1,"(956.0388548141744, 370.13335067813154)","(805.0, 415.0)"
1734006517.531957,d81c79de34e1,"(956.0388548141744, 370.13335067813154)","(805.0, 415.0)"
1734006517.5368218,d81c79de34e1,"(956.0388548141744, 370.13335067813154)","(805.0, 415.0)"
