timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734006517.3678086,d81c79de34e1,"(861.0, 580.0)","(680.0, 480.0)"
1734006517.3699808,d81c79de34e1,"(919.4283815508641, 546.9879644237617)","(590.0, 485.0)"
1734006517.376987,d81c79de34e1,"(901.327105683343, 557.2151852889111)","(625.0, 450.0)"
1734006517.3779886,d81c79de34e1,"(911.5493092802986, 551.4396402566313)","(605.0, 470.0)"
1734006517.381019,d81c79de34e1,"(911.5493092802986, 551.4396402566313)","(605.0, 470.0)"
1734006517.3820171,d81c79de34e1,"(911.5493092802986, 551.4396402566313)","(605.0, 470.0)"
1734006517.38302,d81c79de34e1,"(911.5493092802986, 551.4396402566313)","(605.0, 470.0)"
1734006517.3870182,d81c79de34e1,"(911.5493092802986, 551.4396402566313)","(605.0, 470.0)"
1734006517.402568,d81c79de34e1,"(911.5493092802986, 551.4396402566313)","(605.0, 470.0)"
1734006517.4126854,d81c79de34e1,"(911.5493092802986, 551.4396402566313)","(605.0, 470.0)"
1734006517.4136944,d81c79de34e1,"(950.0249473985805, 529.700904719802)","(650.0, 435.0)"
1734006517.4146917,d81c79de34e1,"(960.6147248978202, 523.7176804327315)","(660.0, 425.0)"
1734006517.417687,d81c79de34e1,"(960.6147248978202, 523.7176804327315)","(660.0, 425.0)"
1734006517.42294,d81c79de34e1,"(960.6147248978202, 523.7176804327315)","(660.0, 425.0)"
1734006517.427953,d81c79de34e1,"(932.0010387000405, 539.8844131344772)","(630.0, 445.0)"
1734006517.4289527,d81c79de34e1,"(932.0010387000405, 539.8844131344772)","(630.0, 445.0)"
1734006517.432955,d81c79de34e1,"(960.6147248978202, 523.7176804327315)","(660.0, 425.0)"
1734006517.4339526,d81c79de34e1,"(960.6147248978202, 523.7176804327315)","(660.0, 425.0)"
1734006517.436992,d81c79de34e1,"(960.6147248978202, 523.7176804327315)","(660.0, 425.0)"
1734006517.4468307,d81c79de34e1,"(966.3421825818368, 520.4816668412623)","(665.0, 425.0)"
1734006517.447867,d81c79de34e1,"(966.3421825818368, 520.4816668412623)","(665.0, 425.0)"
1734006517.452868,d81c79de34e1,"(960.6147248978202, 523.7176804327315)","(660.0, 425.0)"
1734006517.453884,d81c79de34e1,"(960.6147248978202, 523.7176804327315)","(660.0, 425.0)"
1734006517.4548326,d81c79de34e1,"(906.3524091138376, 546.6199950549226)","(655.0, 190.0)"
1734006517.4568334,d81c79de34e1,"(906.3524091138376, 546.6199950549226)","(655.0, 190.0)"
1734006517.4578338,d81c79de34e1,"(906.3524091138376, 546.6199950549226)","(655.0, 190.0)"
1734006517.459833,d81c79de34e1,"(906.3524091138376, 546.6199950549226)","(655.0, 190.0)"
1734006517.4619544,d81c79de34e1,"(906.3524091138376, 546.6199950549226)","(655.0, 190.0)"
1734006517.4644854,d81c79de34e1,"(906.3524091138376, 546.6199950549226)","(655.0, 190.0)"
1734006517.471485,d81c79de34e1,"(906.3524091138376, 546.6199950549226)","(655.0, 190.0)"
1734006517.480795,d81c79de34e1,"(906.3524091138376, 546.6199950549226)","(655.0, 190.0)"
1734006517.486766,d81c79de34e1,"(888.3484159078399, 554.2188804121388)","(645.0, 280.0)"
1734006517.4877553,d81c79de34e1,"(888.3484159078399, 554.2188804121388)","(645.0, 280.0)"
1734006517.4887557,d81c79de34e1,"(894.3539510836653, 550.9340785250893)","(655.0, 290.0)"
1734006517.4897928,d81c79de34e1,"(900.6889421751341, 547.4690766422491)","(660.0, 290.0)"
1734006517.492808,d81c79de34e1,"(900.6889421751341, 547.4690766422491)","(660.0, 290.0)"
1734006517.4947534,d81c79de34e1,"(900.6889421751341, 547.4690766422491)","(660.0, 290.0)"
1734006517.5001662,d81c79de34e1,"(900.6889421751341, 547.4690766422491)","(660.0, 290.0)"
1734006517.502219,d81c79de34e1,"(920.3840319418679, 553.2460685919115)","(655.0, 265.0)"
1734006517.5032227,d81c79de34e1,"(920.3840319418679, 553.2460685919115)","(655.0, 265.0)"
1734006517.5152185,d81c79de34e1,"(920.3840319418679, 553.2460685919115)","(655.0, 265.0)"
1734006517.518917,d81c79de34e1,"(920.3840319418679, 553.2460685919115)","(655.0, 265.0)"
1734006517.5219176,d81c79de34e1,"(920.3840319418679, 553.2460685919115)","(655.0, 265.0)"
1734006517.524928,d81c79de34e1,"(920.3840319418679, 553.2460685919115)","(655.0, 265.0)"
1734006517.531957,d81c79de34e1,"(920.3840319418679, 553.2460685919115)","(655.0, 265.0)"
1734006517.5368218,d81c79de34e1,"(920.3840319418679, 553.2460685919115)","(655.0, 265.0)"
