timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734005947.8882363,d81c79de34e1,"(1461.0, 241.0)","(1005.0, 385.0)"
1734005947.891943,d81c79de34e1,"(1161.0, 410.5)","(980.0, 680.0)"
1734005947.8966978,d81c79de34e1,"(1184.0320725835134, 397.48687899031495)","(1150.0, 590.0)"
1734005947.909698,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9107368,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9124994,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9155068,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9175522,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9185345,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9274974,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9281886,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.929201,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9332013,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.934201,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9392023,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9412029,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.943201,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9511013,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.954063,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.956063,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9570627,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9600654,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9610662,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9630628,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9640627,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9739354,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9759226,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
1734005947.9769225,d81c79de34e1,"(1152.87084840869, 411.5629170338339)","(1465.0, 230.0)"
