timestamp,monitor_mac,target_mac,rssi,anchor_position_x,anchor_position_y,target_position_x,target_position_y
1734124778.279744,a4cf12fdaea9,342eb61ec446,-42.0,56,723,199.52642272981257,875.2368055673141
1734124778.284302,24a1602ccfab,342eb61ec446,-81.0,744,844,199.52642272981257,875.2368055673141
1734124778.2872925,d8bfc0117c7d,342eb61ec446,-69.0,556,510,199.52642272981257,875.2368055673141
1734124778.301404,f8b3b732fb6c,342eb61ec446,-65.0,62,42,199.52642272981257,875.2368055673141
1734124778.3080122,f8b3b73303e8,342eb61ec446,-53.0,56,723,199.52642272981257,875.2368055673141
1734124778.4560845,a4cf12fdaea9,342eb61ec446,-42.0,56,723,199.52642272981257,875.2368055673141
1734124778.4615371,24a1602ccfab,342eb61ec446,-82.0,744,844,199.52642272981257,875.2368055673141
1734124778.6901965,d8bfc0117c7d,342eb61ec446,-70.0,556,510,199.52642272981257,875.2368055673141
1734124778.698119,a4cf12fdaea9,342eb61ec446,-43.0,56,723,199.52642272981257,875.2368055673141
1734124778.716054,f8b3b732fb6c,342eb61ec446,-65.0,62,42,199.52642272981257,875.2368055673141
1734124778.7191408,f8b3b73303e8,342eb61ec446,-54.0,56,723,199.52642272981257,875.2368055673141
1734124779.2194612,d8bfc0117c7d,342eb61ec446,-70.0,556,510,199.52642272981257,875.2368055673141
1734124779.2214506,483fda467e7a,342eb61ec446,-67.0,62,42,199.52642272981257,875.2368055673141
1734124779.22245,a4cf12fdaea9,342eb61ec446,-44.0,56,723,199.52642272981257,875.2368055673141
1734124779.229905,f8b3b73303e8,342eb61ec446,-53.0,56,723,199.52642272981257,875.2368055673141
1734124779.2900326,d8bfc0117c7d,342eb61ec446,-70.0,556,510,199.52642272981257,875.2368055673141
1734124779.3248372,483fda467e7a,342eb61ec446,-67.0,62,42,199.52642272981257,875.2368055673141
1734124779.5398064,d8bfc0117c7d,342eb61ec446,-70.0,556,510,199.52642272981257,875.2368055673141
1734124779.5448086,d8bfc0117c7d,342eb61ec446,-69.0,556,510,199.52642272981257,875.2368055673141
1734124779.5508106,a4cf12fdaea9,342eb61ec446,-44.0,56,723,199.52642272981257,875.2368055673141
1734124779.5562804,a4cf12fdaea9,342eb61ec446,-42.0,56,723,199.52642272981257,875.2368055673141
1734124779.560206,f8b3b734347c,342eb61ec446,-68.0,441,934,199.52642272981257,875.2368055673141
1734124779.563207,a4cf12fdaea9,342eb61ec446,-43.0,56,723,199.52642272981257,875.2368055673141
1734124779.5652063,f8b3b734347c,342eb61ec446,-68.0,441,934,199.52642272981257,875.2368055673141
1734124779.5712044,f8b3b73303e8,342eb61ec446,-53.0,56,723,199.52642272981257,875.2368055673141
1734124779.5833108,f8b3b73303e8,342eb61ec446,-53.0,56,723,199.52642272981257,875.2368055673141
1734124780.458686,a4cf12fdaea9,342eb61ec446,-45.0,56,723,199.52642272981257,875.2368055673141
1734124780.574739,a4cf12fdaea9,342eb61ec446,-42.0,56,723,199.52642272981257,875.2368055673141
1734124780.5757651,d8bfc0117c7d,342eb61ec446,-67.0,556,510,199.52642272981257,875.2368055673141
1734124780.7865438,d8bfc0117c7d,342eb61ec446,-70.0,556,510,199.52642272981257,875.2368055673141
1734124780.791542,a4cf12fdaea9,342eb61ec446,-43.0,56,723,199.52642272981257,875.2368055673141
1734124780.7974966,08a6f7a1e5c8,342eb61ec446,-76.0,270,387,199.52642272981257,875.2368055673141
1734124780.8004985,f8b3b732fb6c,342eb61ec446,-64.0,62,42,199.52642272981257,875.2368055673141
1734124780.811935,f8b3b734347c,342eb61ec446,-70.0,441,934,199.52642272981257,875.2368055673141
1734124781.5129588,d8bfc0117c7d,342eb61ec446,-69.0,556,510,199.52642272981257,875.2368055673141
1734124781.5159454,a4cf12fdaea9,342eb61ec446,-43.0,56,723,199.52642272981257,875.2368055673141
1734124781.5181785,f8b3b734347c,342eb61ec446,-69.0,441,934,199.52642272981257,875.2368055673141
1734124781.5241804,f8b3b73303e8,342eb61ec446,-53.0,56,723,199.52642272981257,875.2368055673141
1734124781.5423498,483fda467e7a,342eb61ec446,-68.0,62,42,199.52642272981257,875.2368055673141
1734124781.7552376,a4cf12fdaea9,342eb61ec446,-43.0,56,723,199.52642272981257,875.2368055673141
1734124781.760615,d8bfc0117c7d,342eb61ec446,-67.0,556,510,199.52642272981257,875.2368055673141
1734124781.7690716,f8b3b734347c,342eb61ec446,-67.0,441,934,199.52642272981257,875.2368055673141
1734124781.7750113,f8b3b732fb6c,342eb61ec446,-65.0,62,42,199.52642272981257,875.2368055673141
1734124781.8741865,a4cf12fdaea9,342eb61ec446,-42.0,56,723,199.52642272981257,875.2368055673141
1734124781.8801243,24a1602ccfab,342eb61ec446,-77.0,744,844,199.52642272981257,875.2368055673141
1734124781.8841228,f8b3b73303e8,342eb61ec446,-53.0,56,723,199.52642272981257,875.2368055673141
1734124781.8871205,08a6f7a1e5c8,342eb61ec446,-75.0,270,387,199.52642272981257,875.2368055673141
1734124783.348039,d8bfc0117c7d,342eb61ec446,-69.0,556,510,199.52642272981257,875.2368055673141
1734124783.349999,a4cf12fdaea9,342eb61ec446,-43.0,56,723,199.52642272981257,875.2368055673141
1734124783.3532398,483fda467e7a,342eb61ec446,-67.0,62,42,199.52642272981257,875.2368055673141
1734124783.3542397,f8b3b73303e8,342eb61ec446,-52.0,56,723,199.52642272981257,875.2368055673141
1734124783.3622434,a0a3b3ff66b4,342eb61ec446,-73.0,556,510,199.52642272981257,875.2368055673141
1734124783.3643012,08a6f7a1e5c8,342eb61ec446,-72.0,270,387,199.52642272981257,875.2368055673141
1734124783.3672993,a4cf12fdaea9,342eb61ec446,-42.0,56,723,199.52642272981257,875.2368055673141
1734124783.379622,f8b3b73303e8,342eb61ec446,-53.0,56,723,199.52642272981257,875.2368055673141
1734124783.3846216,f8b3b732fb6c,342eb61ec446,-65.0,62,42,199.52642272981257,875.2368055673141
1734124783.424688,24a1602ccfab,342eb61ec446,-74.0,744,844,199.52642272981257,875.2368055673141
1734124783.425647,d8bfc0117c7d,342eb61ec446,-63.0,556,510,199.52642272981257,875.2368055673141
1734124783.4266603,a4cf12fdaea9,342eb61ec446,-46.0,56,723,199.52642272981257,875.2368055673141
1734124783.4390209,d8bfc0117c7d,342eb61ec446,-62.0,556,510,199.52642272981257,875.2368055673141
1734124783.480956,a4cf12fdaea9,342eb61ec446,-41.0,56,723,199.52642272981257,875.2368055673141
1734124783.4819574,24a1602ccfab,342eb61ec446,-81.0,744,844,199.52642272981257,875.2368055673141
1734124783.4839082,d8bfc0117c7d,342eb61ec446,-63.0,556,510,199.52642272981257,875.2368055673141
1734124783.4916682,d8bfc0117c7d,342eb61ec446,-65.0,556,510,199.52642272981257,875.2368055673141
1734124783.4916682,a4cf12fdaea9,342eb61ec446,-42.0,56,723,199.52642272981257,875.2368055673141
1734124783.7179642,483fda467e7a,342eb61ec446,-73.0,62,42,199.52642272981257,875.2368055673141
1734124783.7223866,f8b3b734347c,342eb61ec446,-66.0,441,934,199.52642272981257,875.2368055673141
1734124783.72439,d8bfc0117c7d,342eb61ec446,-70.0,556,510,199.52642272981257,875.2368055673141
1734124783.7313902,f8b3b73303e8,342eb61ec446,-53.0,56,723,199.52642272981257,875.2368055673141
1734124784.0491643,d8bfc0117c7d,342eb61ec446,-64.0,556,510,199.52642272981257,875.2368055673141
1734124784.0512462,a4cf12fdaea9,342eb61ec446,-47.0,56,723,199.52642272981257,875.2368055673141
1734124784.0542586,f8b3b73303e8,342eb61ec446,-53.0,56,723,199.52642272981257,875.2368055673141
1734124784.058259,f8b3b732fb6c,342eb61ec446,-70.0,62,42,199.52642272981257,875.2368055673141
1734124784.085993,a4cf12fdaea9,342eb61ec446,-46.0,56,723,199.52642272981257,875.2368055673141
1734124784.26679,a4cf12fdaea9,342eb61ec446,-45.0,56,723,199.52642272981257,875.2368055673141
1734124784.271781,483fda467e7a,342eb61ec446,-65.0,62,42,199.52642272981257,875.2368055673141
1734124784.2737358,d8bfc0117c7d,342eb61ec446,-66.0,556,510,199.52642272981257,875.2368055673141
1734124784.4877586,483fda467e7a,342eb61ec446,-65.0,62,42,199.52642272981257,875.2368055673141
1734124784.495966,24a1602ccfab,342eb61ec446,-76.0,744,844,199.52642272981257,875.2368055673141
1734124784.496958,d8bfc0117c7d,342eb61ec446,-55.0,556,510,199.52642272981257,875.2368055673141
1734124784.497959,f8b3b73303e8,342eb61ec446,-51.0,56,723,199.52642272981257,875.2368055673141
1734124784.498958,a4cf12fdaea9,342eb61ec446,-41.0,56,723,199.52642272981257,875.2368055673141
1734124787.55497,a4cf12fdaea9,342eb61ec446,-64.0,56,723,199.52642272981257,875.2368055673141
1734124787.5569687,f8b3b73303e8,342eb61ec446,-71.0,56,723,199.52642272981257,875.2368055673141
1734124787.5579245,d8bfc0117c7d,342eb61ec446,-47.0,556,510,199.52642272981257,875.2368055673141
1734124787.5657942,f8b3b732fb6c,342eb61ec446,-71.0,62,42,199.52642272981257,875.2368055673141
1734124787.5777936,a4cf12fdaea9,342eb61ec446,-64.0,56,723,199.52642272981257,875.2368055673141
1734124787.5787935,d8bfc0117c7d,342eb61ec446,-50.0,556,510,199.52642272981257,875.2368055673141
1734124787.7929971,d8bfc0117c7d,342eb61ec446,-47.0,556,510,199.52642272981257,875.2368055673141
1734124787.7980418,24a1602ccfab,342eb61ec446,-62.0,744,844,199.52642272981257,875.2368055673141
1734124787.8010547,f8b3b734347c,342eb61ec446,-54.0,441,934,199.52642272981257,875.2368055673141
1734124787.816918,a0a3b3ff66b4,342eb61ec446,-49.0,556,510,199.52642272981257,875.2368055673141
1734124789.705413,d8bfc0117c7d,342eb61ec446,-59.0,556,510,199.52642272981257,875.2368055673141
1734124789.7074096,f8b3b734347c,342eb61ec446,-49.0,441,934,199.52642272981257,875.2368055673141
1734124789.7084093,a4cf12fdaea9,342eb61ec446,-63.0,56,723,199.52642272981257,875.2368055673141
1734124789.711409,24a1602ccfab,342eb61ec446,-63.0,744,844,199.52642272981257,875.2368055673141
1734124789.7153134,f8b3b73303e8,342eb61ec446,-65.0,56,723,199.52642272981257,875.2368055673141
1734124789.7203135,a4cf12fdaea9,342eb61ec446,-59.0,56,723,199.52642272981257,875.2368055673141
1734124789.7213151,24a1602ccfab,342eb61ec446,-60.0,744,844,199.52642272981257,875.2368055673141
1734124789.772194,d8bfc0117c7d,342eb61ec446,-62.0,556,510,199.52642272981257,875.2368055673141
1734124789.774209,24a1602ccfab,342eb61ec446,-61.0,744,844,199.52642272981257,875.2368055673141
1734124789.7752085,a4cf12fdaea9,342eb61ec446,-58.0,56,723,199.52642272981257,875.2368055673141
1734124789.7842095,483fda467e7a,342eb61ec446,-71.0,62,42,199.52642272981257,875.2368055673141
1734124789.78521,a4cf12fdaea9,342eb61ec446,-62.0,56,723,199.52642272981257,875.2368055673141
1734124789.8266046,483fda467e7a,342eb61ec446,-70.0,62,42,199.52642272981257,875.2368055673141
1734124789.8276043,24a1602ccfab,342eb61ec446,-66.0,744,844,199.52642272981257,875.2368055673141
1734124789.8286407,d8bfc0117c7d,342eb61ec446,-61.0,556,510,199.52642272981257,875.2368055673141
1734124789.8296323,a4cf12fdaea9,342eb61ec446,-67.0,56,723,199.52642272981257,875.2368055673141
1734124789.8722763,d8bfc0117c7d,342eb61ec446,-64.0,556,510,199.52642272981257,875.2368055673141
1734124789.873276,24a1602ccfab,342eb61ec446,-62.0,744,844,199.52642272981257,875.2368055673141
1734124790.09728,a4cf12fdaea9,342eb61ec446,-65.0,56,723,199.52642272981257,875.2368055673141
1734124790.1002347,d8bfc0117c7d,342eb61ec446,-63.0,556,510,199.52642272981257,875.2368055673141
1734124790.1032405,a0a3b3ff66b4,342eb61ec446,-71.0,556,510,199.52642272981257,875.2368055673141
1734124790.1167822,f8b3b732fb6c,342eb61ec446,-74.0,62,42,199.52642272981257,875.2368055673141
1734124791.3509085,d8bfc0117c7d,342eb61ec446,-66.0,556,510,199.52642272981257,875.2368055673141
1734124791.354484,a4cf12fdaea9,342eb61ec446,-70.0,56,723,199.52642272981257,875.2368055673141
1734124791.372481,f8b3b73303e8,342eb61ec446,-69.0,56,723,199.52642272981257,875.2368055673141
1734124791.4100797,a4cf12fdaea9,342eb61ec446,-71.0,56,723,199.52642272981257,875.2368055673141
1734124791.6574068,24a1602ccfab,342eb61ec446,-57.0,744,844,199.52642272981257,875.2368055673141
1734124791.6634514,a0a3b3ff35c0,342eb61ec446,-64.0,744,844,199.52642272981257,875.2368055673141
1734124791.6654167,f8b3b73303e8,342eb61ec446,-68.0,56,723,199.52642272981257,875.2368055673141
1734124791.8813152,a4cf12fdaea9,342eb61ec446,-71.0,56,723,199.52642272981257,875.2368055673141
1734124791.8848295,f8b3b73303e8,342eb61ec446,-71.0,56,723,199.52642272981257,875.2368055673141
1734124791.8878036,d8bfc0117c7d,342eb61ec446,-65.0,556,510,199.52642272981257,875.2368055673141
1734124791.8937583,a0a3b3ff66b4,342eb61ec446,-71.0,556,510,199.52642272981257,875.2368055673141
1734124791.8997571,f8b3b732fb6c,342eb61ec446,-84.0,62,42,199.52642272981257,875.2368055673141
1734124791.9128833,d8bfc0117c7d,342eb61ec446,-66.0,556,510,199.52642272981257,875.2368055673141
1734124791.9135163,a4cf12fdaea9,342eb61ec446,-70.0,56,723,199.52642272981257,875.2368055673141
1734124792.1838686,483fda467e7a,342eb61ec446,-83.0,62,42,199.52642272981257,875.2368055673141
1734124792.1861713,a4cf12fdaea9,342eb61ec446,-69.0,56,723,199.52642272981257,875.2368055673141
1734124792.1871831,24a1602ccfab,342eb61ec446,-55.0,744,844,199.52642272981257,875.2368055673141
1734124792.2690368,24a1602ccfab,342eb61ec446,-55.0,744,844,199.52642272981257,875.2368055673141
1734124792.2743473,d8bfc0117c7d,342eb61ec446,-65.0,556,510,199.52642272981257,875.2368055673141
1734124792.2796292,a4cf12fdaea9,342eb61ec446,-70.0,56,723,199.52642272981257,875.2368055673141
1734124792.29815,d8bfc0117c7d,342eb61ec446,-65.0,556,510,199.52642272981257,875.2368055673141
1734124792.2991433,24a1602ccfab,342eb61ec446,-56.0,744,844,199.52642272981257,875.2368055673141
1734124792.4944775,a4cf12fdaea9,342eb61ec446,-69.0,56,723,199.52642272981257,875.2368055673141
1734124792.4954731,24a1602ccfab,342eb61ec446,-56.0,744,844,199.52642272981257,875.2368055673141
1734124792.498424,a0a3b3ff35c0,342eb61ec446,-67.0,744,844,199.52642272981257,875.2368055673141
1734124792.5014508,f8b3b73303e8,342eb61ec446,-73.0,56,723,199.52642272981257,875.2368055673141
1734124795.008376,a4cf12fdaea9,342eb61ec446,-68.0,56,723,199.52642272981257,875.2368055673141
1734124795.010129,24a1602ccfab,342eb61ec446,-55.0,744,844,199.52642272981257,875.2368055673141
1734124795.0171404,f8b3b73303e8,342eb61ec446,-70.0,56,723,199.52642272981257,875.2368055673141
1734124795.2159755,a4cf12fdaea9,342eb61ec446,-66.0,56,723,199.52642272981257,875.2368055673141
1734124795.2189212,d8bfc0117c7d,342eb61ec446,-64.0,556,510,199.52642272981257,875.2368055673141
1734124795.2229376,a4cf12fdaea9,342eb61ec446,-66.0,56,723,199.52642272981257,875.2368055673141
1734124795.223915,a4cf12fdaea9,342eb61ec446,-61.0,56,723,199.52642272981257,875.2368055673141
1734124795.2289052,a4cf12fdaea9,342eb61ec446,-62.0,56,723,199.52642272981257,875.2368055673141
1734124795.229904,d8bfc0117c7d,342eb61ec446,-58.0,556,510,199.52642272981257,875.2368055673141
1734124795.2333498,f8b3b73303e8,342eb61ec446,-70.0,56,723,199.52642272981257,875.2368055673141
1734124795.258365,a0a3b3ff35c0,342eb61ec446,-64.0,744,844,199.52642272981257,875.2368055673141
1734124795.2637427,a0a3b3ff66b4,342eb61ec446,-60.0,556,510,199.52642272981257,875.2368055673141
1734124795.2993937,f8b3b73303e8,342eb61ec446,-61.0,56,723,199.52642272981257,875.2368055673141
1734124795.3065822,a4cf12fdaea9,342eb61ec446,-68.0,56,723,199.52642272981257,875.2368055673141
1734124795.3452854,24a1602ccfab,342eb61ec446,-55.0,744,844,199.52642272981257,875.2368055673141
1734124795.3472435,a4cf12fdaea9,342eb61ec446,-67.0,56,723,199.52642272981257,875.2368055673141
1734124795.3561995,d8bfc0117c7d,342eb61ec446,-66.0,556,510,199.52642272981257,875.2368055673141
1734124795.358192,a4cf12fdaea9,342eb61ec446,-67.0,56,723,199.52642272981257,875.2368055673141
1734124795.370073,d8bfc0117c7d,342eb61ec446,-65.0,556,510,199.52642272981257,875.2368055673141
1734124795.3720407,a4cf12fdaea9,342eb61ec446,-67.0,56,723,199.52642272981257,875.2368055673141
1734124795.464613,d8bfc0117c7d,342eb61ec446,-66.0,556,510,199.52642272981257,875.2368055673141
