timestamp,target_mac,estimation_twcl_rssi_8,estimation_fpl
1734125329.7865448,d81c79de34e1,"(556.0, 510.0)","(950.0, 690.0)"
1734125329.7875452,d81c79de34e1,"(395.11242599492203, 357.5801930478209)","(250.0, 735.0)"
1734125329.7885451,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.794545,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.7955182,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.796545,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.7975452,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.7995508,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8035457,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.804518,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8075445,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8125453,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8235445,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8255165,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.826561,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.828518,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8295176,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.840545,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8435454,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8465493,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8515446,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8545449,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.856545,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8595448,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8605444,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8615446,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.879518,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8824062,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8834033,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.887683,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8883674,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.889367,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.8923674,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.900367,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.901367,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9144132,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.915412,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9164114,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.917411,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9194112,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9224117,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9304118,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9324114,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9354117,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9364114,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9384112,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9404116,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9474137,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.948412,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.950411,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9524117,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9544115,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.962412,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9674118,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.96841,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9714105,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9734104,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9744103,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9754105,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9824157,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.983412,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9844117,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.988412,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9904106,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9964118,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9974136,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9984102,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125329.9998963,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125330.0094118,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125330.0124147,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125330.0154114,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125330.016412,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125330.020412,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
1734125330.021412,d81c79de34e1,"(214.4895371479723, 552.2152937226207)","(70.0, 535.0)"
