timestamp,target_mac,estimation_twcl_rssi_8,estimation_fpl
1734124657.1521628,342eb61ec446,"(62.0, 42.0)","(420.0, 585.0)"
1734124657.153164,342eb61ec446,"(309.0, 276.0)","(55.0, 455.0)"
1734124657.1541636,342eb61ec446,"(100.94069426581453, 643.5988524236399)","(55.0, 580.0)"
1734124657.1581638,342eb61ec446,"(96.56330824743982, 644.8839898580378)","(40.0, 585.0)"
1734124657.159164,342eb61ec446,"(96.56330824743982, 644.8839898580378)","(40.0, 585.0)"
1734124657.1601646,342eb61ec446,"(63.4803332273034, 708.5945234376645)","(5.0, 680.0)"
1734124657.173164,342eb61ec446,"(66.63917657812776, 709.2230500037409)","(30.0, 655.0)"
1734124657.1741638,342eb61ec446,"(67.50171184990215, 708.871904388166)","(30.0, 655.0)"
1734124657.1791654,342eb61ec446,"(65.84861470128725, 710.9024816514523)","(30.0, 660.0)"
1734124657.1801655,342eb61ec446,"(65.84861470128725, 710.9024816514523)","(30.0, 660.0)"
1734124657.1894665,342eb61ec446,"(65.10773701169639, 711.2061514377739)","(25.0, 665.0)"
1734124657.191465,342eb61ec446,"(65.1024041176094, 710.0577899404689)","(30.0, 660.0)"
1734124657.2060642,342eb61ec446,"(65.1024041176094, 710.0577899404689)","(30.0, 660.0)"
1734124657.2110572,342eb61ec446,"(65.1024041176094, 710.0577899404689)","(30.0, 660.0)"
1734124657.212057,342eb61ec446,"(65.1024041176094, 710.0577899404689)","(30.0, 660.0)"
1734124657.2130568,342eb61ec446,"(65.1024041176094, 710.0577899404689)","(30.0, 660.0)"
1734124657.2170565,342eb61ec446,"(72.05298959619333, 700.1751329920116)","(35.0, 635.0)"
1734124657.218057,342eb61ec446,"(72.05298959619333, 700.1751329920116)","(35.0, 635.0)"
1734124657.2220566,342eb61ec446,"(72.53748880385986, 700.2788361606086)","(45.0, 630.0)"
1734124657.2240565,342eb61ec446,"(72.53748880385986, 700.2788361606086)","(45.0, 630.0)"
1734124657.2310593,342eb61ec446,"(73.81972015348992, 699.7741817494677)","(45.0, 630.0)"
1734124657.232058,342eb61ec446,"(73.81972015348992, 699.7741817494677)","(45.0, 630.0)"
1734124657.236058,342eb61ec446,"(72.5694525555169, 702.275617522067)","(40.0, 630.0)"
1734124657.2370586,342eb61ec446,"(72.5694525555169, 702.275617522067)","(40.0, 630.0)"
1734124657.247057,342eb61ec446,"(73.85547796765877, 701.7641245442736)","(45.0, 630.0)"
1734124657.250058,342eb61ec446,"(73.45230235464487, 679.3271712570797)","(40.0, 635.0)"
1734124657.2520578,342eb61ec446,"(73.45230235464487, 679.3271712570797)","(40.0, 635.0)"
1734124657.253058,342eb61ec446,"(72.1792610842885, 677.9002855676509)","(40.0, 635.0)"
1734124657.2540586,342eb61ec446,"(72.1792610842885, 677.9002855676509)","(40.0, 635.0)"
1734124657.264057,342eb61ec446,"(73.41893183366678, 677.4700826927246)","(45.0, 630.0)"
1734124657.265057,342eb61ec446,"(66.038460851097, 696.7612904851378)","(40.0, 655.0)"
1734124657.270058,342eb61ec446,"(66.34166912538863, 696.8271408209504)","(45.0, 650.0)"
1734124657.281058,342eb61ec446,"(66.34896887250991, 697.9281165973391)","(45.0, 650.0)"
1734124657.2850578,342eb61ec446,"(73.97402972181766, 679.4552968500637)","(50.0, 630.0)"
1734124657.2880566,342eb61ec446,"(66.34896887250991, 697.9281165973391)","(45.0, 650.0)"
1734124657.2890568,342eb61ec446,"(67.17084845125356, 697.6126791296646)","(50.0, 650.0)"
1734124657.293061,342eb61ec446,"(67.17084845125356, 697.6126791296646)","(50.0, 650.0)"
1734124657.2950568,342eb61ec446,"(60.580180665761745, 712.5908966348254)","(45.0, 675.0)"
1734124657.297057,342eb61ec446,"(60.593197999259175, 706.4427162774172)","(65.0, 665.0)"
1734124657.300057,342eb61ec446,"(61.63291771611012, 704.8566603931536)","(35.0, 690.0)"
1734124657.3134277,342eb61ec446,"(61.629538072907756, 710.9594310926946)","(20.0, 710.0)"
1734124657.3144224,342eb61ec446,"(61.29078258352028, 711.0971337178911)","(20.0, 710.0)"
1734124657.3193924,342eb61ec446,"(61.29078258352028, 711.0971337178911)","(20.0, 710.0)"
1734124657.320422,342eb61ec446,"(61.29078258352028, 711.0971337178911)","(20.0, 710.0)"
1734124657.3264,342eb61ec446,"(61.16611217893298, 711.072864155261)","(15.0, 715.0)"
1734124657.3273954,342eb61ec446,"(61.17099322331315, 707.156540806952)","(25.0, 700.0)"
1734124657.3283937,342eb61ec446,"(61.16951913449401, 709.6805400487418)","(35.0, 700.0)"
1734124657.3343935,342eb61ec446,"(61.16951913449401, 709.6805400487418)","(35.0, 700.0)"
1734124657.3413942,342eb61ec446,"(71.16560680869452, 683.9252452172788)","(35.0, 665.0)"
1734124657.3423922,342eb61ec446,"(68.4333279172584, 684.9053990241633)","(25.0, 670.0)"
1734124657.34274,342eb61ec446,"(68.4333279172584, 684.9053990241633)","(25.0, 670.0)"
1734124657.3447857,342eb61ec446,"(68.4333279172584, 684.9053990241633)","(25.0, 670.0)"
1734124657.3467865,342eb61ec446,"(68.4333279172584, 684.9053990241633)","(25.0, 670.0)"
1734124657.350777,342eb61ec446,"(70.41017727353365, 678.8485099983288)","(25.0, 665.0)"
1734124657.3558214,342eb61ec446,"(70.41017727353365, 678.8485099983288)","(25.0, 665.0)"
1734124657.3587763,342eb61ec446,"(74.37033957847129, 679.8194669267777)","(260.0, 795.0)"
1734124657.3607578,342eb61ec446,"(74.37033957847129, 679.8194669267777)","(260.0, 795.0)"
1734124657.36375,342eb61ec446,"(74.37033957847129, 679.8194669267777)","(260.0, 795.0)"
1734124657.3647482,342eb61ec446,"(71.86301235854091, 685.713082854949)","(255.0, 795.0)"
1734124657.3727489,342eb61ec446,"(71.98657283778172, 693.7773023975969)","(260.0, 785.0)"
1734124657.3737483,342eb61ec446,"(71.98657283778172, 693.7773023975969)","(260.0, 785.0)"
1734124657.3767502,342eb61ec446,"(72.28194867556502, 693.8433310710801)","(265.0, 785.0)"
1734124657.37775,342eb61ec446,"(72.28194867556502, 693.8433310710801)","(265.0, 785.0)"
