timestamp,target_mac,estimation_twcl_rssi_8,estimation_fpl
1734124778.279744,342eb61ec446,"(56.0, 723.0)","(40.0, 680.0)"
1734124778.284302,342eb61ec446,"(59.57634316512909, 723.6289789578207)","(110.0, 655.0)"
1734124778.2872925,342eb61ec446,"(68.71167190601284, 719.6977179784346)","(55.0, 830.0)"
1734124778.301404,342eb61ec446,"(68.71167190601284, 719.6977179784346)","(55.0, 830.0)"
1734124778.3080122,342eb61ec446,"(68.71167190601284, 719.6977179784346)","(55.0, 830.0)"
1734124778.4560845,342eb61ec446,"(68.71167190601284, 719.6977179784346)","(55.0, 830.0)"
1734124778.4615371,342eb61ec446,"(68.54610578056791, 719.6672417413045)","(50.0, 830.0)"
1734124778.6901965,342eb61ec446,"(68.0420016722432, 719.8840706951732)","(45.0, 825.0)"
1734124778.698119,342eb61ec446,"(68.0420016722432, 719.8840706951732)","(45.0, 825.0)"
1734124778.716054,342eb61ec446,"(68.0420016722432, 719.8840706951732)","(45.0, 825.0)"
1734124778.7191408,342eb61ec446,"(68.0420016722432, 719.8840706951732)","(45.0, 825.0)"
1734124779.2194612,342eb61ec446,"(67.56855705214798, 720.0877121652484)","(45.0, 825.0)"
1734124779.2214506,342eb61ec446,"(67.4415679055333, 704.6241407065426)","(170.0, 840.0)"
1734124779.22245,342eb61ec446,"(68.52348833303019, 702.8865101906423)","(170.0, 845.0)"
1734124779.229905,342eb61ec446,"(68.52348833303019, 702.8865101906423)","(170.0, 845.0)"
1734124779.2900326,342eb61ec446,"(68.52348833303019, 702.8865101906423)","(170.0, 845.0)"
1734124779.3248372,342eb61ec446,"(68.52348833303019, 702.8865101906423)","(170.0, 845.0)"
1734124779.5398064,342eb61ec446,"(68.52348833303019, 702.8865101906423)","(170.0, 845.0)"
1734124779.5448086,342eb61ec446,"(68.52348833303019, 702.8865101906423)","(170.0, 845.0)"
1734124779.5508106,342eb61ec446,"(69.68775377427502, 701.016628535856)","(170.0, 850.0)"
1734124779.5562804,342eb61ec446,"(68.52348833303019, 702.8865101906423)","(170.0, 845.0)"
1734124779.560206,342eb61ec446,"(68.52348833303019, 702.8865101906423)","(170.0, 845.0)"
1734124779.563207,342eb61ec446,"(69.68775377427502, 701.016628535856)","(170.0, 850.0)"
