timestamp,target_mac,estimation_twcl_rssi_8,estimation_fpl
1734123386.976146,20f094118214,"(556.0, 510.0)","(880.0, 265.0)"
1734123386.9781458,20f094118214,"(202.30055170263225, 660.6759649746787)","(325.0, 855.0)"
1734123386.9831488,20f094118214,"(188.78254490122026, 666.4346358720801)","(160.0, 510.0)"
1734123386.9841466,20f094118214,"(188.78254490122026, 666.4346358720801)","(160.0, 510.0)"
1734123386.9853742,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123386.9873855,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123386.9925404,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123386.999649,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.0006244,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.0076237,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.0086498,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.0106492,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.0116484,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.0156488,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.0166233,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.0176575,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.0246484,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.028648,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.0306482,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.0326486,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.0406258,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.0456204,20f094118214,"(243.3688490855423, 692.3718155393505)","(330.0, 805.0)"
1734123387.046648,20f094118214,"(243.3688490855423, 692.3718155393505)","(330.0, 805.0)"
1734123387.047649,20f094118214,"(243.3688490855423, 692.3718155393505)","(330.0, 805.0)"
1734123387.0589793,20f094118214,"(243.3688490855423, 692.3718155393505)","(330.0, 805.0)"
1734123387.060942,20f094118214,"(243.3688490855423, 692.3718155393505)","(330.0, 805.0)"
1734123387.0629756,20f094118214,"(260.9153283995147, 689.5035863343028)","(335.0, 815.0)"
1734123387.064942,20f094118214,"(278.82962554051085, 686.5752319146904)","(345.0, 835.0)"
1734123387.0729697,20f094118214,"(278.82962554051085, 686.5752319146904)","(345.0, 835.0)"
