timestamp,target_mac,estimation_twcl_rssi_8,estimation_fpl
1734123511.3386767,20f094118214,"(56.0, 723.0)","(55.0, 555.0)"
1734123511.343747,20f094118214,"(56.52858381344657, 663.005737173814)","(100.0, 910.0)"
1734123511.3660443,20f094118214,"(56.295050084328004, 689.5118154287712)","(130.0, 550.0)"
1734123511.3963282,20f094118214,"(116.40372074744954, 667.9186401048767)","(130.0, 550.0)"
1734123511.3980184,20f094118214,"(142.42764116375523, 675.2200334499151)","(105.0, 890.0)"
1734123511.400036,20f094118214,"(175.12689904914467, 684.394290829003)","(330.0, 770.0)"
1734123511.4036126,20f094118214,"(172.13889418505926, 685.3626199612572)","(330.0, 765.0)"
1734123511.4066195,20f094118214,"(185.66959842961182, 697.8755449648473)","(220.0, 535.0)"
1734123511.438991,20f094118214,"(178.33496623811592, 658.9766890875712)","(220.0, 535.0)"
1734123512.269447,20f094118214,"(174.2256468677759, 660.5976831947002)","(210.0, 535.0)"
1734123512.2743754,20f094118214,"(164.79383968410002, 665.5760160312335)","(210.0, 540.0)"
1734123512.301179,20f094118214,"(167.10983899072093, 664.3535763467694)","(210.0, 540.0)"
1734123512.3168542,20f094118214,"(167.4386648278201, 666.3005485586853)","(210.0, 540.0)"
1734123512.3188612,20f094118214,"(156.87479906269886, 671.6753921545546)","(210.0, 545.0)"
1734123512.3203,20f094118214,"(156.87479906269886, 671.6753921545546)","(210.0, 545.0)"
1734123512.3232262,20f094118214,"(163.77027767524626, 668.8822104507715)","(260.0, 855.0)"
1734123512.3242254,20f094118214,"(163.77027767524626, 668.8822104507715)","(260.0, 855.0)"
1734123512.3272254,20f094118214,"(164.11851689937362, 668.7411476639762)","(260.0, 850.0)"
1734123512.3431182,20f094118214,"(164.38559087874137, 670.3802847903513)","(260.0, 850.0)"
1734123512.3451402,20f094118214,"(167.36232765828677, 662.3932257957308)","(255.0, 860.0)"
1734123512.8774643,20f094118214,"(167.36232765828677, 662.3932257957308)","(255.0, 860.0)"
1734123512.8794088,20f094118214,"(167.36232765828677, 662.3932257957308)","(255.0, 860.0)"
1734123512.881455,20f094118214,"(178.46879585800156, 656.3487471597193)","(265.0, 865.0)"
1734123512.8824444,20f094118214,"(178.14416094218353, 654.6363652951359)","(265.0, 865.0)"
1734123512.8933852,20f094118214,"(178.14416094218353, 654.6363652951359)","(265.0, 865.0)"
1734123513.171173,20f094118214,"(178.50622428505852, 656.5461743512791)","(265.0, 865.0)"
1734123513.2604587,20f094118214,"(176.8324974308672, 657.1959288192202)","(265.0, 865.0)"
1734123513.2636664,20f094118214,"(176.47405817424288, 655.2756503585257)","(260.0, 865.0)"
1734123513.2656586,20f094118214,"(176.47405817424288, 655.2756503585257)","(260.0, 865.0)"
1734123513.2666595,20f094118214,"(179.96163381285237, 653.3151138286725)","(265.0, 870.0)"
1734123513.276626,20f094118214,"(179.96163381285237, 653.3151138286725)","(265.0, 870.0)"
1734123514.101973,20f094118214,"(181.66407578232094, 652.6662819897433)","(265.0, 865.0)"
1734123514.1093583,20f094118214,"(181.66407578232094, 652.6662819897433)","(265.0, 865.0)"
1734123514.1177168,20f094118214,"(181.29941874104316, 650.8053746276745)","(265.0, 865.0)"
1734123514.1476798,20f094118214,"(181.6809000316199, 652.752139016587)","(265.0, 865.0)"
1734123514.1492114,20f094118214,"(180.34247382317096, 652.2969328009981)","(265.0, 870.0)"
1734123514.1502247,20f094118214,"(180.34247382317096, 652.2969328009981)","(265.0, 870.0)"
1734123514.1552217,20f094118214,"(182.43859864096817, 654.5622991576357)","(270.0, 865.0)"
1734123514.1779587,20f094118214,"(182.43859864096817, 654.5622991576357)","(270.0, 865.0)"
1734123514.1789584,20f094118214,"(181.1897504929492, 654.141011438627)","(270.0, 870.0)"
1734123514.1829855,20f094118214,"(181.57520083014495, 653.9927785620293)","(270.0, 865.0)"
1734123516.8699834,20f094118214,"(181.57520083014495, 653.9927785620293)","(270.0, 865.0)"
1734123516.8734236,20f094118214,"(181.57520083014495, 653.9927785620293)","(270.0, 865.0)"
1734123516.874513,20f094118214,"(181.57520083014495, 653.9927785620293)","(270.0, 865.0)"
1734123516.8825233,20f094118214,"(174.48345700662654, 657.8898978433501)","(265.0, 865.0)"
1734123516.883523,20f094118214,"(172.2057355655393, 659.1415719543215)","(265.0, 860.0)"
1734123516.917987,20f094118214,"(172.2057355655393, 659.1415719543215)","(265.0, 860.0)"
1734123516.9189873,20f094118214,"(171.09835587479392, 658.7835612473003)","(260.0, 860.0)"
1734123516.9199886,20f094118214,"(164.01638578352453, 662.7347810119784)","(255.0, 860.0)"
1734123516.9239876,20f094118214,"(163.02316565766878, 662.4243648912405)","(180.0, 890.0)"
1734123516.924986,20f094118214,"(160.76457080522587, 661.0672474019915)","(260.0, 850.0)"
1734123517.7908485,20f094118214,"(160.76457080522587, 661.0672474019915)","(260.0, 850.0)"
1734123517.7919085,20f094118214,"(157.08996360123464, 663.2395327185872)","(255.0, 850.0)"
1734123517.7948525,20f094118214,"(156.43781806316844, 662.6175919345908)","(175.0, 880.0)"
1734123517.7965183,20f094118214,"(154.65234303015365, 663.6910051579474)","(175.0, 880.0)"
1734123517.877036,20f094118214,"(154.65234303015365, 663.6910051579474)","(175.0, 880.0)"
1734123517.8816972,20f094118214,"(156.17544851962563, 663.1077511895406)","(175.0, 880.0)"
1734123517.8916602,20f094118214,"(156.17544851962563, 663.1077511895406)","(175.0, 880.0)"
1734123518.7188368,20f094118214,"(156.17544851962563, 663.1077511895406)","(175.0, 880.0)"
1734123518.7238307,20f094118214,"(157.7924433075896, 662.4885435026846)","(175.0, 875.0)"
1734123518.7288618,20f094118214,"(158.6940537053664, 662.767715298792)","(175.0, 875.0)"
1734123518.747536,20f094118214,"(159.03236504502007, 662.6376315411727)","(170.0, 875.0)"
1734123518.7495272,20f094118214,"(159.03236504502007, 662.6376315411727)","(170.0, 875.0)"
1734123518.7963846,20f094118214,"(158.13204425550595, 662.3584976181966)","(165.0, 880.0)"
1734123518.7982802,20f094118214,"(158.13204425550595, 662.3584976181966)","(165.0, 880.0)"
1734123518.799822,20f094118214,"(155.3602324970085, 661.4991298251701)","(245.0, 840.0)"
1734123518.801861,20f094118214,"(158.89925539543097, 659.3085855565848)","(250.0, 840.0)"
1734123518.802867,20f094118214,"(158.89925539543097, 659.3085855565848)","(250.0, 840.0)"
1734123520.5587296,20f094118214,"(158.89925539543097, 659.3085855565848)","(250.0, 840.0)"
