timestamp,target_mac,estimation_twcl_rssi_8,estimation_fpl
1734123511.3660443,20f094118214,"(56.0, 723.0)","(100.0, 595.0)"
1734123511.3963282,20f094118214,"(56.0, 723.0)","(100.0, 595.0)"
1734123511.3980184,20f094118214,"(124.90718407841803, 735.1188506882102)","(340.0, 630.0)"
1734123511.400036,20f094118214,"(124.90718407841803, 735.1188506882102)","(340.0, 630.0)"
1734123511.4036126,20f094118214,"(120.65821563639173, 734.3715757151211)","(330.0, 625.0)"
1734123511.4066195,20f094118214,"(157.5809947465899, 757.380863212943)","(250.0, 545.0)"
1734123511.438991,20f094118214,"(145.5208784296264, 667.1163033582167)","(250.0, 545.0)"
1734123512.269447,20f094118214,"(145.5208784296264, 667.1163033582167)","(250.0, 545.0)"
1734123512.2743754,20f094118214,"(145.5208784296264, 667.1163033582167)","(250.0, 545.0)"
1734123512.301179,20f094118214,"(150.00208946034832, 664.3188929415445)","(255.0, 545.0)"
1734123512.3168542,20f094118214,"(150.65220797448296, 668.9162955313928)","(255.0, 545.0)"
1734123512.3188612,20f094118214,"(150.65220797448296, 668.9162955313928)","(255.0, 545.0)"
1734123512.3203,20f094118214,"(150.65220797448296, 668.9162955313928)","(255.0, 545.0)"
1734123512.3232262,20f094118214,"(168.4271215505102, 661.947654096891)","(250.0, 895.0)"
1734123512.3242254,20f094118214,"(168.4271215505102, 661.947654096891)","(250.0, 895.0)"
1734123512.3272254,20f094118214,"(169.29933400570437, 661.6057038629864)","(250.0, 895.0)"
1734123512.3431182,20f094118214,"(170.01350550900574, 665.7297251449675)","(250.0, 895.0)"
1734123512.3451402,20f094118214,"(176.88618619248464, 646.570933673508)","(250.0, 895.0)"
1734123512.8774643,20f094118214,"(176.88618619248464, 646.570933673508)","(250.0, 895.0)"
1734123512.8794088,20f094118214,"(176.88618619248464, 646.570933673508)","(250.0, 895.0)"
1734123512.881455,20f094118214,"(176.88618619248464, 646.570933673508)","(250.0, 895.0)"
1734123512.8824444,20f094118214,"(176.1784645741186, 642.8466572067132)","(250.0, 895.0)"
1734123512.8933852,20f094118214,"(176.1784645741186, 642.8466572067132)","(250.0, 895.0)"
1734123513.171173,20f094118214,"(176.1784645741186, 642.8466572067132)","(250.0, 895.0)"
1734123513.2604587,20f094118214,"(176.1784645741186, 642.8466572067132)","(250.0, 895.0)"
