timestamp,target_mac,estimation_twcl_rssi_8,estimation_fpl
1734123688.7784698,20f094118214,"(56.0, 723.0)","(185.0, 870.0)"
1734123688.7835872,20f094118214,"(127.83428657864218, 692.3985939174984)","(280.0, 735.0)"
1734123688.7846282,20f094118214,"(164.56372916350938, 701.4355056105783)","(285.0, 730.0)"
1734123688.7856154,20f094118214,"(178.5077284817475, 698.6657472632819)","(295.0, 735.0)"
1734123688.7896152,20f094118214,"(175.05430721963234, 700.3917224744071)","(295.0, 740.0)"
1734123688.790615,20f094118214,"(161.39363735313867, 702.9858681440589)","(285.0, 730.0)"
1734123688.799467,20f094118214,"(175.05430721963234, 700.3917224744071)","(295.0, 740.0)"
1734123688.800481,20f094118214,"(171.77266574102674, 702.0318443749728)","(290.0, 745.0)"
1734123688.8024788,20f094118214,"(175.05430721963234, 700.3917224744071)","(295.0, 740.0)"
1734123688.80348,20f094118214,"(175.05430721963234, 700.3917224744071)","(295.0, 740.0)"
1734123688.8065183,20f094118214,"(166.19362153441926, 648.7899546686186)","(290.0, 735.0)"
1734123688.8095214,20f094118214,"(171.71012897016976, 605.3706673432883)","(295.0, 740.0)"
1734123688.8105135,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.8214822,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.822507,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.823478,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.824478,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.827508,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.830479,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.8324778,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.8345244,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.8384776,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.8464787,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.847481,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.8524778,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.8534777,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.8694794,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.871478,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.8845005,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.8884792,20f094118214,"(168.5171097596874, 606.1630909690467)","(295.0, 745.0)"
1734123688.895479,20f094118214,"(137.98480152409869, 637.8676070861553)","(300.0, 750.0)"
1734123688.8985145,20f094118214,"(137.98480152409869, 637.8676070861553)","(300.0, 750.0)"
1734123688.8994794,20f094118214,"(137.98480152409869, 637.8676070861553)","(300.0, 750.0)"
1734123688.9004817,20f094118214,"(138.23917318833938, 639.8623722476273)","(300.0, 750.0)"
1734123688.90248,20f094118214,"(138.23917318833938, 639.8623722476273)","(300.0, 750.0)"
1734123688.9034808,20f094118214,"(138.23917318833938, 639.8623722476273)","(300.0, 750.0)"
1734123688.9045165,20f094118214,"(138.23917318833938, 639.8623722476273)","(300.0, 750.0)"
1734123688.9291265,20f094118214,"(136.6599419914628, 639.3301811650514)","(300.0, 755.0)"
1734123688.9311264,20f094118214,"(136.6599419914628, 639.3301811650514)","(300.0, 755.0)"
1734123688.9321268,20f094118214,"(136.6599419914628, 639.3301811650514)","(300.0, 755.0)"
1734123688.9341266,20f094118214,"(158.19521668417633, 632.6884093518013)","(290.0, 775.0)"
1734123688.9411285,20f094118214,"(156.83046288805778, 632.1961151546309)","(290.0, 780.0)"
1734123688.9431264,20f094118214,"(156.83046288805778, 632.1961151546309)","(290.0, 780.0)"
1734123688.944126,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123688.9471266,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123688.958373,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123688.96138,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123688.9633737,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123688.9733486,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123688.9741387,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123688.9771883,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123688.9811764,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123688.9821486,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123688.9901493,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123688.9931495,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123688.994176,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123688.9971766,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123689.0027857,20f094118214,"(157.1152464560344, 633.9685219357525)","(290.0, 780.0)"
1734123689.0087564,20f094118214,"(158.4834252603688, 634.4581591512285)","(290.0, 780.0)"
1734123689.0097563,20f094118214,"(159.93223265859854, 634.9766513380557)","(290.0, 775.0)"
1734123689.0107565,20f094118214,"(159.93223265859854, 634.9766513380557)","(290.0, 775.0)"
1734123689.0127552,20f094118214,"(159.93223265859854, 634.9766513380557)","(290.0, 775.0)"
1734123689.018873,20f094118214,"(159.93223265859854, 634.9766513380557)","(290.0, 775.0)"
1734123689.0198977,20f094118214,"(159.93223265859854, 634.9766513380557)","(290.0, 775.0)"
1734123689.020898,20f094118214,"(159.93223265859854, 634.9766513380557)","(290.0, 775.0)"
1734123689.0229237,20f094118214,"(159.93223265859854, 634.9766513380557)","(290.0, 775.0)"
1734123689.0259242,20f094118214,"(159.93223265859854, 634.9766513380557)","(290.0, 775.0)"
1734123689.027924,20f094118214,"(159.93223265859854, 634.9766513380557)","(290.0, 775.0)"
1734123689.034926,20f094118214,"(159.93223265859854, 634.9766513380557)","(290.0, 775.0)"
1734123689.035897,20f094118214,"(159.93223265859854, 634.9766513380557)","(290.0, 775.0)"
