timestamp,target_mac,estimation_twcl_rssi_8,estimation_fpl
1734123999.449252,d81c79de34e1,"(56.0, 723.0)","(160.0, 915.0)"
1734123999.4891968,d81c79de34e1,"(56.0, 723.0)","(160.0, 915.0)"
1734123999.4912438,d81c79de34e1,"(56.0, 723.0)","(160.0, 915.0)"
1734123999.4982345,d81c79de34e1,"(56.0, 723.0)","(160.0, 915.0)"
1734123999.4992356,d81c79de34e1,"(56.0, 723.0)","(160.0, 915.0)"
1734123999.539317,d81c79de34e1,"(56.0, 723.0)","(160.0, 915.0)"
1734123999.5413144,d81c79de34e1,"(56.0, 723.0)","(160.0, 915.0)"
1734123999.5674222,d81c79de34e1,"(56.0, 723.0)","(160.0, 915.0)"
1734123999.7944384,d81c79de34e1,"(56.0, 723.0)","(160.0, 915.0)"
1734123999.797439,d81c79de34e1,"(56.77571490079443, 634.9563587598332)","(100.0, 890.0)"
1734123999.8063877,d81c79de34e1,"(56.77571490079443, 634.9563587598332)","(100.0, 890.0)"
1734123999.8113885,d81c79de34e1,"(56.77571490079443, 634.9563587598332)","(100.0, 890.0)"
1734124000.0976045,d81c79de34e1,"(56.77571490079443, 634.9563587598332)","(100.0, 890.0)"
1734124000.103555,d81c79de34e1,"(56.77571490079443, 634.9563587598332)","(100.0, 890.0)"
1734124000.1061895,d81c79de34e1,"(56.77571490079443, 634.9563587598332)","(100.0, 890.0)"
1734124000.1141915,d81c79de34e1,"(68.41123526473933, 621.425530128482)","(100.0, 890.0)"
1734124000.1151907,d81c79de34e1,"(68.41123526473933, 621.425530128482)","(100.0, 890.0)"
1734124000.1834097,d81c79de34e1,"(68.41123526473933, 621.425530128482)","(100.0, 890.0)"
1734124000.1847112,d81c79de34e1,"(68.41123526473933, 621.425530128482)","(100.0, 890.0)"
1734124000.1937628,d81c79de34e1,"(68.41123526473933, 621.425530128482)","(100.0, 890.0)"
1734124000.195763,d81c79de34e1,"(68.41123526473933, 621.425530128482)","(100.0, 890.0)"
1734124000.2701778,d81c79de34e1,"(68.41123526473933, 621.425530128482)","(100.0, 890.0)"
1734124000.2718318,d81c79de34e1,"(68.41123526473933, 621.425530128482)","(100.0, 890.0)"
1734124000.2728722,d81c79de34e1,"(111.2265892921805, 611.6412121433527)","(100.0, 890.0)"
1734124000.2738678,d81c79de34e1,"(111.2265892921805, 611.6412121433527)","(100.0, 890.0)"
1734124000.27483,d81c79de34e1,"(111.2265892921805, 611.6412121433527)","(100.0, 890.0)"
1734124000.2798316,d81c79de34e1,"(110.52372870616138, 603.5078362189855)","(100.0, 890.0)"
1734124000.465014,d81c79de34e1,"(110.52372870616138, 603.5078362189855)","(100.0, 890.0)"
1734124000.5199976,d81c79de34e1,"(147.0300189318292, 640.0158820192576)","(100.0, 890.0)"
1734124000.5219646,d81c79de34e1,"(147.0300189318292, 640.0158820192576)","(100.0, 890.0)"
1734124000.522998,d81c79de34e1,"(147.0300189318292, 640.0158820192576)","(100.0, 890.0)"
1734124000.524964,d81c79de34e1,"(147.0300189318292, 640.0158820192576)","(100.0, 890.0)"
1734124000.5611677,d81c79de34e1,"(147.0300189318292, 640.0158820192576)","(100.0, 890.0)"
1734124000.5631638,d81c79de34e1,"(147.0300189318292, 640.0158820192576)","(100.0, 890.0)"
1734124000.5681367,d81c79de34e1,"(147.0300189318292, 640.0158820192576)","(100.0, 890.0)"
1734124000.5691364,d81c79de34e1,"(147.0300189318292, 640.0158820192576)","(100.0, 890.0)"
1734124001.1218674,d81c79de34e1,"(147.0300189318292, 640.0158820192576)","(100.0, 890.0)"
1734124001.1243832,d81c79de34e1,"(147.0300189318292, 640.0158820192576)","(100.0, 890.0)"
1734124001.1284246,d81c79de34e1,"(147.0300189318292, 640.0158820192576)","(100.0, 890.0)"
1734124001.1373837,d81c79de34e1,"(143.529364674158, 641.128777028732)","(100.0, 890.0)"
1734124001.1383832,d81c79de34e1,"(143.529364674158, 641.128777028732)","(100.0, 890.0)"
1734124001.143613,d81c79de34e1,"(144.17555234317194, 639.8303342587208)","(100.0, 890.0)"
1734124001.1632917,d81c79de34e1,"(144.17555234317194, 639.8303342587208)","(100.0, 890.0)"
1734124001.190483,d81c79de34e1,"(144.17555234317194, 639.8303342587208)","(100.0, 890.0)"
1734124001.191269,d81c79de34e1,"(144.17555234317194, 639.8303342587208)","(100.0, 890.0)"
1734124001.1962783,d81c79de34e1,"(144.17555234317194, 639.8303342587208)","(100.0, 890.0)"
1734124001.2301402,d81c79de34e1,"(144.17555234317194, 639.8303342587208)","(100.0, 890.0)"
1734124001.2319484,d81c79de34e1,"(144.17555234317194, 639.8303342587208)","(100.0, 890.0)"
1734124001.232949,d81c79de34e1,"(144.17555234317194, 639.8303342587208)","(100.0, 890.0)"
1734124001.305351,d81c79de34e1,"(144.17555234317194, 639.8303342587208)","(100.0, 890.0)"
