timestamp,target_mac,estimation_twcl_rssi_8,estimation_fpl
1734124111.0678604,d81c79de34e1,"(59.804557483156565, 717.0264891853243)","(200.0, 940.0)"
1734124111.068861,d81c79de34e1,"(84.59139698295988, 706.6847328531503)","(0.0, 685.0)"
1734124111.0788617,d81c79de34e1,"(90.99040601699716, 708.0172626851296)","(245.0, 745.0)"
1734124111.079861,d81c79de34e1,"(97.42071228707057, 705.2638339409226)","(250.0, 745.0)"
1734124111.0818613,d81c79de34e1,"(90.99040601699716, 708.0172626851296)","(245.0, 745.0)"
1734124111.082862,d81c79de34e1,"(88.21002385404908, 709.2012461389111)","(245.0, 745.0)"
1734124111.0838623,d81c79de34e1,"(82.76920178746063, 711.5320908734268)","(250.0, 745.0)"
1734124112.328884,d81c79de34e1,"(85.1091551539532, 710.5355883290515)","(250.0, 745.0)"
1734124112.335338,d81c79de34e1,"(85.1091551539532, 710.5355883290515)","(250.0, 745.0)"
1734124112.3383508,d81c79de34e1,"(85.7032042391383, 710.6559184448483)","(250.0, 745.0)"
1734124112.3462906,d81c79de34e1,"(85.7032042391383, 710.6559184448483)","(250.0, 745.0)"
1734124112.3513222,d81c79de34e1,"(90.10373344624666, 708.8271429706255)","(250.0, 745.0)"
1734124112.3551047,d81c79de34e1,"(89.42614477408593, 708.6870724404948)","(250.0, 745.0)"
1734124112.3571558,d81c79de34e1,"(84.42754249422318, 710.8156907549509)","(250.0, 745.0)"
1734124112.3711572,d81c79de34e1,"(83.62628105241097, 686.9211323199831)","(250.0, 745.0)"
1734124112.3815236,d81c79de34e1,"(76.01365036714165, 700.0820979720814)","(105.0, 890.0)"
1734124113.2497592,d81c79de34e1,"(79.19471033939742, 698.8223484942808)","(240.0, 745.0)"
1734124113.2548113,d81c79de34e1,"(87.17505575228743, 690.5038134720783)","(250.0, 740.0)"
1734124113.2588198,d81c79de34e1,"(86.42270688629779, 671.1234747170649)","(260.0, 815.0)"
1734124113.2598202,d81c79de34e1,"(97.14318907611927, 667.4450146075209)","(260.0, 795.0)"
1734124113.2608266,d81c79de34e1,"(99.99988824009948, 668.2247304127033)","(260.0, 795.0)"
1734124113.2843924,d81c79de34e1,"(94.4271815045433, 675.1621688013045)","(255.0, 795.0)"
1734124113.319502,d81c79de34e1,"(94.4271815045433, 675.1621688013045)","(255.0, 795.0)"
1734124113.3210766,d81c79de34e1,"(94.4271815045433, 675.1621688013045)","(255.0, 795.0)"
1734124113.325596,d81c79de34e1,"(101.17292700314933, 680.2002273029999)","(245.0, 775.0)"
