timestamp,target_mac,estimation_twcl_rssi_8,estimation_fpl
1734124286.9566069,d81c79de34e1,"(556.0, 510.0)","(955.0, 705.0)"
1734124286.9586413,d81c79de34e1,"(79.76839383380006, 712.8746642268012)","(280.0, 835.0)"
1734124286.9746437,d81c79de34e1,"(86.63130515020562, 709.9510640060124)","(290.0, 840.0)"
1734124286.9776046,d81c79de34e1,"(84.18585878675185, 710.9928241568438)","(290.0, 840.0)"
1734124286.979638,d81c79de34e1,"(83.44166131643364, 688.5522789345932)","(290.0, 840.0)"
1734124286.980604,d81c79de34e1,"(81.88257703196496, 689.1413660996159)","(290.0, 855.0)"
1734124286.988638,d81c79de34e1,"(79.84273841790248, 691.8098078380143)","(285.0, 845.0)"
1734124286.9896047,d81c79de34e1,"(77.93042997649701, 694.3114193020582)","(280.0, 840.0)"
1734124286.9906058,d81c79de34e1,"(87.44892141399403, 696.4505494136681)","(280.0, 830.0)"
1734124286.9916058,d81c79de34e1,"(86.24173074415299, 696.930926845128)","(280.0, 840.0)"
1734124286.9946032,d81c79de34e1,"(86.24173074415299, 696.930926845128)","(280.0, 840.0)"
1734124286.9976027,d81c79de34e1,"(86.20025399581816, 695.8103630736656)","(280.0, 845.0)"
1734124287.0016038,d81c79de34e1,"(86.20025399581816, 695.8103630736656)","(280.0, 845.0)"
1734124287.005602,d81c79de34e1,"(86.20025399581816, 695.8103630736656)","(280.0, 845.0)"
1734124287.0106049,d81c79de34e1,"(86.20025399581816, 695.8103630736656)","(280.0, 845.0)"
1734124287.011605,d81c79de34e1,"(87.40549090925444, 695.3336801670015)","(280.0, 835.0)"
1734124287.018638,d81c79de34e1,"(87.40549090925444, 695.3336801670015)","(280.0, 835.0)"
1734124287.0196517,d81c79de34e1,"(87.40549090925444, 695.3336801670015)","(280.0, 835.0)"
1734124287.0206022,d81c79de34e1,"(87.3592298069293, 694.1440185958621)","(280.0, 840.0)"
1734124287.0236073,d81c79de34e1,"(87.3592298069293, 694.1440185958621)","(280.0, 840.0)"
1734124287.0246086,d81c79de34e1,"(87.3592298069293, 694.1440185958621)","(280.0, 840.0)"
1734124287.028603,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.0386364,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.043656,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.044643,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.0516036,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.0526395,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.056607,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.0576482,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.0658278,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.0667996,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.0677974,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.0727985,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.0738022,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.0748043,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.0838342,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.0848389,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.089799,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.09084,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.1007996,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.101967,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.1158352,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.1168387,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.1178389,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.1238296,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.1337993,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.1357975,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.1367989,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.138797,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.1397982,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.1478343,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.1497972,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.150797,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.176087,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.1780872,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.183086,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.1850855,d81c79de34e1,"(85.66313171741409, 694.5048395841643)","(280.0, 855.0)"
1734124287.194086,d81c79de34e1,"(85.66313171741409, 694.5048395841643)","(280.0, 855.0)"
1734124287.1970856,d81c79de34e1,"(85.66313171741409, 694.5048395841643)","(280.0, 855.0)"
1734124287.1980853,d81c79de34e1,"(85.66313171741409, 694.5048395841643)","(280.0, 855.0)"
1734124287.1998858,d81c79de34e1,"(85.66313171741409, 694.5048395841643)","(280.0, 855.0)"
1734124287.202885,d81c79de34e1,"(85.66313171741409, 694.5048395841643)","(280.0, 855.0)"
1734124287.217139,d81c79de34e1,"(85.66313171741409, 694.5048395841643)","(280.0, 855.0)"
1734124287.2181027,d81c79de34e1,"(85.66313171741409, 694.5048395841643)","(280.0, 855.0)"
1734124287.220102,d81c79de34e1,"(85.66313171741409, 694.5048395841643)","(280.0, 855.0)"
1734124287.221102,d81c79de34e1,"(85.66313171741409, 694.5048395841643)","(280.0, 855.0)"
1734124287.222103,d81c79de34e1,"(85.66313171741409, 694.5048395841643)","(280.0, 855.0)"
1734124287.2251124,d81c79de34e1,"(85.66313171741409, 694.5048395841643)","(280.0, 855.0)"
1734124287.226105,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.2281375,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.2331033,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.2381322,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
1734124287.2461104,d81c79de34e1,"(86.15607438778618, 694.6167770239971)","(280.0, 850.0)"
