timestamp,target_mac,estimation_twcl_rssi_8,estimation_fpl
1734123860.636406,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.643413,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.6444066,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.6454144,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.64738,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.6483788,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.6544063,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.6584067,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.6594064,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.6604064,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.664412,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.6654062,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.6714065,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.6764064,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.6774068,d81c79de34e1,"(270.0, 387.0)","(645.0, 95.0)"
1734123860.678407,d81c79de34e1,"(270.0, 387.0)","(300.0, 935.0)"
1734123860.680406,d81c79de34e1,"(69.58049792167107, 701.6773490575632)","(155.0, 890.0)"
1734123860.6873796,d81c79de34e1,"(83.1412930961676, 680.3856332695686)","(260.0, 940.0)"
1734123860.6904132,d81c79de34e1,"(191.80145915761224, 509.7790173973938)","(660.0, 350.0)"
1734123860.6914072,d81c79de34e1,"(191.80145915761224, 509.7790173973938)","(660.0, 350.0)"
1734123860.6923797,d81c79de34e1,"(191.80145915761224, 509.7790173973938)","(660.0, 350.0)"
1734123860.6944125,d81c79de34e1,"(74.16107092704698, 694.485421348188)","(5.0, 690.0)"
1734123860.6964111,d81c79de34e1,"(72.36179197942658, 697.3104574528629)","(160.0, 915.0)"
1734123860.69841,d81c79de34e1,"(72.36179197942658, 697.3104574528629)","(160.0, 915.0)"
1734123860.7024076,d81c79de34e1,"(72.36179197942658, 697.3104574528629)","(160.0, 915.0)"
1734123860.7073803,d81c79de34e1,"(72.36179197942658, 697.3104574528629)","(160.0, 915.0)"
