timestamp,monitor_mac,target_mac,rssi,anchor_position_x,anchor_position_y,target_position_x,target_position_y
1734006730.4309137,a4cf12fdaea9,483fda467e7a,-69.0,861,580,1149.2580645161293,610.1032258064517
1734006730.4319003,f8b3b732fb6c,a4cf12fdaea9,-72.0,1461,241,1149.2580645161293,610.1032258064517
1734006730.4328644,a4cf12fdaea9,f8b3b732fb6c,-75.0,861,580,1149.2580645161293,610.1032258064517
1734006730.4338665,f8b3b732fb6c,08a6f7a1e5c8,-80.0,1461,241,1149.2580645161293,610.1032258064517
1734006730.4359,483fda467e7a,342eb61ec446,-59.0,1461,241,1149.2580645161293,610.1032258064517
1734006730.4398963,f8b3b734347c,483fda467e7a,-77.0,1047,884,1149.2580645161293,610.1032258064517
1734006730.4398963,f8b3b732fb6c,483fda467e7a,-17.0,1461,241,1149.2580645161293,610.1032258064517
1734006730.4408967,24a1602ccfab,342eb61ec446,-85.0,2048,884,1149.2580645161293,610.1032258064517
1734006730.4418714,24a1602ccfab,d8bfc0117c7d,-71.0,2048,884,1149.2580645161293,610.1032258064517
1734006730.4431732,d8bfc0117c7d,a0a3b3ff66b4,-34.0,107,884,1149.2580645161293,610.1032258064517
1734006730.4438415,a4cf12fdaea9,08a6f7a1e5c8,-60.0,861,580,1149.2580645161293,610.1032258064517
1734006730.4448607,d8bfc0117c7d,a0a3b3ff35c0,-81.0,107,884,1149.2580645161293,610.1032258064517
1734006730.445856,483fda467e7a,a4cf12fdaea9,-65.0,1461,241,1149.2580645161293,610.1032258064517
1734006730.4468591,f8b3b732fb6c,a4cf12fdaea9,-71.0,1461,241,1149.2580645161293,610.1032258064517
1734006730.4478917,d8bfc0117c7d,a4cf12fdaea9,-90.0,107,884,1149.2580645161293,610.1032258064517
1734006730.448892,08a6f7a1e5c8,a4cf12fdaea9,-55.0,884,45,1149.2580645161293,610.1032258064517
1734006730.4498951,d8bfc0117c7d,342eb61ec446,-78.0,107,884,1149.2580645161293,610.1032258064517
1734006730.4498951,483fda467e7a,342eb61ec446,-43.0,1461,241,1149.2580645161293,610.1032258064517
1734006730.4519286,d8bfc0117c7d,24a1602ccfab,-71.0,107,884,1149.2580645161293,610.1032258064517
1734006730.4548597,483fda467e7a,d8bfc0117c7d,-79.0,1461,241,1149.2580645161293,610.1032258064517
1734006730.45586,a4cf12fdaea9,483fda467e7a,-78.0,861,580,1149.2580645161293,610.1032258064517
1734006730.4568603,a4cf12fdaea9,f8b3b732fb6c,-74.0,861,580,1149.2580645161293,610.1032258064517
1734006730.4568603,483fda467e7a,342eb61ec446,-58.0,1461,241,1149.2580645161293,610.1032258064517
