timestamp,monitor_mac,target_mac,rssi,anchor_position_x,anchor_position_y,target_position_x,target_position_y
1734123999.4343965,483fda467e7a,d81c79de34e1,-68.0,62,42,201.16038199089053,883.4066018727036
1734123999.440398,d8bfc0117c7d,d81c79de34e1,-64.0,556,510,201.16038199089053,883.4066018727036
1734123999.4423966,24a1602ccfab,d81c79de34e1,-72.0,744,844,201.16038199089053,883.4066018727036
1734123999.4434636,a4cf12fdaea9,d81c79de34e1,-46.0,56,723,201.16038199089053,883.4066018727036
1734123999.4443793,483fda467e7a,a4cf12fdaea9,-78.0,62,42,201.16038199089053,883.4066018727036
1734123999.4456658,d8bfc0117c7d,483fda467e7a,-85.0,556,510,201.16038199089053,883.4066018727036
1734123999.4462447,d8bfc0117c7d,24a1602ccfab,-57.0,556,510,201.16038199089053,883.4066018727036
1734123999.447253,a4cf12fdaea9,483fda467e7a,-87.0,56,723,201.16038199089053,883.4066018727036
1734123999.4482524,d8bfc0117c7d,a4cf12fdaea9,-60.0,556,510,201.16038199089053,883.4066018727036
1734123999.4482524,a4cf12fdaea9,24a1602ccfab,-78.0,56,723,201.16038199089053,883.4066018727036
1734123999.4492521,f8b3b73303e8,d81c79de34e1,-52.0,56,723,201.16038199089053,883.4066018727036
1734123999.4502537,d8bfc0117c7d,a0a3b3ff66b4,-62.0,556,510,201.16038199089053,883.4066018727036
1734123999.4512522,24a1602ccfab,a4cf12fdaea9,-79.0,744,844,201.16038199089053,883.4066018727036
1734123999.4542944,f8b3b73303e8,d8bfc0117c7d,-60.0,56,723,201.16038199089053,883.4066018727036
1734123999.4552598,f8b3b73303e8,24a1602ccfab,-78.0,56,723,201.16038199089053,883.4066018727036
1734123999.4562523,f8b3b73303e8,a4cf12fdaea9,-4.0,56,723,201.16038199089053,883.4066018727036
1734123999.4562523,a0a3b3ff35c0,a4cf12fdaea9,-90.0,744,844,201.16038199089053,883.4066018727036
1734123999.4891968,24a1602ccfab,d81c79de34e1,-73.0,744,844,201.16038199089053,883.4066018727036
1734123999.4912438,f8b3b734347c,24a1602ccfab,-68.0,441,934,201.16038199089053,883.4066018727036
1734123999.4912438,483fda467e7a,d81c79de34e1,-68.0,62,42,201.16038199089053,883.4066018727036
1734123999.4922237,24a1602ccfab,483fda467e7a,-89.0,744,844,201.16038199089053,883.4066018727036
1734123999.4932325,a4cf12fdaea9,483fda467e7a,-92.0,56,723,201.16038199089053,883.4066018727036
1734123999.4942386,d8bfc0117c7d,483fda467e7a,-83.0,556,510,201.16038199089053,883.4066018727036
1734123999.4952328,f8b3b73303e8,24a1602ccfab,-79.0,56,723,201.16038199089053,883.4066018727036
1734123999.4962323,f8b3b73303e8,a4cf12fdaea9,-3.0,56,723,201.16038199089053,883.4066018727036
1734123999.4972322,f8b3b73303e8,483fda467e7a,-87.0,56,723,201.16038199089053,883.4066018727036
1734123999.4972322,a0a3b3ff66b4,483fda467e7a,-83.0,556,510,201.16038199089053,883.4066018727036
1734123999.4982345,d8bfc0117c7d,d81c79de34e1,-64.0,556,510,201.16038199089053,883.4066018727036
1734123999.4992356,24a1602ccfab,d81c79de34e1,-73.0,744,844,201.16038199089053,883.4066018727036
1734123999.4992356,a4cf12fdaea9,d8bfc0117c7d,-60.0,56,723,201.16038199089053,883.4066018727036
1734123999.5002654,d8bfc0117c7d,24a1602ccfab,-56.0,556,510,201.16038199089053,883.4066018727036
1734123999.5012343,24a1602ccfab,a4cf12fdaea9,-77.0,744,844,201.16038199089053,883.4066018727036
1734123999.5022614,d8bfc0117c7d,a4cf12fdaea9,-59.0,556,510,201.16038199089053,883.4066018727036
1734123999.5022614,f8b3b734347c,24a1602ccfab,-68.0,441,934,201.16038199089053,883.4066018727036
1734123999.5336418,f8b3b73303e8,d8bfc0117c7d,-60.0,56,723,201.16038199089053,883.4066018727036
1734123999.5353153,f8b3b73303e8,24a1602ccfab,-84.0,56,723,201.16038199089053,883.4066018727036
1734123999.536314,f8b3b73303e8,a4cf12fdaea9,-4.0,56,723,201.16038199089053,883.4066018727036
1734123999.537314,f8b3b73303e8,24a1602ccfab,-79.0,56,723,201.16038199089053,883.4066018727036
1734123999.5383139,f8b3b73303e8,d8bfc0117c7d,-56.0,56,723,201.16038199089053,883.4066018727036
1734123999.5383139,f8b3b73303e8,a4cf12fdaea9,-3.0,56,723,201.16038199089053,883.4066018727036
1734123999.5393167,483fda467e7a,d81c79de34e1,-66.0,62,42,201.16038199089053,883.4066018727036
1734123999.5403142,24a1602ccfab,483fda467e7a,-91.0,744,844,201.16038199089053,883.4066018727036
1734123999.5413144,a4cf12fdaea9,d81c79de34e1,-48.0,56,723,201.16038199089053,883.4066018727036
1734123999.5423143,24a1602ccfab,d8bfc0117c7d,-57.0,744,844,201.16038199089053,883.4066018727036
1734123999.5433147,f8b3b734347c,483fda467e7a,-89.0,441,934,201.16038199089053,883.4066018727036
1734123999.5433147,a0a3b3ff66b4,24a1602ccfab,-54.0,556,510,201.16038199089053,883.4066018727036
1734123999.5443165,f8b3b73303e8,a4cf12fdaea9,-3.0,56,723,201.16038199089053,883.4066018727036
1734123999.5453205,f8b3b732fb6c,24a1602ccfab,-78.0,62,42,201.16038199089053,883.4066018727036
1734123999.5493162,f8b3b734347c,a4cf12fdaea9,-65.0,441,934,201.16038199089053,883.4066018727036
1734123999.550314,f8b3b734347c,24a1602ccfab,-66.0,441,934,201.16038199089053,883.4066018727036
1734123999.5508616,f8b3b732fb6c,483fda467e7a,-17.0,62,42,201.16038199089053,883.4066018727036
1734123999.5518708,f8b3b73303e8,a4cf12fdaea9,-3.0,56,723,201.16038199089053,883.4066018727036
