timestamp,monitor_mac,distance,rssi
1726962642.712482,a4cf12fdaea9,0.1,-31.0
1726962642.7133868,d8bfc0117c7d,0.1,-40.0
1726962642.773822,a4cf12fdaea9,0.1,-31.0
1726962642.7758217,24a1602ccfab,0.1,-35.0
1726962642.7768207,d8bfc0117c7d,0.1,-42.0
1726962642.7779038,a4cf12fdaea9,0.1,-31.0
1726962642.7788184,24a1602ccfab,0.1,-35.0
1726962642.7911031,a4cf12fdaea9,0.1,-28.0
1726962642.7918353,d8bfc0117c7d,0.1,-41.0
1726962642.7928407,24a1602ccfab,0.1,-33.0
1726962642.7938294,a4cf12fdaea9,0.1,-26.0
1726962642.7948296,d8bfc0117c7d,0.1,-42.0
1726962642.7948296,24a1602ccfab,0.1,-56.0
1726962642.823098,d8bfc0117c7d,0.1,-41.0
1726962642.8251045,a4cf12fdaea9,0.1,-32.0
1726962642.8260977,24a1602ccfab,0.1,-33.0
1726962642.889055,a4cf12fdaea9,0.1,-34.0
1726962642.8900542,24a1602ccfab,0.1,-36.0
1726962642.8920536,d8bfc0117c7d,0.1,-40.0
1726962642.8930504,a4cf12fdaea9,0.1,-34.0
1726962643.1965003,24a1602ccfab,0.1,-38.0
1726962643.2015004,24a1602ccfab,0.1,-37.0
1726962643.2044997,d8bfc0117c7d,0.1,-35.0
1726962643.2074971,24a1602ccfab,0.1,-37.0
1726962643.2112505,a4cf12fdaea9,0.1,-35.0
1726962643.2123632,d8bfc0117c7d,0.1,-35.0
1726962643.2133617,24a1602ccfab,0.1,-37.0
1726962643.2153656,d8bfc0117c7d,0.1,-35.0
1726962643.217362,24a1602ccfab,0.1,-37.0
1726962643.218369,a4cf12fdaea9,0.1,-35.0
1726962643.2193618,a4cf12fdaea9,0.1,-35.0
1726962643.2203612,24a1602ccfab,0.1,-38.0
1726962643.2245643,d8bfc0117c7d,0.1,-48.0
1726962643.2266176,a4cf12fdaea9,0.1,-35.0
1726962643.2276185,24a1602ccfab,0.1,-30.0
1726962643.2286172,a4cf12fdaea9,0.1,-28.0
1726962643.2296188,24a1602ccfab,0.1,-37.0
1726962643.230618,a4cf12fdaea9,0.1,-28.0
1726962643.2336185,d8bfc0117c7d,0.1,-37.0
1726962643.2346213,a4cf12fdaea9,0.1,-35.0
1726962643.3111842,a4cf12fdaea9,0.1,-32.0
1726962643.31778,d8bfc0117c7d,0.1,-41.0
1726962643.3207793,24a1602ccfab,0.1,-38.0
1726962643.3560393,d8bfc0117c7d,0.1,-42.0
1726962643.3606277,24a1602ccfab,0.1,-35.0
1726962643.3616276,d8bfc0117c7d,0.1,-42.0
1726962643.3638282,24a1602ccfab,0.1,-35.0
1726962643.3661468,a4cf12fdaea9,0.1,-30.0
1726962643.3681536,a4cf12fdaea9,0.1,-33.0
1726962643.3691657,24a1602ccfab,0.1,-34.0
1726962643.3887012,d8bfc0117c7d,0.1,-42.0
1726962643.3919516,a4cf12fdaea9,0.1,-33.0
1726962643.3939552,d8bfc0117c7d,0.1,-42.0
1726962643.3979523,24a1602ccfab,0.1,-39.0
1726962643.3999577,d8bfc0117c7d,0.1,-42.0
1726962643.4019527,a4cf12fdaea9,0.1,-34.0
1726962643.4029536,d8bfc0117c7d,0.1,-42.0
1726962643.4172444,a4cf12fdaea9,0.1,-29.0
1726962643.420306,d8bfc0117c7d,0.1,-40.0
1726962643.4222589,24a1602ccfab,0.1,-36.0
1726962643.4482195,d8bfc0117c7d,0.1,-39.0
1726962643.479258,24a1602ccfab,0.1,-36.0
1726962643.4819763,d8bfc0117c7d,0.1,-39.0
1726962643.4839728,a4cf12fdaea9,0.1,-34.0
1726962643.4859712,d8bfc0117c7d,0.1,-39.0
1726962643.4879754,24a1602ccfab,0.1,-36.0
1726962643.4909728,d8bfc0117c7d,0.1,-39.0
1726962643.4919708,a4cf12fdaea9,0.1,-34.0
1726962643.493972,d8bfc0117c7d,0.1,-38.0
1726962643.494979,24a1602ccfab,0.1,-37.0
1726962643.495971,a4cf12fdaea9,0.1,-36.0
1726962643.4969716,24a1602ccfab,0.1,-38.0
1726962643.4979725,a4cf12fdaea9,0.1,-36.0
1726962643.5007322,24a1602ccfab,0.1,-38.0
1726962643.5017295,a4cf12fdaea9,0.1,-32.0
1726962643.5027268,d8bfc0117c7d,0.1,-41.0
1726962643.5057285,a4cf12fdaea9,0.1,-32.0
1726962643.5220206,d8bfc0117c7d,0.1,-41.0
1726962643.5251827,a4cf12fdaea9,0.1,-34.0
1726962643.5261924,24a1602ccfab,0.1,-35.0
1726962643.5311916,a4cf12fdaea9,0.1,-28.0
1726962643.5343583,24a1602ccfab,0.1,-35.0
1726962643.5380383,d8bfc0117c7d,0.1,-40.0
1726962643.9275713,a4cf12fdaea9,0.1,-33.0
1726962643.9373393,d8bfc0117c7d,0.1,-41.0
1726962643.9453375,24a1602ccfab,0.1,-35.0
1726962643.9493356,a4cf12fdaea9,0.1,-33.0
1726962643.952331,24a1602ccfab,0.1,-35.0
1726962643.9553235,d8bfc0117c7d,0.1,-42.0
1726962643.9807472,24a1602ccfab,0.1,-36.0
1726962643.9833393,a4cf12fdaea9,0.1,-33.0
1726962643.986335,24a1602ccfab,0.1,-36.0
1726962643.9903328,d8bfc0117c7d,0.1,-41.0
1726962643.9923327,a4cf12fdaea9,0.1,-33.0
1726962643.9983299,d8bfc0117c7d,0.1,-41.0
1726962644.0013366,a4cf12fdaea9,0.1,-33.0
1726962644.0033336,24a1602ccfab,0.1,-39.0
1726962644.0482063,d8bfc0117c7d,0.1,-42.0
1726962644.0542216,24a1602ccfab,0.1,-38.0
1726962644.0562048,d8bfc0117c7d,0.1,-42.0
1726962644.058214,24a1602ccfab,0.1,-35.0
1726962644.0592077,a4cf12fdaea9,0.1,-35.0
1726962644.0612135,a4cf12fdaea9,0.1,-33.0
1726962644.0622063,d8bfc0117c7d,0.1,-40.0
1726962644.0632057,a4cf12fdaea9,0.1,-33.0
1726962644.065205,24a1602ccfab,0.1,-35.0
1726962644.0707464,d8bfc0117c7d,0.1,-43.0
1726962644.0707464,24a1602ccfab,0.1,-39.0
1726962644.0727465,a4cf12fdaea9,0.1,-33.0
1726962644.0753121,a4cf12fdaea9,0.1,-34.0
1726962644.0762823,24a1602ccfab,0.1,-38.0
1726962644.0903049,24a1602ccfab,0.1,-34.0
1726962644.0922847,d8bfc0117c7d,0.1,-41.0
