timestamp,monitor_mac,distance,rssi
1727004886.242981,24a1602ccfab,0.1,-32.0
1727004886.244904,a4cf12fdaea9,0.1,-30.0
1727004886.3157496,a4cf12fdaea9,0.1,-31.0
1727004886.3207664,d8bfc0117c7d,0.1,-35.0
1727004886.3217423,a4cf12fdaea9,0.1,-28.0
1727004886.337808,24a1602ccfab,0.1,-28.0
1727004886.33968,d8bfc0117c7d,0.1,-28.0
1727004886.3419437,a4cf12fdaea9,0.1,-28.0
1727004886.4278593,a4cf12fdaea9,0.1,-28.0
1727004886.429859,d8bfc0117c7d,0.1,-34.0
1727004886.4308662,24a1602ccfab,0.1,-29.0
1727004886.835294,24a1602ccfab,0.1,-32.0
1727004886.8373132,d8bfc0117c7d,0.1,-30.0
1727004886.8383498,a4cf12fdaea9,0.1,-35.0
1727004886.8766947,d8bfc0117c7d,0.1,-34.0
1727004886.8777473,24a1602ccfab,0.1,-34.0
1727004886.8797474,a4cf12fdaea9,0.1,-33.0
1727004886.8807492,24a1602ccfab,0.1,-31.0
1727004887.298864,d8bfc0117c7d,0.1,-35.0
1727004887.302342,24a1602ccfab,0.1,-57.0
1727004887.303342,d8bfc0117c7d,0.1,-26.0
1727004887.3053422,a4cf12fdaea9,0.1,-31.0
1727004887.3063385,24a1602ccfab,0.1,-22.0
1727004887.4717805,24a1602ccfab,0.1,-31.0
1727004887.4792774,d8bfc0117c7d,0.1,-33.0
1727004887.485279,24a1602ccfab,0.1,-31.0
1727004887.4892776,d8bfc0117c7d,0.1,-33.0
1727004887.4922824,a4cf12fdaea9,0.1,-29.0
1727004887.5349655,d8bfc0117c7d,0.1,-35.0
1727004887.5377269,a4cf12fdaea9,0.1,-33.0
1727004887.5387242,a4cf12fdaea9,0.1,-29.0
1727004887.540727,24a1602ccfab,0.1,-24.0
1727004887.5417264,24a1602ccfab,0.1,-32.0
1727004887.5427375,d8bfc0117c7d,0.1,-34.0
1727004887.543726,24a1602ccfab,0.1,-28.0
1727004887.5447257,d8bfc0117c7d,0.1,-36.0
1727004887.5467286,a4cf12fdaea9,0.1,-26.0
1727004887.5477302,24a1602ccfab,0.1,-56.0
1727004887.5497422,d8bfc0117c7d,0.1,-34.0
1727004887.5507262,24a1602ccfab,0.1,-30.0
1727004887.551726,a4cf12fdaea9,0.1,-35.0
1727004887.5527267,24a1602ccfab,0.1,-26.0
1727004887.5547273,d8bfc0117c7d,0.1,-31.0
1727004887.555729,24a1602ccfab,0.1,-58.0
1727004887.5567253,a4cf12fdaea9,0.1,-32.0
1727004887.579198,a4cf12fdaea9,0.1,-29.0
1727004887.5818298,24a1602ccfab,0.1,-27.0
1727004887.583673,d8bfc0117c7d,0.1,-31.0
1727004887.5846832,a4cf12fdaea9,0.1,-33.0
1727004887.5859268,24a1602ccfab,0.1,-56.0
1727004887.5869362,24a1602ccfab,0.1,-28.0
1727004887.587936,a4cf12fdaea9,0.1,-32.0
1727004887.5889354,24a1602ccfab,0.1,-57.0
1727004887.5899355,a4cf12fdaea9,0.1,-56.0
1727004887.5909357,a4cf12fdaea9,0.1,-33.0
1727004887.5919356,d8bfc0117c7d,0.1,-50.0
1727004887.5939374,24a1602ccfab,0.1,-24.0
1727004887.5949538,d8bfc0117c7d,0.1,-31.0
1727004887.5969405,d8bfc0117c7d,0.1,-33.0
1727004887.5999408,24a1602ccfab,0.1,-26.0
1727004887.6019378,24a1602ccfab,0.1,-54.0
1727004887.6029367,d8bfc0117c7d,0.1,-34.0
1727004887.603937,a4cf12fdaea9,0.1,-51.0
1727004887.6049342,24a1602ccfab,0.1,-29.0
1727004887.6059394,a4cf12fdaea9,0.1,-34.0
1727004887.606936,24a1602ccfab,0.1,-31.0
1727004887.6089354,d8bfc0117c7d,0.1,-33.0
1727004887.6252007,d8bfc0117c7d,0.1,-35.0
1727004887.627198,24a1602ccfab,0.1,-31.0
1727004887.6281984,a4cf12fdaea9,0.1,-32.0
1727004887.642802,24a1602ccfab,0.1,-27.0
1727004887.6445136,a4cf12fdaea9,0.1,-28.0
1727004887.6485288,24a1602ccfab,0.1,-29.0
1727004888.0390506,d8bfc0117c7d,0.1,-36.0
1727004888.04251,24a1602ccfab,0.1,-27.0
1727004888.124236,d8bfc0117c7d,0.1,-35.0
1727004888.1262534,a4cf12fdaea9,0.1,-35.0
1727004888.1569235,a4cf12fdaea9,0.1,-30.0
1727004888.1595042,d8bfc0117c7d,0.1,-37.0
