timestamp,monitor_mac,target_mac,rssi,anchor_position_x,anchor_position_y,target_position_x,target_position_y
1733996631.653999,f8b3b732fb6c,342eb61ec446,-58.0,1461,241,1338.0,94.0
1733996631.6819963,f8b3b734347c,342eb61ec446,-64.0,1047,884,1338.0,94.0
1733996631.7369964,08a6f7a1e5c8,342eb61ec446,-53.0,884,45,1338.0,94.0
1733996631.7529964,08a6f7a1e5c8,342eb61ec446,-53.0,884,45,1338.0,94.0
1733996632.9934652,08a6f7a1e5c8,342eb61ec446,-60.0,884,45,1338.0,94.0
1733996633.205466,08a6f7a1e5c8,342eb61ec446,-54.0,884,45,1338.0,94.0
1733996633.2084649,08a6f7a1e5c8,342eb61ec446,-47.0,884,45,1338.0,94.0
1733996633.212465,f8b3b732fb6c,342eb61ec446,-47.0,1461,241,1338.0,94.0
1733996633.7718256,08a6f7a1e5c8,342eb61ec446,-46.0,884,45,1338.0,94.0
1733996635.2141557,08a6f7a1e5c8,342eb61ec446,-58.0,884,45,1338.0,94.0
1733996635.2151182,f8b3b732fb6c,342eb61ec446,-51.0,1461,241,1338.0,94.0
1733996636.4587677,08a6f7a1e5c8,342eb61ec446,-60.0,884,45,1338.0,94.0
1733996637.349234,f8b3b732fb6c,342eb61ec446,-67.0,1461,241,1338.0,94.0
1733996637.3541963,08a6f7a1e5c8,342eb61ec446,-65.0,884,45,1338.0,94.0
1733996637.4157438,08a6f7a1e5c8,342eb61ec446,-65.0,884,45,1338.0,94.0
1733996637.4187446,f8b3b732fb6c,342eb61ec446,-65.0,1461,241,1338.0,94.0
1733996637.4317417,f8b3b732fb6c,342eb61ec446,-65.0,1461,241,1338.0,94.0
1733996637.4347754,08a6f7a1e5c8,342eb61ec446,-65.0,884,45,1338.0,94.0
1733996637.4377787,f8b3b732fb6c,342eb61ec446,-65.0,1461,241,1338.0,94.0
1733996637.496743,f8b3b732fb6c,342eb61ec446,-61.0,1461,241,1338.0,94.0
1733996637.498742,a0a3b3ff66b4,342eb61ec446,-78.0,107,884,1338.0,94.0
1733996637.527751,08a6f7a1e5c8,342eb61ec446,-66.0,884,45,1338.0,94.0
1733996637.5287468,f8b3b732fb6c,342eb61ec446,-67.0,1461,241,1338.0,94.0
1733996637.5327442,f8b3b734347c,342eb61ec446,-73.0,1047,884,1338.0,94.0
1733996637.533744,f8b3b732fb6c,342eb61ec446,-67.0,1461,241,1338.0,94.0
1733996637.5347445,f8b3b732fb6c,342eb61ec446,-67.0,1461,241,1338.0,94.0
1733996637.537742,08a6f7a1e5c8,342eb61ec446,-66.0,884,45,1338.0,94.0
1733996637.5397418,08a6f7a1e5c8,342eb61ec446,-66.0,884,45,1338.0,94.0
1733996637.5407815,f8b3b732fb6c,342eb61ec446,-67.0,1461,241,1338.0,94.0
1733996637.5447798,08a6f7a1e5c8,342eb61ec446,-66.0,884,45,1338.0,94.0
1733996637.5467763,f8b3b732fb6c,342eb61ec446,-67.0,1461,241,1338.0,94.0
1733996637.5497758,08a6f7a1e5c8,342eb61ec446,-66.0,884,45,1338.0,94.0
