timestamp,monitor_mac,target_mac,rssi,anchor_position_x,anchor_position_y,target_position_x,target_position_y
1734123386.976146,d8bfc0117c7d,20f094118214,-67.0,556,510,202.73647186147178,880.4280303030304
1734123386.9771461,f8b3b73303e8,d8bfc0117c7d,-60.0,56,723,202.73647186147178,880.4280303030304
1734123386.9771461,d8bfc0117c7d,a0a3b3ff66b4,-57.0,556,510,202.73647186147178,880.4280303030304
1734123386.9781458,a4cf12fdaea9,20f094118214,-60.0,56,723,202.73647186147178,880.4280303030304
1734123386.9781458,a4cf12fdaea9,f8b3b73303e8,-15.0,56,723,202.73647186147178,880.4280303030304
1734123386.9791598,483fda467e7a,08a6f7a1e5c8,-74.0,62,42,202.73647186147178,880.4280303030304
1734123386.9791598,24a1602ccfab,a0a3b3ff35c0,-15.0,744,844,202.73647186147178,880.4280303030304
1734123386.9801483,f8b3b73303e8,a4cf12fdaea9,-3.0,56,723,202.73647186147178,880.4280303030304
1734123386.9801483,f8b3b732fb6c,d8bfc0117c7d,-70.0,62,42,202.73647186147178,880.4280303030304
1734123386.9815788,a0a3b3ff66b4,24a1602ccfab,-55.0,556,510,202.73647186147178,880.4280303030304
1734123386.9815788,a0a3b3ff66b4,a4cf12fdaea9,-68.0,556,510,202.73647186147178,880.4280303030304
1734123386.982147,08a6f7a1e5c8,a0a3b3ff66b4,-75.0,270,387,202.73647186147178,880.4280303030304
1734123386.982147,f8b3b732fb6c,08a6f7a1e5c8,-71.0,62,42,202.73647186147178,880.4280303030304
1734123386.9831488,a4cf12fdaea9,20f094118214,-59.0,56,723,202.73647186147178,880.4280303030304
1734123386.9841466,d8bfc0117c7d,20f094118214,-67.0,556,510,202.73647186147178,880.4280303030304
1734123386.9841466,a4cf12fdaea9,d8bfc0117c7d,-63.0,56,723,202.73647186147178,880.4280303030304
1734123386.9851496,d8bfc0117c7d,a4cf12fdaea9,-61.0,556,510,202.73647186147178,880.4280303030304
1734123386.9853742,24a1602ccfab,20f094118214,-72.0,744,844,202.73647186147178,880.4280303030304
1734123386.9863884,a4cf12fdaea9,24a1602ccfab,-80.0,56,723,202.73647186147178,880.4280303030304
1734123386.9863884,24a1602ccfab,d8bfc0117c7d,-55.0,744,844,202.73647186147178,880.4280303030304
1734123386.9873855,08a6f7a1e5c8,20f094118214,-72.0,270,387,202.73647186147178,880.4280303030304
1734123386.9873855,483fda467e7a,a4cf12fdaea9,-75.0,62,42,202.73647186147178,880.4280303030304
1734123386.9883854,d8bfc0117c7d,08a6f7a1e5c8,-78.0,556,510,202.73647186147178,880.4280303030304
1734123386.9925404,24a1602ccfab,a0a3b3ff35c0,-16.0,744,844,202.73647186147178,880.4280303030304
1734123386.9925404,f8b3b73303e8,20f094118214,-57.0,56,723,202.73647186147178,880.4280303030304
1734123386.9935384,483fda467e7a,24a1602ccfab,-82.0,62,42,202.73647186147178,880.4280303030304
1734123386.9935384,a4cf12fdaea9,f8b3b73303e8,-14.0,56,723,202.73647186147178,880.4280303030304
1734123386.9945395,d8bfc0117c7d,f8b3b73303e8,-68.0,556,510,202.73647186147178,880.4280303030304
1734123386.9945395,f8b3b73303e8,d8bfc0117c7d,-60.0,56,723,202.73647186147178,880.4280303030304
1734123386.9955397,f8b3b73303e8,a4cf12fdaea9,-4.0,56,723,202.73647186147178,880.4280303030304
1734123386.9955397,f8b3b73303e8,24a1602ccfab,-81.0,56,723,202.73647186147178,880.4280303030304
1734123386.996566,08a6f7a1e5c8,d8bfc0117c7d,-68.0,270,387,202.73647186147178,880.4280303030304
1734123386.996566,08a6f7a1e5c8,f8b3b732fb6c,-67.0,270,387,202.73647186147178,880.4280303030304
1734123386.9976122,08a6f7a1e5c8,d8bfc0117c7d,-66.0,270,387,202.73647186147178,880.4280303030304
1734123386.9976122,08a6f7a1e5c8,483fda467e7a,-75.0,270,387,202.73647186147178,880.4280303030304
1734123386.9986203,a0a3b3ff66b4,a0a3b3ff35c0,-67.0,556,510,202.73647186147178,880.4280303030304
1734123386.9986203,a0a3b3ff66b4,f8b3b73303e8,-73.0,556,510,202.73647186147178,880.4280303030304
1734123386.999649,a4cf12fdaea9,20f094118214,-59.0,56,723,202.73647186147178,880.4280303030304
1734123387.0006244,08a6f7a1e5c8,20f094118214,-72.0,270,387,202.73647186147178,880.4280303030304
1734123387.0006244,f8b3b734347c,20f094118214,-78.0,441,934,202.73647186147178,880.4280303030304
1734123387.002674,483fda467e7a,f8b3b732fb6c,-24.0,62,42,202.73647186147178,880.4280303030304
1734123387.002674,a4cf12fdaea9,08a6f7a1e5c8,-79.0,56,723,202.73647186147178,880.4280303030304
1734123387.0036547,d8bfc0117c7d,a0a3b3ff35c0,-72.0,556,510,202.73647186147178,880.4280303030304
1734123387.0076237,d8bfc0117c7d,20f094118214,-67.0,556,510,202.73647186147178,880.4280303030304
1734123387.0076237,483fda467e7a,d8bfc0117c7d,-76.0,62,42,202.73647186147178,880.4280303030304
1734123387.0086498,24a1602ccfab,d8bfc0117c7d,-55.0,744,844,202.73647186147178,880.4280303030304
1734123387.0086498,f8b3b73303e8,20f094118214,-57.0,56,723,202.73647186147178,880.4280303030304
1734123387.0096486,a4cf12fdaea9,d8bfc0117c7d,-62.0,56,723,202.73647186147178,880.4280303030304
1734123387.0096486,a4cf12fdaea9,f8b3b73303e8,-15.0,56,723,202.73647186147178,880.4280303030304
