timestamp,monitor_mac,target_mac,rssi,anchor_position_x,anchor_position_y,target_position_x,target_position_y
1734123511.3386767,a4cf12fdaea9,20f094118214,-56.0,56,723,202.79434125196826,881.7726426116258
1734123511.3437467,483fda467e7a,20f094118214,-75.0,62,42,202.79434125196826,881.7726426116258
1734123511.346694,24a1602ccfab,483fda467e7a,-91.0,744,844,202.79434125196826,881.7726426116258
1734123511.3499472,d8bfc0117c7d,483fda467e7a,-82.0,556,510,202.79434125196826,881.7726426116258
1734123511.351947,a4cf12fdaea9,483fda467e7a,-89.0,56,723,202.79434125196826,881.7726426116258
1734123511.3549454,d8bfc0117c7d,f8b3b732fb6c,-75.0,556,510,202.79434125196826,881.7726426116258
1734123511.3591058,a4cf12fdaea9,f8b3b734347c,-78.0,56,723,202.79434125196826,881.7726426116258
1734123511.3600984,f8b3b732fb6c,d8bfc0117c7d,-67.0,62,42,202.79434125196826,881.7726426116258
1734123511.3621018,f8b3b732fb6c,483fda467e7a,-17.0,62,42,202.79434125196826,881.7726426116258
1734123511.3630846,f8b3b734347c,a4cf12fdaea9,-63.0,441,934,202.79434125196826,881.7726426116258
1734123511.3640459,d8bfc0117c7d,a0a3b3ff35c0,-73.0,556,510,202.79434125196826,881.7726426116258
1734123511.3650465,f8b3b732fb6c,a0a3b3ff35c0,-81.0,62,42,202.79434125196826,881.7726426116258
1734123511.3660445,f8b3b73303e8,20f094118214,-57.0,56,723,202.79434125196826,881.7726426116258
1734123511.368104,d8bfc0117c7d,a0a3b3ff66b4,-15.0,556,510,202.79434125196826,881.7726426116258
1734123511.3963282,d8bfc0117c7d,20f094118214,-66.0,556,510,202.79434125196826,881.7726426116258
1734123511.3980184,a0a3b3ff35c0,20f094118214,-75.0,744,844,202.79434125196826,881.7726426116258
1734123511.3990169,a4cf12fdaea9,a0a3b3ff35c0,-90.0,56,723,202.79434125196826,881.7726426116258
1734123511.400036,24a1602ccfab,20f094118214,-72.0,744,844,202.79434125196826,881.7726426116258
1734123511.4010568,24a1602ccfab,d8bfc0117c7d,-55.0,744,844,202.79434125196826,881.7726426116258
1734123511.4020538,d8bfc0117c7d,24a1602ccfab,-55.0,556,510,202.79434125196826,881.7726426116258
1734123511.4026012,a4cf12fdaea9,24a1602ccfab,-82.0,56,723,202.79434125196826,881.7726426116258
1734123511.4036126,f8b3b73303e8,20f094118214,-56.0,56,723,202.79434125196826,881.7726426116258
1734123511.4046426,a4cf12fdaea9,f8b3b73303e8,-15.0,56,723,202.79434125196826,881.7726426116258
1734123511.4056373,a0a3b3ff66b4,d8bfc0117c7d,-2.0,556,510,202.79434125196826,881.7726426116258
1734123511.4056373,483fda467e7a,f8b3b732fb6c,-26.0,62,42,202.79434125196826,881.7726426116258
1734123511.4066195,f8b3b734347c,20f094118214,-72.0,441,934,202.79434125196826,881.7726426116258
1734123511.4076126,a4cf12fdaea9,f8b3b734347c,-75.0,56,723,202.79434125196826,881.7726426116258
1734123511.4086373,d8bfc0117c7d,a0a3b3ff66b4,-15.0,556,510,202.79434125196826,881.7726426116258
1734123511.4086373,d8bfc0117c7d,08a6f7a1e5c8,-78.0,556,510,202.79434125196826,881.7726426116258
1734123511.4096117,483fda467e7a,08a6f7a1e5c8,-70.0,62,42,202.79434125196826,881.7726426116258
1734123511.410612,a0a3b3ff35c0,24a1602ccfab,-8.0,744,844,202.79434125196826,881.7726426116258
1734123511.4335487,f8b3b73303e8,d8bfc0117c7d,-67.0,56,723,202.79434125196826,881.7726426116258
1734123511.4360638,f8b3b73303e8,a0a3b3ff35c0,-88.0,56,723,202.79434125196826,881.7726426116258
1734123511.436962,f8b3b73303e8,24a1602ccfab,-81.0,56,723,202.79434125196826,881.7726426116258
1734123511.4379973,a0a3b3ff35c0,a0a3b3ff66b4,-69.0,744,844,202.79434125196826,881.7726426116258
1734123511.438991,f8b3b732fb6c,20f094118214,-70.0,62,42,202.79434125196826,881.7726426116258
1734123511.4400244,f8b3b732fb6c,d8bfc0117c7d,-67.0,62,42,202.79434125196826,881.7726426116258
1734123511.44103,d8bfc0117c7d,f8b3b732fb6c,-75.0,556,510,202.79434125196826,881.7726426116258
1734123511.44103,a4cf12fdaea9,a0a3b3ff66b4,-78.0,56,723,202.79434125196826,881.7726426116258
1734123511.4420168,24a1602ccfab,a0a3b3ff35c0,-16.0,744,844,202.79434125196826,881.7726426116258
1734123511.442993,d8bfc0117c7d,a0a3b3ff35c0,-69.0,556,510,202.79434125196826,881.7726426116258
1734123511.444016,a0a3b3ff35c0,d8bfc0117c7d,-68.0,744,844,202.79434125196826,881.7726426116258
1734123511.444016,a0a3b3ff35c0,24a1602ccfab,-8.0,744,844,202.79434125196826,881.7726426116258
