timestamp,monitor_mac,target_mac,rssi,anchor_position_x,anchor_position_y,target_position_x,target_position_y
1734124657.1521628,483fda467e7a,342eb61ec446,-70.0,62,42,201.16038199089053,873.6028463062362
1734124657.1531641,d8bfc0117c7d,342eb61ec446,-70.0,556,510,201.16038199089053,873.6028463062362
1734124657.1531641,24a1602ccfab,483fda467e7a,-89.0,744,844,201.16038199089053,873.6028463062362
1734124657.1541636,f8b3b73303e8,342eb61ec446,-53.0,56,723,201.16038199089053,873.6028463062362
1734124657.1541636,f8b3b73303e8,483fda467e7a,-85.0,56,723,201.16038199089053,873.6028463062362
1734124657.1551638,d8bfc0117c7d,f8b3b73303e8,-64.0,556,510,201.16038199089053,873.6028463062362
1734124657.1551638,f8b3b73303e8,a4cf12fdaea9,-4.0,56,723,201.16038199089053,873.6028463062362
1734124657.1561642,f8b3b732fb6c,483fda467e7a,-17.0,62,42,201.16038199089053,873.6028463062362
1734124657.1561642,f8b3b732fb6c,d8bfc0117c7d,-70.0,62,42,201.16038199089053,873.6028463062362
1734124657.1571648,a4cf12fdaea9,a0a3b3ff66b4,-77.0,56,723,201.16038199089053,873.6028463062362
1734124657.1571648,24a1602ccfab,a0a3b3ff66b4,-64.0,744,844,201.16038199089053,873.6028463062362
1734124657.1581638,f8b3b734347c,a0a3b3ff66b4,-78.0,441,934,201.16038199089053,873.6028463062362
1734124657.1581638,d8bfc0117c7d,342eb61ec446,-71.0,556,510,201.16038199089053,873.6028463062362
1734124657.159164,f8b3b73303e8,342eb61ec446,-53.0,56,723,201.16038199089053,873.6028463062362
1734124657.159164,d8bfc0117c7d,f8b3b73303e8,-67.0,556,510,201.16038199089053,873.6028463062362
1734124657.1601646,a4cf12fdaea9,342eb61ec446,-43.0,56,723,201.16038199089053,873.6028463062362
1734124657.1611643,483fda467e7a,a4cf12fdaea9,-84.0,62,42,201.16038199089053,873.6028463062362
1734124657.1611643,24a1602ccfab,d8bfc0117c7d,-57.0,744,844,201.16038199089053,873.6028463062362
1734124657.162165,a4cf12fdaea9,d8bfc0117c7d,-58.0,56,723,201.16038199089053,873.6028463062362
1734124657.162165,d8bfc0117c7d,a4cf12fdaea9,-60.0,556,510,201.16038199089053,873.6028463062362
1734124657.1631649,f8b3b732fb6c,483fda467e7a,-17.0,62,42,201.16038199089053,873.6028463062362
1734124657.1631649,f8b3b73303e8,d8bfc0117c7d,-59.0,56,723,201.16038199089053,873.6028463062362
1734124657.1641638,d8bfc0117c7d,a0a3b3ff66b4,-67.0,556,510,201.16038199089053,873.6028463062362
1734124657.168163,f8b3b734347c,a4cf12fdaea9,-66.0,441,934,201.16038199089053,873.6028463062362
1734124657.168163,a0a3b3ff66b4,f8b3b73303e8,-73.0,556,510,201.16038199089053,873.6028463062362
1734124657.1691647,a0a3b3ff66b4,a4cf12fdaea9,-69.0,556,510,201.16038199089053,873.6028463062362
1734124657.1691647,a0a3b3ff35c0,a4cf12fdaea9,-80.0,744,844,201.16038199089053,873.6028463062362
1734124657.1701653,f8b3b732fb6c,24a1602ccfab,-78.0,62,42,201.16038199089053,873.6028463062362
1734124657.1701653,f8b3b732fb6c,d8bfc0117c7d,-69.0,62,42,201.16038199089053,873.6028463062362
1734124657.1711645,f8b3b732fb6c,483fda467e7a,-19.0,62,42,201.16038199089053,873.6028463062362
1734124657.1711645,a0a3b3ff35c0,d8bfc0117c7d,-65.0,744,844,201.16038199089053,873.6028463062362
1734124657.1721635,f8b3b734347c,24a1602ccfab,-67.0,441,934,201.16038199089053,873.6028463062362
1734124657.173164,24a1602ccfab,342eb61ec446,-82.0,744,844,201.16038199089053,873.6028463062362
1734124657.173164,483fda467e7a,342eb61ec446,-70.0,62,42,201.16038199089053,873.6028463062362
1734124657.1741638,d8bfc0117c7d,342eb61ec446,-70.0,556,510,201.16038199089053,873.6028463062362
1734124657.1741638,f8b3b73303e8,24a1602ccfab,-77.0,56,723,201.16038199089053,873.6028463062362
1734124657.1751642,d8bfc0117c7d,483fda467e7a,-84.0,556,510,201.16038199089053,873.6028463062362
1734124657.1751642,f8b3b73303e8,483fda467e7a,-85.0,56,723,201.16038199089053,873.6028463062362
1734124657.1761649,24a1602ccfab,483fda467e7a,-91.0,744,844,201.16038199089053,873.6028463062362
1734124657.1764157,f8b3b73303e8,d8bfc0117c7d,-59.0,56,723,201.16038199089053,873.6028463062362
1734124657.1771774,f8b3b734347c,d8bfc0117c7d,-75.0,441,934,201.16038199089053,873.6028463062362
1734124657.1781673,a0a3b3ff66b4,483fda467e7a,-82.0,556,510,201.16038199089053,873.6028463062362
1734124657.1781673,a4cf12fdaea9,d8bfc0117c7d,-59.0,56,723,201.16038199089053,873.6028463062362
1734124657.1791654,d8bfc0117c7d,342eb61ec446,-70.0,556,510,201.16038199089053,873.6028463062362
1734124657.1791654,a4cf12fdaea9,342eb61ec446,-42.0,56,723,201.16038199089053,873.6028463062362
1734124657.1801655,24a1602ccfab,342eb61ec446,-82.0,744,844,201.16038199089053,873.6028463062362
1734124657.184466,24a1602ccfab,d8bfc0117c7d,-58.0,744,844,201.16038199089053,873.6028463062362
1734124657.1854646,24a1602ccfab,a4cf12fdaea9,-75.0,744,844,201.16038199089053,873.6028463062362
1734124657.1854646,d8bfc0117c7d,a4cf12fdaea9,-60.0,556,510,201.16038199089053,873.6028463062362
1734124657.1864662,f8b3b732fb6c,d8bfc0117c7d,-71.0,62,42,201.16038199089053,873.6028463062362
1734124657.1864662,a4cf12fdaea9,24a1602ccfab,-75.0,56,723,201.16038199089053,873.6028463062362
1734124657.1874976,483fda467e7a,24a1602ccfab,-86.0,62,42,201.16038199089053,873.6028463062362
1734124657.1874976,f8b3b732fb6c,a4cf12fdaea9,-76.0,62,42,201.16038199089053,873.6028463062362
1734124657.188504,f8b3b732fb6c,24a1602ccfab,-77.0,62,42,201.16038199089053,873.6028463062362
1734124657.188504,f8b3b73303e8,d8bfc0117c7d,-60.0,56,723,201.16038199089053,873.6028463062362
1734124657.1894665,f8b3b73303e8,a4cf12fdaea9,-3.0,56,723,201.16038199089053,873.6028463062362
1734124657.1894665,d8bfc0117c7d,342eb61ec446,-71.0,556,510,201.16038199089053,873.6028463062362
1734124657.190498,24a1602ccfab,d8bfc0117c7d,-58.0,744,844,201.16038199089053,873.6028463062362
1734124657.190498,f8b3b734347c,a4cf12fdaea9,-66.0,441,934,201.16038199089053,873.6028463062362
1734124657.191465,f8b3b732fb6c,483fda467e7a,-18.0,62,42,201.16038199089053,873.6028463062362
1734124657.191465,483fda467e7a,342eb61ec446,-69.0,62,42,201.16038199089053,873.6028463062362
1734124657.1924644,a4cf12fdaea9,483fda467e7a,-92.0,56,723,201.16038199089053,873.6028463062362
1734124657.2050498,f8b3b732fb6c,a4cf12fdaea9,-76.0,62,42,201.16038199089053,873.6028463062362
1734124657.2060642,d8bfc0117c7d,342eb61ec446,-71.0,556,510,201.16038199089053,873.6028463062362
1734124657.2070575,d8bfc0117c7d,a4cf12fdaea9,-60.0,556,510,201.16038199089053,873.6028463062362
1734124657.2070575,f8b3b732fb6c,483fda467e7a,-18.0,62,42,201.16038199089053,873.6028463062362
1734124657.208057,f8b3b73303e8,a4cf12fdaea9,-3.0,56,723,201.16038199089053,873.6028463062362
1734124657.208057,f8b3b73303e8,483fda467e7a,-86.0,56,723,201.16038199089053,873.6028463062362
1734124657.2090569,a4cf12fdaea9,d8bfc0117c7d,-59.0,56,723,201.16038199089053,873.6028463062362
1734124657.2090569,f8b3b73303e8,d8bfc0117c7d,-59.0,56,723,201.16038199089053,873.6028463062362
1734124657.2100577,a0a3b3ff66b4,483fda467e7a,-82.0,556,510,201.16038199089053,873.6028463062362
1734124657.2110572,a0a3b3ff66b4,d8bfc0117c7d,-4.0,556,510,201.16038199089053,873.6028463062362
1734124657.2110572,483fda467e7a,342eb61ec446,-69.0,62,42,201.16038199089053,873.6028463062362
1734124657.212057,d8bfc0117c7d,342eb61ec446,-71.0,556,510,201.16038199089053,873.6028463062362
1734124657.212057,24a1602ccfab,342eb61ec446,-82.0,744,844,201.16038199089053,873.6028463062362
1734124657.2130568,a4cf12fdaea9,342eb61ec446,-42.0,56,723,201.16038199089053,873.6028463062362
1734124657.2130568,a4cf12fdaea9,483fda467e7a,-90.0,56,723,201.16038199089053,873.6028463062362
1734124657.2140567,a4cf12fdaea9,24a1602ccfab,-75.0,56,723,201.16038199089053,873.6028463062362
1734124657.2140567,d8bfc0117c7d,24a1602ccfab,-58.0,556,510,201.16038199089053,873.6028463062362
1734124657.2150567,f8b3b73303e8,483fda467e7a,-85.0,56,723,201.16038199089053,873.6028463062362
1734124657.2150567,d8bfc0117c7d,a4cf12fdaea9,-59.0,556,510,201.16038199089053,873.6028463062362
1734124657.2160575,f8b3b73303e8,d8bfc0117c7d,-59.0,56,723,201.16038199089053,873.6028463062362
1734124657.2160575,f8b3b734347c,483fda467e7a,-92.0,441,934,201.16038199089053,873.6028463062362
1734124657.2170565,a0a3b3ff35c0,a4cf12fdaea9,-79.0,744,844,201.16038199089053,873.6028463062362
1734124657.2170565,a4cf12fdaea9,342eb61ec446,-46.0,56,723,201.16038199089053,873.6028463062362
1734124657.218057,483fda467e7a,342eb61ec446,-69.0,62,42,201.16038199089053,873.6028463062362
1734124657.218057,d8bfc0117c7d,342eb61ec446,-71.0,556,510,201.16038199089053,873.6028463062362
1734124657.218057,24a1602ccfab,483fda467e7a,-93.0,744,844,201.16038199089053,873.6028463062362
1734124657.2190611,d8bfc0117c7d,a4cf12fdaea9,-60.0,556,510,201.16038199089053,873.6028463062362
1734124657.2190611,d8bfc0117c7d,483fda467e7a,-83.0,556,510,201.16038199089053,873.6028463062362
1734124657.220057,f8b3b73303e8,a4cf12fdaea9,-3.0,56,723,201.16038199089053,873.6028463062362
1734124657.220057,f8b3b732fb6c,a4cf12fdaea9,-77.0,62,42,201.16038199089053,873.6028463062362
1734124657.2210567,f8b3b73303e8,483fda467e7a,-86.0,56,723,201.16038199089053,873.6028463062362
1734124657.2215292,f8b3b734347c,483fda467e7a,-90.0,441,934,201.16038199089053,873.6028463062362
1734124657.2220566,a0a3b3ff35c0,24a1602ccfab,-10.0,744,844,201.16038199089053,873.6028463062362
1734124657.2220566,24a1602ccfab,342eb61ec446,-81.0,744,844,201.16038199089053,873.6028463062362
1734124657.2230568,a0a3b3ff66b4,24a1602ccfab,-54.0,556,510,201.16038199089053,873.6028463062362
1734124657.2230568,f8b3b732fb6c,24a1602ccfab,-78.0,62,42,201.16038199089053,873.6028463062362
1734124657.2240565,d8bfc0117c7d,342eb61ec446,-71.0,556,510,201.16038199089053,873.6028463062362
1734124657.2240565,24a1602ccfab,d8bfc0117c7d,-58.0,744,844,201.16038199089053,873.6028463062362
1734124657.225057,d8bfc0117c7d,24a1602ccfab,-58.0,556,510,201.16038199089053,873.6028463062362
1734124657.225057,f8b3b732fb6c,d8bfc0117c7d,-71.0,62,42,201.16038199089053,873.6028463062362
1734124657.226057,f8b3b732fb6c,483fda467e7a,-18.0,62,42,201.16038199089053,873.6028463062362
1734124657.230059,f8b3b73303e8,a4cf12fdaea9,-3.0,56,723,201.16038199089053,873.6028463062362
1734124657.230059,a0a3b3ff35c0,d8bfc0117c7d,-64.0,744,844,201.16038199089053,873.6028463062362
1734124657.2310593,d8bfc0117c7d,342eb61ec446,-70.0,556,510,201.16038199089053,873.6028463062362
1734124657.2310593,24a1602ccfab,342eb61ec446,-81.0,744,844,201.16038199089053,873.6028463062362
1734124657.232058,d8bfc0117c7d,24a1602ccfab,-58.0,556,510,201.16038199089053,873.6028463062362
1734124657.232058,a4cf12fdaea9,342eb61ec446,-46.0,56,723,201.16038199089053,873.6028463062362
1734124657.2330592,f8b3b73303e8,d8bfc0117c7d,-61.0,56,723,201.16038199089053,873.6028463062362
1734124657.2330592,d8bfc0117c7d,a4cf12fdaea9,-60.0,556,510,201.16038199089053,873.6028463062362
1734124657.2340572,f8b3b732fb6c,483fda467e7a,-17.0,62,42,201.16038199089053,873.6028463062362
1734124657.235058,f8b3b732fb6c,24a1602ccfab,-78.0,62,42,201.16038199089053,873.6028463062362
1734124657.235058,f8b3b734347c,24a1602ccfab,-67.0,441,934,201.16038199089053,873.6028463062362
1734124657.236058,f8b3b73303e8,24a1602ccfab,-77.0,56,723,201.16038199089053,873.6028463062362
1734124657.236058,d8bfc0117c7d,342eb61ec446,-71.0,556,510,201.16038199089053,873.6028463062362
1734124657.236058,483fda467e7a,342eb61ec446,-70.0,62,42,201.16038199089053,873.6028463062362
